SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/AFG,2015,33.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/AFG,2014,100.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/AFG,2010,20.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/AFG,2011,33.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/AGO,2015,0.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/AGO,2014,0.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/AGO,2010,0.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/AGO,2012,0.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/AGO,2009,50.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/AGO,2003,0.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/AGO,2013,0.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/AGO,2004,0.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/AGO,2011,0.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/AZE,2010,0.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BDI,2014,66.66667
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BDI,2007,25.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BDI,2006,33.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BDI,2005,0.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BEN,2015,95.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BEN,2014,100.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BEN,2011,64.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BEN,2012,87.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BEN,2008,60.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BEN,2010,93.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BEN,2005,50.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BEN,2007,50.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BEN,2006,100.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BEN,2009,48.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BFA,2014,100.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BFA,2013,69.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BFA,2000,33.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BFA,2001,100.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BFA,2012,71.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BFA,2006,25.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BFA,2008,55.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BFA,2010,83.0
dcs:who/IR_PYRETHROID_EXTENT,dcid:country/BFA,2011,100.0
