SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/ITU_ICT_1,dcid:country/AFG,2012,5.45455
dcs:who/ITU_ICT_1,dcid:country/AGO,2012,16.93721
dcs:who/ITU_ICT_1,dcid:country/ALB,2012,54.65596
dcs:who/ITU_ICT_1,dcid:country/AND,2012,86.43443
dcs:who/ITU_ICT_1,dcid:country/ARE,2012,85.0
dcs:who/ITU_ICT_1,dcid:country/ARG,2012,55.8
dcs:who/ITU_ICT_1,dcid:country/ARM,2012,39.16079
dcs:who/ITU_ICT_1,dcid:country/ATG,2012,83.78717
dcs:who/ITU_ICT_1,dcid:country/AUS,2012,82.34955
dcs:who/ITU_ICT_1,dcid:country/AUT,2012,81.0
dcs:who/ITU_ICT_1,dcid:country/AZE,2012,54.2
dcs:who/ITU_ICT_1,dcid:country/BDI,2012,1.22
dcs:who/ITU_ICT_1,dcid:country/BEL,2012,82.0
dcs:who/ITU_ICT_1,dcid:country/BEN,2012,3.7977
dcs:who/ITU_ICT_1,dcid:country/BFA,2012,3.72503
dcs:who/ITU_ICT_1,dcid:country/BGD,2012,6.3
dcs:who/ITU_ICT_1,dcid:country/BGR,2012,55.1481
dcs:who/ITU_ICT_1,dcid:country/BHR,2012,88.0
dcs:who/ITU_ICT_1,dcid:country/BHS,2012,71.7482
dcs:who/ITU_ICT_1,dcid:country/BIH,2012,65.35609
dcs:who/ITU_ICT_1,dcid:country/BLR,2012,46.90601
dcs:who/ITU_ICT_1,dcid:country/BLZ,2012,25.0
dcs:who/ITU_ICT_1,dcid:country/BOL,2012,34.18843
dcs:who/ITU_ICT_1,dcid:country/BRA,2012,49.848
dcs:who/ITU_ICT_1,dcid:country/BRB,2012,73.32981
dcs:who/ITU_ICT_1,dcid:country/BRN,2012,60.27306
dcs:who/ITU_ICT_1,dcid:country/BTN,2012,25.43435
dcs:who/ITU_ICT_1,dcid:country/BWA,2012,11.5
dcs:who/ITU_ICT_1,dcid:country/CAF,2012,3.0
dcs:who/ITU_ICT_1,dcid:country/CAN,2012,86.76586
dcs:who/ITU_ICT_1,dcid:country/CHE,2012,85.2
dcs:who/ITU_ICT_1,dcid:country/CHL,2012,61.41816
dcs:who/ITU_ICT_1,dcid:country/CHN,2012,42.30012
dcs:who/ITU_ICT_1,dcid:country/CIV,2012,2.37896
dcs:who/ITU_ICT_1,dcid:country/CMR,2012,5.69899
dcs:who/ITU_ICT_1,dcid:country/COD,2012,1.67996
dcs:who/ITU_ICT_1,dcid:country/COG,2012,6.1067
dcs:who/ITU_ICT_1,dcid:country/COL,2012,48.98432
dcs:who/ITU_ICT_1,dcid:country/COM,2012,5.9753
dcs:who/ITU_ICT_1,dcid:country/CPV,2012,34.74342
dcs:who/ITU_ICT_1,dcid:country/CRI,2012,47.50092
dcs:who/ITU_ICT_1,dcid:country/CUB,2012,25.6417
dcs:who/ITU_ICT_1,dcid:country/CYP,2012,61.0
dcs:who/ITU_ICT_1,dcid:country/CZE,2012,75.0
dcs:who/ITU_ICT_1,dcid:country/DEU,2012,84.0
dcs:who/ITU_ICT_1,dcid:country/DJI,2012,8.26723
dcs:who/ITU_ICT_1,dcid:country/DMA,2012,55.17701
dcs:who/ITU_ICT_1,dcid:country/DNK,2012,93.0
dcs:who/ITU_ICT_1,dcid:country/DOM,2012,45.0
dcs:who/ITU_ICT_1,dcid:country/DZA,2012,15.22803
dcs:who/ITU_ICT_1,dcid:country/ECU,2012,35.13451
dcs:who/ITU_ICT_1,dcid:country/EGY,2012,44.07
dcs:who/ITU_ICT_1,dcid:country/ERI,2012,0.8
dcs:who/ITU_ICT_1,dcid:country/ESP,2012,72.0
dcs:who/ITU_ICT_1,dcid:country/EST,2012,79.0
dcs:who/ITU_ICT_1,dcid:country/ETH,2012,1.48281
