SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/LIFE_0000000033.AGE--Y70T74,dcid:Earth,2019,327653.999
dcs:who/LIFE_0000000033.AGE--Y65T69,dcid:Earth,2010,349299.1947
dcs:who/LIFE_0000000033.AGE--Y80T84,dcid:Earth,2019,199785.2859
dcs:who/LIFE_0000000033.AGE--Y30T34,dcid:Earth,2010,458559.8278
dcs:who/LIFE_0000000033.AGE--Y40T44,dcid:Earth,2010,446479.1818
dcs:who/LIFE_0000000033.AGE--Y30T34,dcid:Earth,2015,465297.9341
dcs:who/LIFE_0000000033.AGE--Y70T74,dcid:Earth,2010,302923.363
dcs:who/LIFE_0000000033.AGE--Y50T54,dcid:Earth,2010,425023.2298
dcs:who/LIFE_0000000033.AGE--Y20T24,dcid:Earth,2015,471899.1134
dcs:who/LIFE_0000000033.AGE--Y15T19,dcid:Earth,2015,474339.0443
dcs:who/LIFE_0000000033.AGE--Y55T59,dcid:Earth,2010,407743.0076
dcs:who/LIFE_0000000033.AGE--Y10T14,dcid:Earth,2010,471412.6961
dcs:who/LIFE_0000000033.AGE--Y45T49,dcid:Earth,2015,446590.2005
dcs:who/LIFE_0000000033.AGE--Y50T54,dcid:Earth,2015,435089.681
dcs:who/LIFE_0000000033.AGE--Y25T29,dcid:Earth,2010,462985.9844
dcs:who/LIFE_0000000033.AGE--M0T11,dcid:Earth,2010,96968.51118
dcs:who/LIFE_0000000033.AGE--Y65T69,dcid:Earth,2005,333374.8326
dcs:who/LIFE_0000000033.AGE--Y70T74,dcid:Earth,2015,319021.0594
dcs:who/LIFE_0000000033.AGE--Y40T44,dcid:Earth,2019,458599.067
dcs:who/LIFE_0000000033.AGE--Y60T64,dcid:Earth,2015,394864.1816
dcs:who/LIFE_0000000033.AGE--Y55T59,dcid:Earth,2019,424602.4559
dcs:who/LIFE_0000000033.AGE--Y5T9,dcid:Earth,2015,477913.5491
dcs:who/LIFE_0000000033.AGE--Y75T79,dcid:Earth,2005,224052.0402
dcs:who/LIFE_0000000033.AGE--M0T11,dcid:Earth,2015,97403.62827
dcs:who/LIFE_0000000033.AGE--Y60T64,dcid:Earth,2010,383445.2008
dcs:who/LIFE_0000000033.AGE--Y20T24,dcid:Earth,2010,466598.7602
dcs:who/LIFE_0000000033.AGE--Y35T39,dcid:Earth,2019,464383.5231
dcs:who/LIFE_0000000033.AGE--Y60T64,dcid:Earth,2019,402014.6662
dcs:who/LIFE_0000000033.AGE--Y55T59,dcid:Earth,2015,418392.3628
dcs:who/LIFE_0000000033.AGE--Y25T29,dcid:Earth,2019,472101.8675
dcs:who/LIFE_0000000033.AGE--Y20T24,dcid:Earth,2019,474952.6945
dcs:who/LIFE_0000000033.AGE--Y_GE85,dcid:Earth,2010,148687.0849
dcs:who/LIFE_0000000033.AGE--Y80T84,dcid:Earth,2010,173443.611
dcs:who/LIFE_0000000033.AGE--Y60T64,dcid:Earth,2005,369122.2143
dcs:who/LIFE_0000000033.AGE--Y45T49,dcid:Earth,2010,437500.2119
dcs:who/LIFE_0000000033.AGE--Y35T39,dcid:Earth,2015,460632.2118
dcs:who/LIFE_0000000033.AGE--Y_GE85,dcid:Earth,2019,184878.3146
dcs:who/LIFE_0000000033.AGE--Y40T44,dcid:Earth,2015,454600.9607
dcs:who/LIFE_0000000033.AGE--Y25T29,dcid:Earth,2015,468913.6242
dcs:who/LIFE_0000000033.AGE--Y15T19,dcid:Earth,2019,477248.0858
dcs:who/LIFE_0000000033.AGE--M0T11,dcid:Earth,2019,97679.11357
dcs:who/LIFE_0000000033.AGE--Y10T14,dcid:Earth,2019,478902.4204
dcs:who/LIFE_0000000033.AGE--Y_GE85,dcid:Earth,2015,168076.9128
dcs:who/LIFE_0000000033.AGE--Y80T84,dcid:Earth,2015,189757.9367
dcs:who/LIFE_0000000033.AGE--Y15T19,dcid:Earth,2010,469395.1096
dcs:who/LIFE_0000000033.AGE--Y1T4,dcid:Earth,2019,386610.7278
dcs:who/LIFE_0000000033.AGE--Y75T79,dcid:Earth,2015,261197.2439
dcs:who/LIFE_0000000033.AGE--Y70T74,dcid:Earth,2005,285073.5525
dcs:who/LIFE_0000000033.AGE--Y75T79,dcid:Earth,2010,243631.4516
dcs:who/LIFE_0000000033.AGE--Y5T9,dcid:Earth,2010,473489.4574
dcs:who/LIFE_0000000033.AGE--Y50T54,dcid:Earth,2019,440248.4498
dcs:who/LIFE_0000000033.AGE--Y10T14,dcid:Earth,2015,476131.0925
dcs:who/LIFE_0000000033.AGE--Y80T84,dcid:Earth,2005,154421.5493
dcs:who/LIFE_0000000033.AGE--Y30T34,dcid:Earth,2019,468730.0032
dcs:who/LIFE_0000000033.AGE--Y65T69,dcid:Earth,2015,362775.4687
dcs:who/LIFE_0000000033.AGE--Y75T79,dcid:Earth,2019,270905.3165
dcs:who/LIFE_0000000033.AGE--Y55T59,dcid:Earth,2005,395032.5337
dcs:who/LIFE_0000000033.AGE--Y65T69,dcid:Earth,2019,370558.0731
dcs:who/LIFE_0000000033.AGE--Y1T4,dcid:Earth,2010,382021.0842
dcs:who/LIFE_0000000033.AGE--Y45T49,dcid:Earth,2019,450958.2955
dcs:who/LIFE_0000000033.AGE--Y_GE85,dcid:Earth,2005,121484.0218
dcs:who/LIFE_0000000033.AGE--Y35T39,dcid:Earth,2010,453180.1089
dcs:who/LIFE_0000000033.AGE--Y5T9,dcid:Earth,2019,480518.4922
dcs:who/LIFE_0000000033.AGE--Y1T4,dcid:Earth,2015,384881.8855
dcs:who/LIFE_0000000033.AGE--Y60T64,dcid:Earth,2000,357998.9558
dcs:who/LIFE_0000000033.AGE--Y15T19,dcid:Earth,2000,456881.706
