SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_1STLINE_TREATED,dcid:Earth,2020,171190600.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:Earth,2021,186202207.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:Earth,2017,1535031.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:Earth,2019,189100091.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:Earth,2018,162046690.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:SouthEasternAsia,2019,649637.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:SouthEasternAsia,2017,4034.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:SouthEasternAsia,2021,488091.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:SouthEasternAsia,2018,233136.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:SouthEasternAsia,2020,455073.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:africa,2020,163884301.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:africa,2021,179574000.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:africa,2018,156326080.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:africa,2019,181515732.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:africa,2017,1500247.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/AFG,2020,103466.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/AFG,2019,169504.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/AFG,2021,84873.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/AFG,2018,31114.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/AGO,2019,5575259.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/AGO,2021,7793251.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/AGO,2018,6092332.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/AGO,2020,5797209.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BDI,2019,8444710.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BDI,2018,4903851.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BDI,2021,5953811.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BDI,2020,4289288.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BEN,2019,2353657.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BEN,2021,2985960.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BEN,2020,2095303.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BEN,2018,340062.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BFA,2021,11030942.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BFA,2018,10807674.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BFA,2019,11223002.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BFA,2020,10237424.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BGD,2020,6130.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BGD,2021,7294.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BGD,2018,10459.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BGD,2019,17225.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BLZ,2020,0.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BLZ,2021,0.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BLZ,2019,2.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BOL,2020,12093.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BOL,2021,9959.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BOL,2017,6623.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BOL,2018,5920.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BOL,2019,9357.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BRA,2019,491126.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BRA,2021,137289.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BRA,2020,172047.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BTN,2018,54.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BTN,2021,23.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BTN,2019,42.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BTN,2017,42.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BTN,2020,54.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BWA,2020,953.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BWA,2018,451.0
dcs:who/MALARIA_1STLINE_TREATED,dcid:country/BWA,2019,272.0
