SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2021,14.82107
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2020,15.14849
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2019,13.97925
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2018,14.14175
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2017,14.8624
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2002,27.40522
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2001,29.28039
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2004,25.23379
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2005,24.07331
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2006,23.29471
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2008,21.36014
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2003,26.24919
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2007,22.31746
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2000,30.08824
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2010,19.86707
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2011,18.33385
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2009,20.68929
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2012,17.00421
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2016,14.90388
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2015,15.04465
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2013,16.20493
dcs:who/MALARIA_EST_MORTALITY,dcid:Earth,2014,15.46687
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2021,0.54269
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2020,0.52996
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2019,0.56096
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2018,0.67197
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2017,1.10648
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2002,2.45188
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2001,2.61193
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2004,2.66277
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2005,2.72385
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2006,2.30531
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2008,2.4514
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2003,2.44382
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2007,2.28459
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2000,2.73951
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2010,2.55524
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2011,2.12835
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2009,2.54359
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2012,1.76307
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2016,1.54287
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2015,1.51677
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2013,1.32327
dcs:who/MALARIA_EST_MORTALITY,dcid:SouthEasternAsia,2014,1.46913
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2021,58.2268
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2020,60.37854
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2019,56.30462
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2018,57.51996
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2017,60.62715
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2002,132.84598
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2001,143.24574
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2004,119.00104
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2005,111.86347
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2006,107.62667
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2008,96.42361
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2003,125.72918
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2007,102.13065
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2000,148.42949
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2010,86.78256
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2011,79.62973
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2009,91.81581
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2012,73.21267
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2016,60.852
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2015,62.47556
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2013,69.5209
dcs:who/MALARIA_EST_MORTALITY,dcid:africa,2014,65.13947
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2021,0.29441
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2020,0.36618
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2019,0.58393
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2018,1.03259
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2017,1.37583
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2002,6.99935
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2001,6.35864
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2004,1.92781
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2005,1.37646
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2006,1.13198
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2008,0.972
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2003,4.57173
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2007,1.18198
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2000,6.40603
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2010,0.75936
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2011,0.85161
dcs:who/MALARIA_EST_MORTALITY,dcid:country/AFG,2009,0.65849
