SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_INDIG,dcid:Earth,2017,138638387.0
dcs:who/MALARIA_INDIG,dcid:Earth,2018,126204692.0
dcs:who/MALARIA_INDIG,dcid:Earth,2008,32738.0
dcs:who/MALARIA_INDIG,dcid:Earth,2007,11730.0
dcs:who/MALARIA_INDIG,dcid:Earth,2006,2241.0
dcs:who/MALARIA_INDIG,dcid:Earth,2013,50027437.0
dcs:who/MALARIA_INDIG,dcid:Earth,2004,6732.0
dcs:who/MALARIA_INDIG,dcid:Earth,2016,129970651.0
dcs:who/MALARIA_INDIG,dcid:Earth,2003,11884.0
dcs:who/MALARIA_INDIG,dcid:Earth,2014,82622558.0
dcs:who/MALARIA_INDIG,dcid:Earth,2009,26803.0
dcs:who/MALARIA_INDIG,dcid:Earth,2019,161307000.0
dcs:who/MALARIA_INDIG,dcid:Earth,2012,42866415.0
dcs:who/MALARIA_INDIG,dcid:Earth,2020,154950310.0
dcs:who/MALARIA_INDIG,dcid:Earth,2002,16753.0
dcs:who/MALARIA_INDIG,dcid:Earth,2011,27003390.0
dcs:who/MALARIA_INDIG,dcid:Earth,2001,15096.0
dcs:who/MALARIA_INDIG,dcid:Earth,2021,164760567.0
dcs:who/MALARIA_INDIG,dcid:Earth,2010,26368275.0
dcs:who/MALARIA_INDIG,dcid:Earth,2005,3207.0
dcs:who/MALARIA_INDIG,dcid:Earth,2000,20112.0
dcs:who/MALARIA_INDIG,dcid:Earth,2015,99727913.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2012,2072627.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2016,1461220.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2011,2314215.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2020,510528.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2014,1670316.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2021,557444.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2015,1630325.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2010,2641584.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2008,17260.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2018,748360.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2009,15163.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2013,1645042.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2007,4345.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2019,668739.0
dcs:who/MALARIA_INDIG,dcid:SouthEasternAsia,2017,1233031.0
dcs:who/MALARIA_INDIG,dcid:africa,2012,39002527.0
dcs:who/MALARIA_INDIG,dcid:africa,2007,26.0
dcs:who/MALARIA_INDIG,dcid:africa,2003,5.0
dcs:who/MALARIA_INDIG,dcid:africa,2019,156560604.0
dcs:who/MALARIA_INDIG,dcid:africa,2013,46465115.0
dcs:who/MALARIA_INDIG,dcid:africa,2002,10.0
dcs:who/MALARIA_INDIG,dcid:africa,2009,0.0
dcs:who/MALARIA_INDIG,dcid:africa,2017,134322130.0
dcs:who/MALARIA_INDIG,dcid:africa,2011,22905296.0
dcs:who/MALARIA_INDIG,dcid:africa,2001,6.0
dcs:who/MALARIA_INDIG,dcid:africa,2006,1.0
dcs:who/MALARIA_INDIG,dcid:africa,2016,126001041.0
dcs:who/MALARIA_INDIG,dcid:africa,2020,150639045.0
dcs:who/MALARIA_INDIG,dcid:africa,2005,1.0
dcs:who/MALARIA_INDIG,dcid:africa,2004,2.0
dcs:who/MALARIA_INDIG,dcid:africa,2014,78543414.0
dcs:who/MALARIA_INDIG,dcid:africa,2018,121559510.0
dcs:who/MALARIA_INDIG,dcid:africa,2008,3.0
dcs:who/MALARIA_INDIG,dcid:africa,2000,34.0
dcs:who/MALARIA_INDIG,dcid:africa,2015,96139932.0
dcs:who/MALARIA_INDIG,dcid:africa,2010,21571138.0
dcs:who/MALARIA_INDIG,dcid:africa,2021,160589720.0
dcs:who/MALARIA_INDIG,dcid:country/AFG,2021,86263.0
dcs:who/MALARIA_INDIG,dcid:country/AFG,2018,248689.0
dcs:who/MALARIA_INDIG,dcid:country/AFG,2010,69798.0
dcs:who/MALARIA_INDIG,dcid:country/AFG,2019,173860.0
dcs:who/MALARIA_INDIG,dcid:country/AFG,2014,106478.0
dcs:who/MALARIA_INDIG,dcid:country/AFG,2011,77549.0
dcs:who/MALARIA_INDIG,dcid:country/AFG,2016,241233.0
dcs:who/MALARIA_INDIG,dcid:country/AFG,2017,313086.0
dcs:who/MALARIA_INDIG,dcid:country/AFG,2013,52965.0
dcs:who/MALARIA_INDIG,dcid:country/AFG,2020,105295.0
dcs:who/MALARIA_INDIG,dcid:country/AFG,2015,119859.0
