SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2012,12.1908
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2002,4.72216
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2020,15.49239
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2013,12.9225
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2003,5.29762
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2007,13.02045
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2015,22.60724
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2010,14.81204
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2005,4.00741
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2000,2.81871
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2019,27.47615
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2009,15.11628
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2021,16.78103
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2014,23.26162
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2004,4.4875
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2018,52.69446
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2008,17.39411
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2001,3.66874
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2016,23.27383
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2006,6.41212
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2017,51.67947
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/AGO,2011,15.54551
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/BDI,2001,3.30347
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/BDI,2011,50.94031
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/BDI,2000,2.77821
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/BDI,2021,66.90975
dcs:who/MALARIA_ITN_COVERAGE,dcid:country/BDI,2015,66.1023
