SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_MICR_POS,dcid:Earth,2016,27983001.0
dcs:who/MALARIA_MICR_POS,dcid:Earth,2013,24596986.0
dcs:who/MALARIA_MICR_POS,dcid:Earth,2015,20641501.0
dcs:who/MALARIA_MICR_POS,dcid:Earth,2010,21163241.0
dcs:who/MALARIA_MICR_POS,dcid:Earth,2018,18653223.0
dcs:who/MALARIA_MICR_POS,dcid:Earth,2017,25081356.0
dcs:who/MALARIA_MICR_POS,dcid:Earth,2012,24257688.0
dcs:who/MALARIA_MICR_POS,dcid:Earth,2014,24342821.0
dcs:who/MALARIA_MICR_POS,dcid:Earth,2011,18799896.0
dcs:who/MALARIA_MICR_POS,dcid:Earth,2019,26065168.0
dcs:who/MALARIA_MICR_POS,dcid:Earth,2020,20795109.0
dcs:who/MALARIA_MICR_POS,dcid:SouthEasternAsia,2020,264739.0
dcs:who/MALARIA_MICR_POS,dcid:SouthEasternAsia,2013,1309138.0
dcs:who/MALARIA_MICR_POS,dcid:SouthEasternAsia,2014,1430235.0
dcs:who/MALARIA_MICR_POS,dcid:SouthEasternAsia,2016,1333062.0
dcs:who/MALARIA_MICR_POS,dcid:SouthEasternAsia,2018,434597.0
dcs:who/MALARIA_MICR_POS,dcid:SouthEasternAsia,2019,353362.0
dcs:who/MALARIA_MICR_POS,dcid:SouthEasternAsia,2017,589387.0
dcs:who/MALARIA_MICR_POS,dcid:SouthEasternAsia,2015,1422431.0
dcs:who/MALARIA_MICR_POS,dcid:SouthEasternAsia,2012,1632206.0
dcs:who/MALARIA_MICR_POS,dcid:SouthEasternAsia,2010,2270580.0
dcs:who/MALARIA_MICR_POS,dcid:SouthEasternAsia,2011,1898343.0
dcs:who/MALARIA_MICR_POS,dcid:africa,2016,25205707.0
dcs:who/MALARIA_MICR_POS,dcid:africa,2018,15854204.0
dcs:who/MALARIA_MICR_POS,dcid:africa,2014,21486925.0
dcs:who/MALARIA_MICR_POS,dcid:africa,2017,22590780.0
dcs:who/MALARIA_MICR_POS,dcid:africa,2010,17025016.0
dcs:who/MALARIA_MICR_POS,dcid:africa,2012,21113041.0
dcs:who/MALARIA_MICR_POS,dcid:africa,2011,15321198.0
dcs:who/MALARIA_MICR_POS,dcid:africa,2015,17800691.0
dcs:who/MALARIA_MICR_POS,dcid:africa,2020,18551951.0
dcs:who/MALARIA_MICR_POS,dcid:africa,2013,21816233.0
dcs:who/MALARIA_MICR_POS,dcid:africa,2019,23252696.0
dcs:who/MALARIA_MICR_POS,dcid:country/AFG,2015,103377.0
dcs:who/MALARIA_MICR_POS,dcid:country/AFG,2016,151528.0
dcs:who/MALARIA_MICR_POS,dcid:country/AFG,2012,54840.0
dcs:who/MALARIA_MICR_POS,dcid:country/AFG,2018,104960.0
dcs:who/MALARIA_MICR_POS,dcid:country/AFG,2019,71389.0
dcs:who/MALARIA_MICR_POS,dcid:country/AFG,2010,69397.0
dcs:who/MALARIA_MICR_POS,dcid:country/AFG,2020,38923.0
dcs:who/MALARIA_MICR_POS,dcid:country/AFG,2011,77549.0
dcs:who/MALARIA_MICR_POS,dcid:country/AFG,2013,46114.0
dcs:who/MALARIA_MICR_POS,dcid:country/AFG,2014,83920.0
dcs:who/MALARIA_MICR_POS,dcid:country/AFG,2017,194866.0
dcs:who/MALARIA_MICR_POS,dcid:country/AGO,2019,2557385.0
dcs:who/MALARIA_MICR_POS,dcid:country/AGO,2011,1147473.0
dcs:who/MALARIA_MICR_POS,dcid:country/AGO,2018,2442500.0
dcs:who/MALARIA_MICR_POS,dcid:country/AGO,2017,2199810.0
dcs:who/MALARIA_MICR_POS,dcid:country/AGO,2013,1462941.0
dcs:who/MALARIA_MICR_POS,dcid:country/AGO,2010,1324264.0
dcs:who/MALARIA_MICR_POS,dcid:country/AGO,2012,1056563.0
dcs:who/MALARIA_MICR_POS,dcid:country/AGO,2014,1431313.0
dcs:who/MALARIA_MICR_POS,dcid:country/AGO,2015,1396773.0
dcs:who/MALARIA_MICR_POS,dcid:country/AGO,2020,2359788.0
dcs:who/MALARIA_MICR_POS,dcid:country/AGO,2016,2058128.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARG,2012,16.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARG,2011,28.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARG,2010,109.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARG,2018,23.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARG,2014,15.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARG,2016,7.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARG,2019,0.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARG,2020,0.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARG,2013,11.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARG,2015,11.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARG,2017,18.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARM,2015,2.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARM,2014,1.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARM,2017,2.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARM,2016,2.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARM,2018,6.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARM,2020,3.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARM,2010,1.0
dcs:who/MALARIA_MICR_POS,dcid:country/ARM,2012,4.0
dcs:who/MALARIA_MICR_POS,dcid:country/AZE,2014,2.0
dcs:who/MALARIA_MICR_POS,dcid:country/AZE,2017,1.0
dcs:who/MALARIA_MICR_POS,dcid:country/AZE,2012,4.0
dcs:who/MALARIA_MICR_POS,dcid:country/AZE,2018,2.0
dcs:who/MALARIA_MICR_POS,dcid:country/AZE,2019,0.0
dcs:who/MALARIA_MICR_POS,dcid:country/AZE,2016,1.0
dcs:who/MALARIA_MICR_POS,dcid:country/AZE,2010,52.0
dcs:who/MALARIA_MICR_POS,dcid:country/AZE,2011,8.0
dcs:who/MALARIA_MICR_POS,dcid:country/AZE,2015,1.0
dcs:who/MALARIA_MICR_POS,dcid:country/AZE,2013,4.0
dcs:who/MALARIA_MICR_POS,dcid:country/BDI,2016,2520622.0
dcs:who/MALARIA_MICR_POS,dcid:country/BDI,2015,1964862.0
dcs:who/MALARIA_MICR_POS,dcid:country/BDI,2012,1484676.0
dcs:who/MALARIA_MICR_POS,dcid:country/BDI,2010,1599908.0
dcs:who/MALARIA_MICR_POS,dcid:country/BDI,2018,1148316.0
dcs:who/MALARIA_MICR_POS,dcid:country/BDI,2011,1485332.0
dcs:who/MALARIA_MICR_POS,dcid:country/BDI,2013,2366134.0
dcs:who/MALARIA_MICR_POS,dcid:country/BDI,2019,1759011.0
dcs:who/MALARIA_MICR_POS,dcid:country/BDI,2017,2269831.0
dcs:who/MALARIA_MICR_POS,dcid:country/BDI,2014,2718391.0
dcs:who/MALARIA_MICR_POS,dcid:country/BDI,2020,756441.0
dcs:who/MALARIA_MICR_POS,dcid:country/BEN,2019,294518.0
dcs:who/MALARIA_MICR_POS,dcid:country/BEN,2013,99368.0
dcs:who/MALARIA_MICR_POS,dcid:country/BEN,2020,242780.0
