SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_RDT_POS,dcid:Earth,2011,10273269.0
dcs:who/MALARIA_RDT_POS,dcid:Earth,2019,141238321.0
dcs:who/MALARIA_RDT_POS,dcid:Earth,2014,58990631.0
dcs:who/MALARIA_RDT_POS,dcid:Earth,2020,138904016.0
dcs:who/MALARIA_RDT_POS,dcid:Earth,2012,20592327.0
dcs:who/MALARIA_RDT_POS,dcid:Earth,2013,27013945.0
dcs:who/MALARIA_RDT_POS,dcid:Earth,2016,107823036.0
dcs:who/MALARIA_RDT_POS,dcid:Earth,2010,6703050.0
dcs:who/MALARIA_RDT_POS,dcid:Earth,2017,119453970.0
dcs:who/MALARIA_RDT_POS,dcid:Earth,2015,84020869.0
dcs:who/MALARIA_RDT_POS,dcid:Earth,2018,113671010.0
dcs:who/MALARIA_RDT_POS,dcid:SouthEasternAsia,2015,219424.0
dcs:who/MALARIA_RDT_POS,dcid:SouthEasternAsia,2017,648977.0
dcs:who/MALARIA_RDT_POS,dcid:SouthEasternAsia,2018,316258.0
dcs:who/MALARIA_RDT_POS,dcid:SouthEasternAsia,2013,336227.0
dcs:who/MALARIA_RDT_POS,dcid:SouthEasternAsia,2011,417006.0
dcs:who/MALARIA_RDT_POS,dcid:SouthEasternAsia,2010,371054.0
dcs:who/MALARIA_RDT_POS,dcid:SouthEasternAsia,2019,317785.0
dcs:who/MALARIA_RDT_POS,dcid:SouthEasternAsia,2012,441827.0
dcs:who/MALARIA_RDT_POS,dcid:SouthEasternAsia,2020,247444.0
dcs:who/MALARIA_RDT_POS,dcid:SouthEasternAsia,2014,240865.0
dcs:who/MALARIA_RDT_POS,dcid:SouthEasternAsia,2016,134607.0
dcs:who/MALARIA_RDT_POS,dcid:africa,2016,106561835.0
dcs:who/MALARIA_RDT_POS,dcid:africa,2020,136752150.0
dcs:who/MALARIA_RDT_POS,dcid:africa,2019,139228474.0
dcs:who/MALARIA_RDT_POS,dcid:africa,2013,26204915.0
dcs:who/MALARIA_RDT_POS,dcid:africa,2012,19864312.0
dcs:who/MALARIA_RDT_POS,dcid:africa,2011,9646081.0
dcs:who/MALARIA_RDT_POS,dcid:africa,2014,57739424.0
dcs:who/MALARIA_RDT_POS,dcid:africa,2017,117494352.0
dcs:who/MALARIA_RDT_POS,dcid:africa,2010,6039302.0
dcs:who/MALARIA_RDT_POS,dcid:africa,2018,111771433.0
dcs:who/MALARIA_RDT_POS,dcid:africa,2015,83247647.0
dcs:who/MALARIA_RDT_POS,dcid:country/AFG,2014,22558.0
dcs:who/MALARIA_RDT_POS,dcid:country/AFG,2017,118220.0
dcs:who/MALARIA_RDT_POS,dcid:country/AFG,2016,89705.0
dcs:who/MALARIA_RDT_POS,dcid:country/AFG,2018,143729.0
dcs:who/MALARIA_RDT_POS,dcid:country/AFG,2013,6851.0
dcs:who/MALARIA_RDT_POS,dcid:country/AFG,2020,66372.0
dcs:who/MALARIA_RDT_POS,dcid:country/AFG,2019,102471.0
dcs:who/MALARIA_RDT_POS,dcid:country/AFG,2010,401.0
dcs:who/MALARIA_RDT_POS,dcid:country/AFG,2015,16482.0
dcs:who/MALARIA_RDT_POS,dcid:country/AGO,2019,4497593.0
dcs:who/MALARIA_RDT_POS,dcid:country/AGO,2014,867666.0
dcs:who/MALARIA_RDT_POS,dcid:country/AGO,2017,1675082.0
dcs:who/MALARIA_RDT_POS,dcid:country/AGO,2018,2708075.0
dcs:who/MALARIA_RDT_POS,dcid:country/AGO,2020,4239539.0
dcs:who/MALARIA_RDT_POS,dcid:country/AGO,2011,484809.0
dcs:who/MALARIA_RDT_POS,dcid:country/AGO,2015,1372532.0
