SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2000,53614547.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2021,181753443.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2010,116404066.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2005,90632245.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2015,150850429.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2011,112660214.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2001,63666898.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2002,66819067.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2012,123341454.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2020,174717282.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2004,89064310.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2009,105334907.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2014,143475881.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2019,175090901.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2003,87553699.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2013,134206801.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2016,167618467.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2006,89750741.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2007,95041588.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2018,166078149.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2008,86788620.0
dcs:who/MALARIA_TOTAL_CASES,dcid:Earth,2017,171934569.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2011,2504444.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2001,4005133.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2007,2893222.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2019,671608.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2017,1240255.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2003,3675995.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2013,1681812.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2009,2945608.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2008,3140237.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2010,3085804.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2018,752907.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2000,3859661.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2015,1659425.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2005,3307434.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2021,558990.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2014,1696800.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2004,3636006.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2020,512084.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2016,1477428.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2006,3221465.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2002,3730045.0
dcs:who/MALARIA_TOTAL_CASES,dcid:SouthEasternAsia,2012,2144568.0
dcs:who/MALARIA_TOTAL_CASES,dcid:africa,2015,142473515.0
dcs:who/MALARIA_TOTAL_CASES,dcid:africa,2008,71841537.0
dcs:who/MALARIA_TOTAL_CASES,dcid:africa,2010,104477634.0
