SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MH_20,dcid:country/ALB,2014,1432.533
dcs:who/MH_20,dcid:country/AUS,2014,23445.061
dcs:who/MH_20,dcid:country/BDI,2014,0.343
dcs:who/MH_20,dcid:country/BEN,2014,0.0
dcs:who/MH_20,dcid:country/BFA,2014,0.0
dcs:who/MH_20,dcid:country/BGD,2014,231.654
dcs:who/MH_20,dcid:country/BHR,2014,3748.652
dcs:who/MH_20,dcid:country/BLZ,2014,3524.567
dcs:who/MH_20,dcid:country/BRA,2014,10516.498
dcs:who/MH_20,dcid:country/BRN,2014,2185.692
dcs:who/MH_20,dcid:country/BTN,2014,320.291
dcs:who/MH_20,dcid:country/BWA,2014,0.0
dcs:who/MH_20,dcid:country/CHL,2014,8871.42
dcs:who/MH_20,dcid:country/CIV,2014,0.0
dcs:who/MH_20,dcid:country/CUB,2014,2202.539
dcs:who/MH_20,dcid:country/CYP,2014,5.793
dcs:who/MH_20,dcid:country/CZE,2014,26385.668
dcs:who/MH_20,dcid:country/DMA,2014,143.766
dcs:who/MH_20,dcid:country/DNK,2014,15743.579
dcs:who/MH_20,dcid:country/DOM,2014,1520.255
dcs:who/MH_20,dcid:country/EGY,2014,484.826
dcs:who/MH_20,dcid:country/EST,2014,19966.52
dcs:who/MH_20,dcid:country/FIN,2014,32336.082
dcs:who/MH_20,dcid:country/FRA,2014,14820.252
dcs:who/MH_20,dcid:country/GBR,2014,3335.077
dcs:who/MH_20,dcid:country/GEO,2014,3530.801
dcs:who/MH_20,dcid:country/GHA,2014,372.511
dcs:who/MH_20,dcid:country/GRC,2014,20.668
dcs:who/MH_20,dcid:country/GRD,2014,4643.287
dcs:who/MH_20,dcid:country/GTM,2014,1051.476
dcs:who/MH_20,dcid:country/HND,2014,279.357
dcs:who/MH_20,dcid:country/HRV,2014,13165.29
dcs:who/MH_20,dcid:country/HTI,2014,0.0
dcs:who/MH_20,dcid:country/HUN,2014,23343.085
dcs:who/MH_20,dcid:country/IRN,2014,2647.119
dcs:who/MH_20,dcid:country/IRQ,2014,368.621
dcs:who/MH_20,dcid:country/ISL,2014,11000.88
dcs:who/MH_20,dcid:country/ISR,2014,6699.74
dcs:who/MH_20,dcid:country/JAM,2014,5547.022
dcs:who/MH_20,dcid:country/JOR,2014,786.162
dcs:who/MH_20,dcid:country/JPN,2014,25263.96
dcs:who/MH_20,dcid:country/KGZ,2014,0.0
dcs:who/MH_20,dcid:country/KHM,2014,326.461
dcs:who/MH_20,dcid:country/KWT,2014,12203.204
dcs:who/MH_20,dcid:country/LAO,2014,0.044
dcs:who/MH_20,dcid:country/LBR,2014,166.982
dcs:who/MH_20,dcid:country/LBY,2014,1618.771
dcs:who/MH_20,dcid:country/LTU,2014,25185.205
dcs:who/MH_20,dcid:country/LVA,2014,6676.364
dcs:who/MH_20,dcid:country/MAR,2014,435.507
dcs:who/MH_20,dcid:country/MDA,2014,1098.436
dcs:who/MH_20,dcid:country/MDV,2014,1528.274
dcs:who/MH_20,dcid:country/MEX,2014,2170.531
dcs:who/MH_20,dcid:country/MHL,2014,6916.809
dcs:who/MH_20,dcid:country/MMR,2014,108.204
dcs:who/MH_20,dcid:country/NAM,2014,0.0
dcs:who/MH_20,dcid:country/NOR,2014,44208.151
dcs:who/MH_20,dcid:country/NPL,2014,95.382
dcs:who/MH_20,dcid:country/NRU,2014,2320.968
dcs:who/MH_20,dcid:country/OMN,2014,2580.65
dcs:who/MH_20,dcid:country/PAK,2014,372.705
dcs:who/MH_20,dcid:country/PAN,2014,1164.845
dcs:who/MH_20,dcid:country/PER,2014,4.966
dcs:who/MH_20,dcid:country/PRT,2014,6471.502
dcs:who/MH_20,dcid:country/PRY,2014,1.136
dcs:who/MH_20,dcid:country/QAT,2014,990.07
dcs:who/MH_20,dcid:country/ROU,2014,0.0
dcs:who/MH_20,dcid:country/RUS,2014,287.04
dcs:who/MH_20,dcid:country/RWA,2014,1089.053
dcs:who/MH_20,dcid:country/SGP,2014,4293.631
dcs:who/MH_20,dcid:country/SLV,2014,203.924
dcs:who/MH_20,dcid:country/SMR,2014,17703.954
dcs:who/MH_20,dcid:country/SSD,2014,7.445
dcs:who/MH_20,dcid:country/STP,2014,582.159
dcs:who/MH_20,dcid:country/SVN,2014,512.914
dcs:who/MH_20,dcid:country/SWZ,2014,0.0
dcs:who/MH_20,dcid:country/SYC,2014,235.776
dcs:who/MH_20,dcid:country/TGO,2014,13.985
dcs:who/MH_20,dcid:country/THA,2014,5434.673
dcs:who/MH_20,dcid:country/TJK,2014,1236.778
dcs:who/MH_20,dcid:country/TLS,2014,492.088
dcs:who/MH_20,dcid:country/TTO,2014,3974.903
dcs:who/MH_20,dcid:country/TZA,2014,54.952
dcs:who/MH_20,dcid:country/URY,2014,8.961
dcs:who/MH_20,dcid:country/USA,2014,739.154
dcs:who/MH_20,dcid:country/UZB,2014,17119.293
dcs:who/MH_20,dcid:country/WSM,2014,166.813
dcs:who/MH_20,dcid:country/ZMB,2014,14.58
dcs:who/MH_20,dcid:country/ZWE,2014,572.814
