SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MORTADO.AGE--Y15T19,dcid:Earth,2011,5.36654
dcs:who/MORTADO.AGE--Y10T14,dcid:Earth,1991,4.83916
dcs:who/MORTADO.AGE--Y10T14__SEX--F,dcid:Earth,1990,4.59014
dcs:who/MORTADO.AGE--Y15T19__SEX--M,dcid:Earth,2009,6.30677
dcs:who/MORTADO.AGE--Y10T19__SEX--M,dcid:Earth,2012,9.62902
dcs:who/MORTADO.AGE--Y10T14__SEX--F,dcid:Earth,2015,2.72886
dcs:who/MORTADO.AGE--Y10T14,dcid:Earth,2004,3.73843
dcs:who/MORTADO.AGE--Y10T19,dcid:Earth,2018,7.67255
dcs:who/MORTADO.AGE--Y10T14__SEX--F,dcid:Earth,2012,2.93168
dcs:who/MORTADO.AGE--Y10T14,dcid:Earth,2014,3.05421
dcs:who/MORTADO.AGE--Y10T19__SEX--F,dcid:Earth,2011,7.54198
dcs:who/MORTADO.AGE--Y10T14__SEX--F,dcid:Earth,2005,3.45064
dcs:who/MORTADO.AGE--Y10T14__SEX--M,dcid:Earth,2001,4.05629
dcs:who/MORTADO.AGE--Y10T19,dcid:Earth,2009,8.86752
dcs:who/MORTADO.AGE--Y15T19__SEX--F,dcid:Earth,2013,4.35986
dcs:who/MORTADO.AGE--Y10T19,dcid:Earth,2004,9.8317
dcs:who/MORTADO.AGE--Y10T14,dcid:Earth,2017,2.8718
dcs:who/MORTADO.AGE--Y10T19,dcid:Earth,1991,12.49275
dcs:who/MORTADO.AGE--Y15T19__SEX--F,dcid:Earth,1994,7.45297
dcs:who/MORTADO.AGE--Y10T14__SEX--F,dcid:Earth,2011,3.00764
dcs:who/MORTADO.AGE--Y10T19__SEX--F,dcid:Earth,1993,11.16632
dcs:who/MORTADO.AGE--Y10T19__SEX--F,dcid:Earth,2020,6.06117
dcs:who/MORTADO.AGE--Y10T14,dcid:Earth,2002,3.72967
dcs:who/MORTADO.AGE--Y10T19__SEX--F,dcid:Earth,1995,10.80463
dcs:who/MORTADO.AGE--Y15T19,dcid:Earth,2017,4.96729
dcs:who/MORTADO.AGE--Y10T19__SEX--F,dcid:Earth,2001,9.27124
dcs:who/MORTADO.AGE--Y10T19__SEX--M,dcid:Earth,2021,8.36075
dcs:who/MORTADO.AGE--Y10T14__SEX--M,dcid:Earth,2012,3.45197
dcs:who/MORTADO.AGE--Y15T19__SEX--M,dcid:Earth,2014,6.10075
dcs:who/MORTADO.AGE--Y10T14__SEX--M,dcid:Earth,1997,4.45722
dcs:who/MORTADO.AGE--Y10T14__SEX--M,dcid:Earth,2022,2.85616
dcs:who/MORTADO.AGE--Y15T19__SEX--F,dcid:Earth,1997,6.39808
dcs:who/MORTADO.AGE--Y10T19__SEX--M,dcid:Earth,2011,9.69459
dcs:who/MORTADO.AGE--Y10T19,dcid:Earth,2011,8.60208
dcs:who/MORTADO.AGE--Y10T19__SEX--F,dcid:Earth,2015,6.91683
dcs:who/MORTADO.AGE--Y15T19__SEX--F,dcid:Earth,2015,4.19943
dcs:who/MORTADO.AGE--Y10T14__SEX--F,dcid:Earth,2001,3.56109
dcs:who/MORTADO.AGE--Y10T14__SEX--M,dcid:Earth,2017,3.14579
dcs:who/MORTADO.AGE--Y10T19__SEX--F,dcid:Earth,2014,7.04776
dcs:who/MORTADO.AGE--Y15T19,dcid:Earth,2002,6.31229
dcs:who/MORTADO.AGE--Y10T19__SEX--F,dcid:Earth,1999,9.79378
dcs:who/MORTADO.AGE--Y15T19__SEX--M,dcid:Earth,2007,6.46181
dcs:who/MORTADO.AGE--Y15T19__SEX--F,dcid:Earth,1991,6.98489
dcs:who/MORTADO.AGE--Y10T19,dcid:Earth,1996,11.54163
dcs:who/MORTADO.AGE--Y10T14__SEX--M,dcid:Earth,2004,3.98547
dcs:who/MORTADO.AGE--Y15T19__SEX--M,dcid:Earth,2017,5.926
dcs:who/MORTADO.AGE--Y15T19__SEX--F,dcid:Earth,2014,4.27131
dcs:who/MORTADO.AGE--Y10T19__SEX--M,dcid:Earth,2017,9.05315
dcs:who/MORTADO.AGE--Y10T19__SEX--M,dcid:Earth,1999,11.71872
dcs:who/MORTADO.AGE--Y10T14__SEX--M,dcid:Earth,2008,3.80976
dcs:who/MORTADO.AGE--Y10T14,dcid:Earth,1992,4.64473
dcs:who/MORTADO.AGE--Y10T19__SEX--F,dcid:Earth,2021,5.92261
dcs:who/MORTADO.AGE--Y15T19__SEX--M,dcid:Earth,2020,5.5562
dcs:who/MORTADO.AGE--Y10T14,dcid:Earth,1994,4.84541
dcs:who/MORTADO.AGE--Y10T19__SEX--M,dcid:Earth,1995,12.73877
dcs:who/MORTADO.AGE--Y15T19__SEX--F,dcid:Earth,1992,6.86523
dcs:who/MORTADO.AGE--Y10T19,dcid:Earth,2014,8.22649
