SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MORT_200.AGE--D0T27__CHILDCAUSE--CH8,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_200.AGE--M1T59__CHILDCAUSE--CH5,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_200.AGE--Y0T4__CHILDCAUSE--CH2,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_200.AGE--Y0T4__CHILDCAUSE--CH8,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_200.AGE--Y0T4__CHILDCAUSE--CH17,dcid:AustraliaAndNewZealand,2016,0.32332
dcs:who/MORT_200.AGE--Y0T4__CHILDCAUSE--CH7,dcid:AustraliaAndNewZealand,2016,0.03802
dcs:who/MORT_200.AGE--M1T59__CHILDCAUSE--CH15,dcid:AustraliaAndNewZealand,2016,0.36961
dcs:who/MORT_200.AGE--M1T59__CHILDCAUSE--CH13,dcid:AustraliaAndNewZealand,2016,0.07432
dcs:who/MORT_200.AGE--Y0T4__CHILDCAUSE--CH3,dcid:AustraliaAndNewZealand,2016,0.02459
dcs:who/MORT_200.AGE--D0T27__CHILDCAUSE--CH13,dcid:AustraliaAndNewZealand,2016,0.36222
dcs:who/MORT_200.AGE--D0T27__CHILDCAUSE--CH6,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_200.AGE--D0T27__CHILDCAUSE--CH3,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_200.AGE--D0T27__CHILDCAUSE--CH16,dcid:AustraliaAndNewZealand,2016,0.01815
dcs:who/MORT_200.AGE--D0T27__CHILDCAUSE--CH15,dcid:AustraliaAndNewZealand,2016,0.69599
dcs:who/MORT_200.AGE--Y0T4__CHILDCAUSE--CH5,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_200.AGE--M1T59__CHILDCAUSE--CH9,dcid:AustraliaAndNewZealand,2016,0.12293
dcs:who/MORT_200.AGE--Y0T4__CHILDCAUSE--CH15,dcid:AustraliaAndNewZealand,2016,1.0656
dcs:who/MORT_200.AGE--M1T59__CHILDCAUSE--CH6,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_200.AGE--D0T27__CHILDCAUSE--CH17,dcid:AustraliaAndNewZealand,2016,0.01723
dcs:who/MORT_200.AGE--M1T59__CHILDCAUSE--CH3,dcid:AustraliaAndNewZealand,2016,0.02459
dcs:who/MORT_200.AGE--M1T59__CHILDCAUSE--CH7,dcid:AustraliaAndNewZealand,2016,0.03695
dcs:who/MORT_200.AGE--M1T59__CHILDCAUSE--CH17,dcid:AustraliaAndNewZealand,2016,0.30609
dcs:who/MORT_200.AGE--Y0T4__CHILDCAUSE--CH12,dcid:AustraliaAndNewZealand,2016,0.06745
dcs:who/MORT_200.AGE--Y0T4__CHILDCAUSE--CH9,dcid:AustraliaAndNewZealand,2016,0.14758
dcs:who/MORT_200.AGE--Y0T4__CHILDCAUSE--CH13,dcid:AustraliaAndNewZealand,2016,0.43653
dcs:who/MORT_200.AGE--Y0T4__CHILDCAUSE--CH16,dcid:AustraliaAndNewZealand,2016,0.57188
dcs:who/MORT_200.AGE--D0T27__CHILDCAUSE--CH5,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_200.AGE--D0T27__CHILDCAUSE--CH9,dcid:AustraliaAndNewZealand,2016,0.02466
dcs:who/MORT_200.AGE--Y0T4__CHILDCAUSE--CH6,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_200.AGE--D0T27__CHILDCAUSE--CH7,dcid:AustraliaAndNewZealand,2016,0.00107
dcs:who/MORT_200.AGE--M1T59__CHILDCAUSE--CH8,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_200.AGE--M1T59__CHILDCAUSE--CH2,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_200.AGE--D0T27__CHILDCAUSE--CH2,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_200.AGE--M1T59__CHILDCAUSE--CH12,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_200.AGE--M1T59__CHILDCAUSE--CH16,dcid:AustraliaAndNewZealand,2016,0.55373
dcs:who/MORT_200.AGE--D0T27__CHILDCAUSE--CH12,dcid:AustraliaAndNewZealand,2016,0.06745
