SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MORT_MATERNALNUM,dcid:Earth,2010,358573.8349
dcs:who/MORT_MATERNALNUM,dcid:Earth,2014,328971.0974
dcs:who/MORT_MATERNALNUM,dcid:Earth,2018,312404.6869
dcs:who/MORT_MATERNALNUM,dcid:Earth,2016,318640.4212
dcs:who/MORT_MATERNALNUM,dcid:Earth,2008,377024.6274
dcs:who/MORT_MATERNALNUM,dcid:Earth,2013,335870.2935
dcs:who/MORT_MATERNALNUM,dcid:Earth,2019,309877.1894
dcs:who/MORT_MATERNALNUM,dcid:Earth,2020,301215.5754
dcs:who/MORT_MATERNALNUM,dcid:Earth,2011,349833.4002
dcs:who/MORT_MATERNALNUM,dcid:Earth,2012,340612.6928
dcs:who/MORT_MATERNALNUM,dcid:Earth,2017,315097.9037
dcs:who/MORT_MATERNALNUM,dcid:Earth,2009,369889.6851
dcs:who/MORT_MATERNALNUM,dcid:Earth,2015,322102.4794
dcs:who/MORT_MATERNALNUM,dcid:Earth,2001,446177.9101
dcs:who/MORT_MATERNALNUM,dcid:Earth,2005,400938.6038
dcs:who/MORT_MATERNALNUM,dcid:Earth,1998,485175.8156
dcs:who/MORT_MATERNALNUM,dcid:Earth,1994,509615.9475
dcs:who/MORT_MATERNALNUM,dcid:Earth,1990,534639.5957
dcs:who/MORT_MATERNALNUM,dcid:Earth,1999,459837.2013
dcs:who/MORT_MATERNALNUM,dcid:Earth,2004,410929.0922
dcs:who/MORT_MATERNALNUM,dcid:Earth,1996,501476.7396
dcs:who/MORT_MATERNALNUM,dcid:Earth,1995,504498.6929
dcs:who/MORT_MATERNALNUM,dcid:Earth,1991,526488.2207
dcs:who/MORT_MATERNALNUM,dcid:Earth,2000,452776.4636
dcs:who/MORT_MATERNALNUM,dcid:Earth,1993,525492.2804
dcs:who/MORT_MATERNALNUM,dcid:Earth,2003,417469.2392
dcs:who/MORT_MATERNALNUM,dcid:Earth,2007,379722.5059
dcs:who/MORT_MATERNALNUM,dcid:Earth,2006,383046.8982
dcs:who/MORT_MATERNALNUM,dcid:Earth,1997,489463.6503
dcs:who/MORT_MATERNALNUM,dcid:Earth,2002,430821.961
dcs:who/MORT_MATERNALNUM,dcid:Earth,1992,530555.6495
dcs:who/MORT_MATERNALNUM,dcid:Earth,1988,563811.5172
dcs:who/MORT_MATERNALNUM,dcid:Earth,1987,575346.6215
dcs:who/MORT_MATERNALNUM,dcid:Earth,1985,595077.2841
dcs:who/MORT_MATERNALNUM,dcid:Earth,1986,580634.1392
dcs:who/MORT_MATERNALNUM,dcid:Earth,1989,550780.5554
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2019,43843.98445
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2020,39208.94651
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2013,61660.52159
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2014,55138.58103
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2006,99881.94966
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2018,46048.15636
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2010,74653.19234
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2011,72174.52163
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2005,113502.7667
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2015,52694.66362
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2012,65852.92774
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2016,50107.77428
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2008,91469.08427
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2004,120176.163
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2017,48248.99462
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2007,96097.43927
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2009,85267.49241
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,1991,205121.5395
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,2001,146350.032
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,1986,245560.9153
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,1988,226776.2031
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,1987,230350.7596
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,1993,193160.4354
dcs:who/MORT_MATERNALNUM,dcid:SouthEasternAsia,1997,173181.277
