SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/M_Est_smk_curr,dcid:country/AFG,2022,9.2
dcs:who/M_Est_smk_curr.SEX--F,dcid:country/AFG,2022,1.8
dcs:who/M_Est_smk_curr.SEX--M,dcid:country/AFG,2022,16.6
dcs:who/M_Est_smk_curr,dcid:country/AFG,2021,9.5
dcs:who/M_Est_smk_curr.SEX--F,dcid:country/AFG,2021,1.9
dcs:who/M_Est_smk_curr.SEX--M,dcid:country/AFG,2021,17.1
dcs:who/M_Est_smk_curr,dcid:country/AFG,2020,9.9
dcs:who/M_Est_smk_curr.SEX--F,dcid:country/AFG,2020,2.1
dcs:who/M_Est_smk_curr.SEX--M,dcid:country/AFG,2020,17.6
dcs:who/M_Est_smk_curr,dcid:country/AFG,2015,12.0
dcs:who/M_Est_smk_curr.SEX--F,dcid:country/AFG,2015,3.0
dcs:who/M_Est_smk_curr.SEX--M,dcid:country/AFG,2015,20.9
dcs:who/M_Est_smk_curr,dcid:country/AFG,2010,14.6
dcs:who/M_Est_smk_curr.SEX--F,dcid:country/AFG,2010,4.4
dcs:who/M_Est_smk_curr.SEX--M,dcid:country/AFG,2010,24.8
dcs:who/M_Est_smk_curr,dcid:country/AFG,2007,16.4
dcs:who/M_Est_smk_curr.SEX--F,dcid:country/AFG,2007,5.6
dcs:who/M_Est_smk_curr.SEX--M,dcid:country/AFG,2007,27.4
dcs:who/M_Est_smk_curr,dcid:country/AFG,2005,17.9
dcs:who/M_Est_smk_curr.SEX--F,dcid:country/AFG,2005,6.5
dcs:who/M_Est_smk_curr.SEX--M,dcid:country/AFG,2005,29.6
dcs:who/M_Est_smk_curr,dcid:country/AFG,2000,22.3
dcs:who/M_Est_smk_curr.SEX--F,dcid:country/AFG,2000,9.6
dcs:who/M_Est_smk_curr.SEX--M,dcid:country/AFG,2000,35.4
dcs:who/M_Est_smk_curr,dcid:country/ALB,2022,22.5
dcs:who/M_Est_smk_curr.SEX--F,dcid:country/ALB,2022,6.6
dcs:who/M_Est_smk_curr.SEX--M,dcid:country/ALB,2022,38.7
dcs:who/M_Est_smk_curr,dcid:country/ALB,2021,22.9
