SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/PHE_HHAIR_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2005,554.20346
dcs:who/PHE_HHAIR_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2019,1103.21142
dcs:who/PHE_HHAIR_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2000,477.52961
dcs:who/PHE_HHAIR_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2014,833.96179
dcs:who/PHE_HHAIR_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2004,538.29798
dcs:who/PHE_HHAIR_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2016,932.86353
dcs:who/PHE_HHAIR_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2015,881.57245
dcs:who/PHE_HHAIR_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2002,507.64903
dcs:who/PHE_HHAIR_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2011,710.39782
dcs:who/PHE_HHAIR_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2018,1045.81664
dcs:who/PHE_HHAIR_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2021,1223.99248
dcs:who/PHE_HHAIR_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2007,594.43644
dcs:who/PHE_HHAIR_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2003,521.29254
dcs:who/PHE_HHAIR_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2020,1168.39548
