SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2017,2537.46825
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2016,2600.55259
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2019,2395.04996
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2018,2461.00967
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2020,2324.86417
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2015,2665.33471
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2014,2724.68173
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2021,2259.58289
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2018,1885.30059
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2016,611.15803
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2007,677.18618
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2018,600.28042
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2011,645.73418
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2004,3085.8661
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2004,684.62159
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1995,2443.94743
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1993,2421.11973
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2000,3095.01959
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,1995,3052.05789
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2007,2411.47796
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2011,2882.38566
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2019,598.13703
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2010,2322.22048
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,1997,3076.05326
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2016,2020.56347
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2003,3092.03893
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2012,2242.02025
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2008,670.73885
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,1993,3017.95314
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2004,2458.96838
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2019,1811.2902
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2017,1954.74509
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,1992,2996.52254
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2017,605.41067
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1996,2454.24808
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2010,654.93325
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1992,2404.35603
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,1994,3038.37424
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2001,3096.16098
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1994,2434.42405
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2007,3029.77475
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2015,616.99081
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2009,662.76007
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2015,2082.23288
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2003,684.09789
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2012,2838.1977
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2005,3069.22962
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,1999,3090.87423
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2011,2284.88651
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1999,2472.90854
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2000,2474.71813
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2008,2384.84963
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2005,2444.23745
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2008,3005.38878
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2003,2464.84026
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2001,2474.89039
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2010,2933.43702
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2021,1669.68766
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2021,600.06772
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,1996,3067.07973
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2005,683.74053
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1991,2390.69906
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2020,1740.06125
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2002,682.135
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2013,2783.47885
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2009,2968.224
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2002,3095.83208
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2006,2427.86551
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,1990,2947.46188
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1997,2462.22048
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1990,2366.67103
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2009,2357.13264
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2014,622.50764
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2014,2139.8536
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2012,638.30351
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,1998,3083.99576
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2006,680.61369
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,1991,2975.20307
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2013,2194.48011
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2013,629.09481
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2002,2471.91152
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2020,597.7067
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1998,2468.45067
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:Earth,2006,3056.22566
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,1993,647.04194
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,1996,662.77025
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,1995,659.05313
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,1992,639.76097
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,1994,653.57368
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,1998,670.92782
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2001,679.43932
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2000,677.13849
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,1999,673.20299
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,1990,625.0461
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,1991,631.10164
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,1997,667.01084
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2021,666.42124
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2020,726.49439
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2019,788.82785
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2010,1193.23967
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2012,1130.89018
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2011,1160.54494
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2014,1051.42177
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2009,1214.5002
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2007,1248.79415
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2006,1263.52545
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2008,1236.39102
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2013,1091.04091
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2017,906.66713
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2016,959.28673
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2018,846.94587
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2015,1006.91875
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2002,1275.50773
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2001,1275.11992
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,1999,1265.69798
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2004,1274.54395
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,1998,1259.0738
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2003,1276.66486
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2000,1270.10577
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,2005,1271.01355
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,1994,1223.85346
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,1996,1243.44704
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,1997,1251.53599
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,1995,1233.9994
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2017,800.76987
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,1991,1188.79198
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,1993,1212.8831
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2015,885.95635
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,1990,1176.28143
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2021,586.19117
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2019,696.70524
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2018,751.00915
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS,dcid:SouthEasternAsia,1992,1200.78338
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2016,845.49183
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2020,641.49537
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2013,950.09038
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2012,975.32468
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2009,1024.94188
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2011,995.49644
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2007,1040.8748
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2005,1046.45002
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2008,1033.36939
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2010,1010.44094
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2004,1046.50837
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2014,920.92522
dcs:who/PHE_HHAIR_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2006,1045.11691
