SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/PHE_HHAIR_PROP_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2018,32.99
dcs:who/PHE_HHAIR_PROP_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2020,36.79
dcs:who/PHE_HHAIR_PROP_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2019,34.76
dcs:who/PHE_HHAIR_PROP_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2021,38.51
dcs:who/PHE_HHAIR_PROP_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2017,31.06
dcs:who/PHE_HHAIR_PROP_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2016,29.51
dcs:who/PHE_HHAIR_PROP_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2015,27.94
dcs:who/PHE_HHAIR_PROP_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--URB,dcid:Earth,1994,55.26
dcs:who/PHE_HHAIR_PROP_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--URB,dcid:Earth,1995,56.16
dcs:who/PHE_HHAIR_PROP_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--URB,dcid:Earth,2011,67.63
dcs:who/PHE_HHAIR_PROP_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--RUR,dcid:Earth,2012,23.83
dcs:who/PHE_HHAIR_PROP_POP_CATEGORY_FUELS.HOUSEHOLDCOOKINGFUEL--FUEL_GAS__RESIDENCEAREATYPE--URB,dcid:Earth,2018,69.39
