SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS.RESIDENCEAREATYPE--RUR,dcid:AustraliaAndNewZealand,2008,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS.RESIDENCEAREATYPE--RUR,dcid:AustraliaAndNewZealand,2017,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS.RESIDENCEAREATYPE--RUR,dcid:AustraliaAndNewZealand,2005,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS,dcid:AustraliaAndNewZealand,2000,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS.RESIDENCEAREATYPE--RUR,dcid:AustraliaAndNewZealand,2015,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS.RESIDENCEAREATYPE--URB,dcid:AustraliaAndNewZealand,2000,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS.RESIDENCEAREATYPE--URB,dcid:AustraliaAndNewZealand,2014,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS.RESIDENCEAREATYPE--RUR,dcid:AustraliaAndNewZealand,2014,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS,dcid:AustraliaAndNewZealand,2006,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS,dcid:AustraliaAndNewZealand,2007,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS.RESIDENCEAREATYPE--URB,dcid:AustraliaAndNewZealand,2006,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS.RESIDENCEAREATYPE--RUR,dcid:AustraliaAndNewZealand,2019,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS,dcid:AustraliaAndNewZealand,2014,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS.RESIDENCEAREATYPE--URB,dcid:AustraliaAndNewZealand,2012,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS.RESIDENCEAREATYPE--URB,dcid:AustraliaAndNewZealand,2019,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS.RESIDENCEAREATYPE--URB,dcid:AustraliaAndNewZealand,2016,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS,dcid:AustraliaAndNewZealand,2017,100.0
dcs:who/PHE_HHAIR_PROP_POP_CLEAN_FUELS.RESIDENCEAREATYPE--RUR,dcid:AustraliaAndNewZealand,2002,100.0
