SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_new_snsuoth,dcid:Earth,2004,1680556.0
dcs:who/TB_new_snsuoth,dcid:Earth,2001,1554378.0
dcs:who/TB_new_snsuoth,dcid:Earth,2010,2012910.0
dcs:who/TB_new_snsuoth,dcid:Earth,2012,2097062.0
dcs:who/TB_new_snsuoth,dcid:Earth,2005,1730429.0
dcs:who/TB_new_snsuoth,dcid:Earth,2011,2051594.0
dcs:who/TB_new_snsuoth,dcid:Earth,2002,1624132.0
dcs:who/TB_new_snsuoth,dcid:Earth,2008,1997576.0
dcs:who/TB_new_snsuoth,dcid:Earth,2007,1943352.0
dcs:who/TB_new_snsuoth,dcid:Earth,2000,1615300.0
dcs:who/TB_new_snsuoth,dcid:Earth,2006,1843809.0
dcs:who/TB_new_snsuoth,dcid:Earth,2003,1615157.0
dcs:who/TB_new_snsuoth,dcid:Earth,2009,2025614.0
dcs:who/TB_new_snsuoth,dcid:SouthEasternAsia,2000,741471.0
dcs:who/TB_new_snsuoth,dcid:SouthEasternAsia,2010,616971.0
dcs:who/TB_new_snsuoth,dcid:SouthEasternAsia,2005,595624.0
dcs:who/TB_new_snsuoth,dcid:SouthEasternAsia,2004,618064.0
dcs:who/TB_new_snsuoth,dcid:SouthEasternAsia,2007,623593.0
dcs:who/TB_new_snsuoth,dcid:SouthEasternAsia,2009,638551.0
dcs:who/TB_new_snsuoth,dcid:SouthEasternAsia,2011,601678.0
dcs:who/TB_new_snsuoth,dcid:SouthEasternAsia,2003,636706.0
dcs:who/TB_new_snsuoth,dcid:SouthEasternAsia,2001,670373.0
dcs:who/TB_new_snsuoth,dcid:SouthEasternAsia,2012,589459.0
dcs:who/TB_new_snsuoth,dcid:SouthEasternAsia,2006,610893.0
dcs:who/TB_new_snsuoth,dcid:SouthEasternAsia,2008,637293.0
dcs:who/TB_new_snsuoth,dcid:SouthEasternAsia,2002,670620.0
dcs:who/TB_new_snsuoth,dcid:africa,2012,450879.0
dcs:who/TB_new_snsuoth,dcid:africa,2000,222230.0
dcs:who/TB_new_snsuoth,dcid:africa,2010,478077.0
dcs:who/TB_new_snsuoth,dcid:africa,2011,470705.0
dcs:who/TB_new_snsuoth,dcid:africa,2003,320698.0
dcs:who/TB_new_snsuoth,dcid:africa,2009,473552.0
dcs:who/TB_new_snsuoth,dcid:africa,2008,447897.0
dcs:who/TB_new_snsuoth,dcid:africa,2002,325076.0
dcs:who/TB_new_snsuoth,dcid:africa,2005,367726.0
dcs:who/TB_new_snsuoth,dcid:africa,2001,267772.0
dcs:who/TB_new_snsuoth,dcid:africa,2004,360677.0
dcs:who/TB_new_snsuoth,dcid:africa,2006,385271.0
dcs:who/TB_new_snsuoth,dcid:africa,2007,414801.0
dcs:who/TB_new_snsuoth,dcid:country/AFG,2004,5437.0
dcs:who/TB_new_snsuoth,dcid:country/AFG,2002,3386.0
dcs:who/TB_new_snsuoth,dcid:country/AFG,2011,6778.0
dcs:who/TB_new_snsuoth,dcid:country/AFG,2006,6809.0
dcs:who/TB_new_snsuoth,dcid:country/AFG,2009,6108.0
dcs:who/TB_new_snsuoth,dcid:country/AFG,2010,7718.0
dcs:who/TB_new_snsuoth,dcid:country/AFG,2012,7405.0
dcs:who/TB_new_snsuoth,dcid:country/AFG,2000,2358.0
dcs:who/TB_new_snsuoth,dcid:country/AFG,2001,2739.0
dcs:who/TB_new_snsuoth,dcid:country/AFG,2003,3440.0
dcs:who/TB_new_snsuoth,dcid:country/AFG,2007,8251.0
dcs:who/TB_new_snsuoth,dcid:country/AFG,2008,7903.0
dcs:who/TB_new_snsuoth,dcid:country/AFG,2005,6085.0
dcs:who/TB_new_snsuoth,dcid:country/AGO,2000,5367.0
dcs:who/TB_new_snsuoth,dcid:country/AGO,2009,13755.0
dcs:who/TB_new_snsuoth,dcid:country/AGO,2006,11635.0
dcs:who/TB_new_snsuoth,dcid:country/AGO,2002,7958.0
dcs:who/TB_new_snsuoth,dcid:country/AGO,2005,12467.0
dcs:who/TB_new_snsuoth,dcid:country/AGO,2001,6572.0
dcs:who/TB_new_snsuoth,dcid:country/AGO,2010,17285.0
dcs:who/TB_new_snsuoth,dcid:country/AGO,2004,10570.0
dcs:who/TB_new_snsuoth,dcid:country/AGO,2011,18380.0
dcs:who/TB_new_snsuoth,dcid:country/AGO,2003,12790.0
dcs:who/TB_new_snsuoth,dcid:country/AGO,2007,14733.0
dcs:who/TB_new_snsuoth,dcid:country/AGO,2008,16490.0
dcs:who/TB_new_snsuoth,dcid:country/AGO,2012,23056.0
dcs:who/TB_new_snsuoth,dcid:country/ALB,2003,124.0
dcs:who/TB_new_snsuoth,dcid:country/ALB,2001,151.0
dcs:who/TB_new_snsuoth,dcid:country/ALB,2005,134.0
dcs:who/TB_new_snsuoth,dcid:country/ALB,2004,132.0
