SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_newret_oth,dcid:Earth,2006,14925.0
dcs:who/TB_newret_oth,dcid:Earth,2010,28891.0
dcs:who/TB_newret_oth,dcid:Earth,2012,20618.0
dcs:who/TB_newret_oth,dcid:Earth,2007,8142.0
dcs:who/TB_newret_oth,dcid:Earth,2008,16778.0
dcs:who/TB_newret_oth,dcid:Earth,2004,12932.0
dcs:who/TB_newret_oth,dcid:Earth,2003,124361.0
dcs:who/TB_newret_oth,dcid:Earth,2009,32994.0
dcs:who/TB_newret_oth,dcid:Earth,2005,18172.0
dcs:who/TB_newret_oth,dcid:Earth,2002,2833.0
dcs:who/TB_newret_oth,dcid:Earth,2011,47229.0
dcs:who/TB_newret_oth,dcid:Earth,2001,285.0
dcs:who/TB_newret_oth,dcid:Earth,2000,229.0
dcs:who/TB_newret_oth,dcid:SouthEasternAsia,2008,132.0
dcs:who/TB_newret_oth,dcid:SouthEasternAsia,2012,5261.0
dcs:who/TB_newret_oth,dcid:SouthEasternAsia,2002,1522.0
dcs:who/TB_newret_oth,dcid:SouthEasternAsia,2005,202.0
dcs:who/TB_newret_oth,dcid:SouthEasternAsia,2004,180.0
dcs:who/TB_newret_oth,dcid:SouthEasternAsia,2011,3885.0
dcs:who/TB_newret_oth,dcid:SouthEasternAsia,2003,10428.0
dcs:who/TB_newret_oth,dcid:SouthEasternAsia,2010,1118.0
dcs:who/TB_newret_oth,dcid:SouthEasternAsia,2007,220.0
dcs:who/TB_newret_oth,dcid:SouthEasternAsia,2009,261.0
dcs:who/TB_newret_oth,dcid:SouthEasternAsia,2006,1389.0
dcs:who/TB_newret_oth,dcid:africa,2012,1785.0
dcs:who/TB_newret_oth,dcid:africa,2009,305.0
dcs:who/TB_newret_oth,dcid:africa,2011,18951.0
dcs:who/TB_newret_oth,dcid:africa,2008,4607.0
dcs:who/TB_newret_oth,dcid:africa,2003,18288.0
dcs:who/TB_newret_oth,dcid:africa,2005,2075.0
dcs:who/TB_newret_oth,dcid:africa,2006,995.0
dcs:who/TB_newret_oth,dcid:africa,2002,422.0
dcs:who/TB_newret_oth,dcid:africa,2004,437.0
dcs:who/TB_newret_oth,dcid:africa,2007,244.0
dcs:who/TB_newret_oth,dcid:africa,2010,317.0
dcs:who/TB_newret_oth,dcid:country/AFG,2008,0.0
dcs:who/TB_newret_oth,dcid:country/AFG,2007,0.0
dcs:who/TB_newret_oth,dcid:country/AFG,2009,733.0
dcs:who/TB_newret_oth,dcid:country/AGO,2003,0.0
dcs:who/TB_newret_oth,dcid:country/AGO,2008,0.0
dcs:who/TB_newret_oth,dcid:country/AGO,2011,0.0
dcs:who/TB_newret_oth,dcid:country/AGO,2006,0.0
dcs:who/TB_newret_oth,dcid:country/AGO,2004,0.0
dcs:who/TB_newret_oth,dcid:country/AGO,2009,0.0
dcs:who/TB_newret_oth,dcid:country/ALB,2004,0.0
dcs:who/TB_newret_oth,dcid:country/ALB,2012,0.0
dcs:who/TB_newret_oth,dcid:country/ALB,2011,0.0
dcs:who/TB_newret_oth,dcid:country/ALB,2010,0.0
dcs:who/TB_newret_oth,dcid:country/ALB,2009,10.0
dcs:who/TB_newret_oth,dcid:country/ALB,2003,12.0
dcs:who/TB_newret_oth,dcid:country/ALB,2007,0.0
dcs:who/TB_newret_oth,dcid:country/ALB,2008,0.0
dcs:who/TB_newret_oth,dcid:country/AND,2012,1.0
dcs:who/TB_newret_oth,dcid:country/AND,2007,0.0
dcs:who/TB_newret_oth,dcid:country/AND,2009,0.0
dcs:who/TB_newret_oth,dcid:country/AND,2011,0.0
dcs:who/TB_newret_oth,dcid:country/AND,2008,0.0
dcs:who/TB_newret_oth,dcid:country/AND,2010,0.0
dcs:who/TB_newret_oth,dcid:country/AND,2003,1.0
dcs:who/TB_newret_oth,dcid:country/AND,2004,0.0
dcs:who/TB_newret_oth,dcid:country/ARE,2005,0.0
dcs:who/TB_newret_oth,dcid:country/ARE,2010,0.0
dcs:who/TB_newret_oth,dcid:country/ARE,2007,0.0
dcs:who/TB_newret_oth,dcid:country/ARE,2011,0.0
dcs:who/TB_newret_oth,dcid:country/ARE,2009,0.0
dcs:who/TB_newret_oth,dcid:country/ARE,2012,0.0
dcs:who/TB_newret_oth,dcid:country/ARE,2003,0.0
dcs:who/TB_newret_oth,dcid:country/ARE,2006,0.0
dcs:who/TB_newret_oth,dcid:country/ARE,2008,0.0
dcs:who/TB_newret_oth,dcid:country/ARG,2007,472.0
dcs:who/TB_newret_oth,dcid:country/ARG,2003,116.0
dcs:who/TB_newret_oth,dcid:country/ARG,2006,269.0
dcs:who/TB_newret_oth,dcid:country/ARG,2010,49.0
dcs:who/TB_newret_oth,dcid:country/ARG,2005,806.0
dcs:who/TB_newret_oth,dcid:country/ARG,2004,794.0
dcs:who/TB_newret_oth,dcid:country/ARM,2007,0.0
dcs:who/TB_newret_oth,dcid:country/ARM,2009,0.0
dcs:who/TB_newret_oth,dcid:country/ARM,2012,0.0
dcs:who/TB_newret_oth,dcid:country/ARM,2011,0.0
dcs:who/TB_newret_oth,dcid:country/ARM,2004,0.0
dcs:who/TB_newret_oth,dcid:country/ARM,2010,0.0
dcs:who/TB_newret_oth,dcid:country/ARM,2008,0.0
dcs:who/TB_newret_oth,dcid:country/ARM,2003,0.0
dcs:who/TB_newret_oth,dcid:country/ATG,2007,0.0
dcs:who/TB_newret_oth,dcid:country/ATG,2005,0.0
dcs:who/TB_newret_oth,dcid:country/ATG,2006,0.0
dcs:who/TB_newret_oth,dcid:country/ATG,2010,1.0
dcs:who/TB_newret_oth,dcid:country/ATG,2011,0.0
dcs:who/TB_newret_oth,dcid:country/ATG,2009,0.0
dcs:who/TB_newret_oth,dcid:country/ATG,2003,0.0
dcs:who/TB_newret_oth,dcid:country/ATG,2008,0.0
dcs:who/TB_newret_oth,dcid:country/AUS,2010,70.0
dcs:who/TB_newret_oth,dcid:country/AUS,2007,5.0
dcs:who/TB_newret_oth,dcid:country/AUS,2004,12.0
dcs:who/TB_newret_oth,dcid:country/AUS,2009,77.0
dcs:who/TB_newret_oth,dcid:country/AUS,2012,20.0
dcs:who/TB_newret_oth,dcid:country/AUS,2008,2.0
dcs:who/TB_newret_oth,dcid:country/AUS,2006,4.0
dcs:who/TB_newret_oth,dcid:country/AUS,2011,17.0
dcs:who/TB_newret_oth,dcid:country/AUT,2004,0.0
dcs:who/TB_newret_oth,dcid:country/AUT,2009,226.0
dcs:who/TB_newret_oth,dcid:country/AUT,2012,198.0
dcs:who/TB_newret_oth,dcid:country/AUT,2011,273.0
dcs:who/TB_newret_oth,dcid:country/AUT,2003,0.0
dcs:who/TB_newret_oth,dcid:country/AUT,2007,0.0
dcs:who/TB_newret_oth,dcid:country/AUT,2010,302.0
dcs:who/TB_newret_oth,dcid:country/AZE,2010,1160.0
dcs:who/TB_newret_oth,dcid:country/AZE,2011,2649.0
dcs:who/TB_newret_oth,dcid:country/AZE,2004,0.0
dcs:who/TB_newret_oth,dcid:country/AZE,2009,2161.0
dcs:who/TB_newret_oth,dcid:country/AZE,2008,1215.0
dcs:who/TB_newret_oth,dcid:country/AZE,2003,5.0
dcs:who/TB_newret_oth,dcid:country/AZE,2007,0.0
dcs:who/TB_newret_oth,dcid:country/AZE,2006,0.0
dcs:who/TB_newret_oth,dcid:country/BDI,2010,0.0
dcs:who/TB_newret_oth,dcid:country/BDI,2011,0.0
dcs:who/TB_newret_oth,dcid:country/BDI,2009,0.0
dcs:who/TB_newret_oth,dcid:country/BDI,2005,0.0
dcs:who/TB_newret_oth,dcid:country/BDI,2007,0.0
dcs:who/TB_newret_oth,dcid:country/BDI,2004,0.0
dcs:who/TB_newret_oth,dcid:country/BDI,2012,0.0
dcs:who/TB_newret_oth,dcid:country/BDI,2006,0.0
dcs:who/TB_newret_oth,dcid:country/BDI,2008,0.0
dcs:who/TB_newret_oth,dcid:country/BDI,2003,0.0
dcs:who/TB_newret_oth,dcid:country/BDI,2002,0.0
dcs:who/TB_newret_oth,dcid:country/BDI,2000,0.0
dcs:who/TB_newret_oth,dcid:country/BDI,2001,0.0
dcs:who/TB_newret_oth,dcid:country/BEL,2004,0.0
dcs:who/TB_newret_oth,dcid:country/BEL,2012,258.0
dcs:who/TB_newret_oth,dcid:country/BEL,2007,0.0
dcs:who/TB_newret_oth,dcid:country/BEL,2003,34.0
dcs:who/TB_newret_oth,dcid:country/BEL,2009,131.0
dcs:who/TB_newret_oth,dcid:country/BEL,2011,274.0
dcs:who/TB_newret_oth,dcid:country/BEL,2008,128.0
dcs:who/TB_newret_oth,dcid:country/BEL,2010,211.0
dcs:who/TB_newret_oth,dcid:country/BEN,2011,0.0
dcs:who/TB_newret_oth,dcid:country/BEN,2008,0.0
dcs:who/TB_newret_oth,dcid:country/BEN,2010,0.0
dcs:who/TB_newret_oth,dcid:country/BEN,2012,0.0
dcs:who/TB_newret_oth,dcid:country/BEN,2007,0.0
dcs:who/TB_newret_oth,dcid:country/BEN,2009,0.0
dcs:who/TB_newret_oth,dcid:country/BFA,2004,0.0
dcs:who/TB_newret_oth,dcid:country/BFA,2011,0.0
dcs:who/TB_newret_oth,dcid:country/BFA,2001,0.0
dcs:who/TB_newret_oth,dcid:country/BFA,2012,0.0
dcs:who/TB_newret_oth,dcid:country/BFA,2006,0.0
dcs:who/TB_newret_oth,dcid:country/BFA,2008,0.0
dcs:who/TB_newret_oth,dcid:country/BFA,2000,0.0
dcs:who/TB_newret_oth,dcid:country/BFA,2010,0.0
dcs:who/TB_newret_oth,dcid:country/BFA,2002,0.0
dcs:who/TB_newret_oth,dcid:country/BFA,2007,0.0
dcs:who/TB_newret_oth,dcid:country/BFA,2005,0.0
dcs:who/TB_newret_oth,dcid:country/BFA,2009,0.0
dcs:who/TB_newret_oth,dcid:country/BFA,2003,0.0
dcs:who/TB_newret_oth,dcid:country/BGD,2011,3459.0
dcs:who/TB_newret_oth,dcid:country/BGD,2010,0.0
dcs:who/TB_newret_oth,dcid:country/BGD,2008,0.0
dcs:who/TB_newret_oth,dcid:country/BGD,2012,3828.0
dcs:who/TB_newret_oth,dcid:country/BGD,2002,1522.0
dcs:who/TB_newret_oth,dcid:country/BGR,2007,0.0
dcs:who/TB_newret_oth,dcid:country/BGR,2012,0.0
dcs:who/TB_newret_oth,dcid:country/BGR,2004,0.0
dcs:who/TB_newret_oth,dcid:country/BGR,2008,0.0
dcs:who/TB_newret_oth,dcid:country/BGR,2009,0.0
dcs:who/TB_newret_oth,dcid:country/BGR,2010,0.0
dcs:who/TB_newret_oth,dcid:country/BGR,2011,0.0
dcs:who/TB_newret_oth,dcid:country/BGR,2003,194.0
dcs:who/TB_newret_oth,dcid:country/BHR,2007,0.0
