SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_ret_nrel,dcid:Earth,2021,273575.0
dcs:who/TB_ret_nrel,dcid:Earth,2004,391644.0
dcs:who/TB_ret_nrel,dcid:Earth,2019,391887.0
dcs:who/TB_ret_nrel,dcid:Earth,2003,295734.0
dcs:who/TB_ret_nrel,dcid:Earth,2007,487802.0
dcs:who/TB_ret_nrel,dcid:Earth,2012,395854.0
dcs:who/TB_ret_nrel,dcid:Earth,2014,262165.0
dcs:who/TB_ret_nrel,dcid:Earth,2005,406292.0
dcs:who/TB_ret_nrel,dcid:Earth,2000,236107.0
dcs:who/TB_ret_nrel,dcid:Earth,2016,321612.0
dcs:who/TB_ret_nrel,dcid:Earth,2006,411204.0
dcs:who/TB_ret_nrel,dcid:Earth,2010,417949.0
dcs:who/TB_ret_nrel,dcid:Earth,2017,234200.0
dcs:who/TB_ret_nrel,dcid:Earth,2011,414740.0
dcs:who/TB_ret_nrel,dcid:Earth,2002,204445.0
dcs:who/TB_ret_nrel,dcid:Earth,2008,493924.0
dcs:who/TB_ret_nrel,dcid:Earth,2020,319905.0
dcs:who/TB_ret_nrel,dcid:Earth,2013,370894.0
dcs:who/TB_ret_nrel,dcid:Earth,2001,308398.0
dcs:who/TB_ret_nrel,dcid:Earth,2009,388697.0
dcs:who/TB_ret_nrel,dcid:Earth,2018,334152.0
dcs:who/TB_ret_nrel,dcid:Earth,2015,227932.0
dcs:who/TB_ret_nrel,dcid:Earth,2022,288603.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2020,206627.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2010,208542.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2005,158215.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2002,98350.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2012,201335.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2015,93461.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2001,138560.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2004,154792.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2017,107931.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2022,172346.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2014,98531.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2019,262419.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2003,125902.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2011,215554.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2000,80444.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2021,172036.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2018,211890.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2013,198863.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2007,194736.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2009,203598.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2008,209433.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2016,190750.0
dcs:who/TB_ret_nrel,dcid:SouthEasternAsia,2006,182640.0
dcs:who/TB_ret_nrel,dcid:africa,2001,103994.0
dcs:who/TB_ret_nrel,dcid:africa,2008,82971.0
dcs:who/TB_ret_nrel,dcid:africa,2002,22313.0
dcs:who/TB_ret_nrel,dcid:africa,2019,36074.0
dcs:who/TB_ret_nrel,dcid:africa,2017,29618.0
dcs:who/TB_ret_nrel,dcid:africa,2009,89374.0
dcs:who/TB_ret_nrel,dcid:africa,2022,33652.0
dcs:who/TB_ret_nrel,dcid:africa,2018,29996.0
dcs:who/TB_ret_nrel,dcid:africa,2020,36519.0
dcs:who/TB_ret_nrel,dcid:africa,2003,41758.0
dcs:who/TB_ret_nrel,dcid:africa,2007,76659.0
dcs:who/TB_ret_nrel,dcid:africa,2000,68118.0
dcs:who/TB_ret_nrel,dcid:africa,2011,74911.0
dcs:who/TB_ret_nrel,dcid:africa,2016,31433.0
dcs:who/TB_ret_nrel,dcid:africa,2013,50236.0
dcs:who/TB_ret_nrel,dcid:africa,2012,69142.0
dcs:who/TB_ret_nrel,dcid:africa,2014,43478.0
dcs:who/TB_ret_nrel,dcid:africa,2015,36717.0
dcs:who/TB_ret_nrel,dcid:africa,2005,66449.0
dcs:who/TB_ret_nrel,dcid:africa,2004,60000.0
dcs:who/TB_ret_nrel,dcid:africa,2010,94506.0
dcs:who/TB_ret_nrel,dcid:africa,2021,29257.0
dcs:who/TB_ret_nrel,dcid:africa,2006,76456.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2020,240.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2009,208.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2019,332.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2011,184.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2012,899.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2010,209.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2013,1115.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2018,380.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2008,0.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2016,1092.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2014,966.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2007,0.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2003,141.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2017,766.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2015,1123.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2022,739.0
dcs:who/TB_ret_nrel,dcid:country/AFG,2021,386.0
dcs:who/TB_ret_nrel,dcid:country/AGO,2007,1091.0
dcs:who/TB_ret_nrel,dcid:country/AGO,2009,1465.0
dcs:who/TB_ret_nrel,dcid:country/AGO,2006,4280.0
dcs:who/TB_ret_nrel,dcid:country/AGO,2010,5332.0
