SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_ret_oth,dcid:country/AFG,2007,0.0
dcs:who/TB_ret_oth,dcid:country/AFG,2008,0.0
dcs:who/TB_ret_oth,dcid:country/AGO,2008,0.0
dcs:who/TB_ret_oth,dcid:country/AGO,1997,695.0
dcs:who/TB_ret_oth,dcid:country/AGO,2010,850.0
dcs:who/TB_ret_oth,dcid:country/AGO,2006,0.0
dcs:who/TB_ret_oth,dcid:country/AGO,2011,0.0
dcs:who/TB_ret_oth,dcid:country/AGO,2004,0.0
dcs:who/TB_ret_oth,dcid:country/AGO,1998,502.0
dcs:who/TB_ret_oth,dcid:country/AGO,1999,621.0
dcs:who/TB_ret_oth,dcid:country/ALB,2007,7.0
dcs:who/TB_ret_oth,dcid:country/ALB,2004,30.0
dcs:who/TB_ret_oth,dcid:country/ALB,2000,4.0
dcs:who/TB_ret_oth,dcid:country/ALB,2003,6.0
dcs:who/TB_ret_oth,dcid:country/ALB,2006,32.0
dcs:who/TB_ret_oth,dcid:country/ALB,2005,30.0
dcs:who/TB_ret_oth,dcid:country/ALB,1999,5.0
dcs:who/TB_ret_oth,dcid:country/ALB,2012,8.0
dcs:who/TB_ret_oth,dcid:country/ALB,2011,9.0
dcs:who/TB_ret_oth,dcid:country/ALB,2008,7.0
dcs:who/TB_ret_oth,dcid:country/ALB,2009,0.0
dcs:who/TB_ret_oth,dcid:country/ALB,2010,10.0
dcs:who/TB_ret_oth,dcid:country/AND,2009,1.0
dcs:who/TB_ret_oth,dcid:country/AND,2011,1.0
dcs:who/TB_ret_oth,dcid:country/AND,2006,1.0
dcs:who/TB_ret_oth,dcid:country/AND,1997,2.0
dcs:who/TB_ret_oth,dcid:country/AND,2000,0.0
dcs:who/TB_ret_oth,dcid:country/AND,2012,0.0
dcs:who/TB_ret_oth,dcid:country/AND,2003,0.0
dcs:who/TB_ret_oth,dcid:country/AND,2005,0.0
dcs:who/TB_ret_oth,dcid:country/AND,2007,1.0
dcs:who/TB_ret_oth,dcid:country/AND,1999,0.0
dcs:who/TB_ret_oth,dcid:country/AND,2010,0.0
dcs:who/TB_ret_oth,dcid:country/AND,2008,0.0
dcs:who/TB_ret_oth,dcid:country/AND,2004,0.0
dcs:who/TB_ret_oth,dcid:country/ARE,2010,0.0
dcs:who/TB_ret_oth,dcid:country/ARE,2002,1.0
dcs:who/TB_ret_oth,dcid:country/ARE,2009,0.0
dcs:who/TB_ret_oth,dcid:country/ARE,2012,0.0
dcs:who/TB_ret_oth,dcid:country/ARE,2011,0.0
dcs:who/TB_ret_oth,dcid:country/ARE,2006,0.0
dcs:who/TB_ret_oth,dcid:country/ARE,2007,0.0
dcs:who/TB_ret_oth,dcid:country/ARE,1999,4.0
dcs:who/TB_ret_oth,dcid:country/ARE,2005,0.0
dcs:who/TB_ret_oth,dcid:country/ARE,2008,0.0
