SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_ret_rel,dcid:Earth,2003,227443.0
dcs:who/TB_ret_rel,dcid:Earth,2004,269628.0
dcs:who/TB_ret_rel,dcid:Earth,2011,285340.0
dcs:who/TB_ret_rel,dcid:Earth,2001,150198.0
dcs:who/TB_ret_rel,dcid:Earth,2006,290728.0
dcs:who/TB_ret_rel,dcid:Earth,2005,260014.0
dcs:who/TB_ret_rel,dcid:Earth,2002,178840.0
dcs:who/TB_ret_rel,dcid:Earth,2012,288411.0
dcs:who/TB_ret_rel,dcid:Earth,2010,286453.0
dcs:who/TB_ret_rel,dcid:Earth,2007,280751.0
dcs:who/TB_ret_rel,dcid:Earth,2009,288623.0
dcs:who/TB_ret_rel,dcid:Earth,2000,115334.0
dcs:who/TB_ret_rel,dcid:Earth,2008,281461.0
dcs:who/TB_ret_rel,dcid:SouthEasternAsia,2006,109275.0
dcs:who/TB_ret_rel,dcid:SouthEasternAsia,2002,53140.0
dcs:who/TB_ret_rel,dcid:SouthEasternAsia,2009,127826.0
dcs:who/TB_ret_rel,dcid:SouthEasternAsia,2008,122863.0
dcs:who/TB_ret_rel,dcid:SouthEasternAsia,2004,76870.0
dcs:who/TB_ret_rel,dcid:SouthEasternAsia,2011,135650.0
dcs:who/TB_ret_rel,dcid:SouthEasternAsia,2000,27095.0
dcs:who/TB_ret_rel,dcid:SouthEasternAsia,2005,93859.0
dcs:who/TB_ret_rel,dcid:SouthEasternAsia,2010,130714.0
dcs:who/TB_ret_rel,dcid:SouthEasternAsia,2012,131245.0
dcs:who/TB_ret_rel,dcid:SouthEasternAsia,2007,115293.0
dcs:who/TB_ret_rel,dcid:SouthEasternAsia,2003,60774.0
dcs:who/TB_ret_rel,dcid:SouthEasternAsia,2001,44477.0
dcs:who/TB_ret_rel,dcid:africa,2009,54946.0
dcs:who/TB_ret_rel,dcid:africa,2004,58380.0
dcs:who/TB_ret_rel,dcid:africa,2002,48365.0
dcs:who/TB_ret_rel,dcid:africa,2001,32631.0
dcs:who/TB_ret_rel,dcid:africa,2005,60092.0
dcs:who/TB_ret_rel,dcid:africa,2007,57404.0
dcs:who/TB_ret_rel,dcid:africa,2000,19173.0
dcs:who/TB_ret_rel,dcid:africa,2008,53292.0
dcs:who/TB_ret_rel,dcid:africa,2003,45421.0
dcs:who/TB_ret_rel,dcid:africa,2006,75464.0
dcs:who/TB_ret_rel,dcid:africa,2011,52528.0
dcs:who/TB_ret_rel,dcid:africa,2010,53967.0
dcs:who/TB_ret_rel,dcid:africa,2012,60338.0
dcs:who/TB_ret_rel,dcid:country/AFG,2006,1132.0
dcs:who/TB_ret_rel,dcid:country/AFG,2011,1130.0
dcs:who/TB_ret_rel,dcid:country/AFG,2009,1082.0
dcs:who/TB_ret_rel,dcid:country/AFG,2007,1078.0
dcs:who/TB_ret_rel,dcid:country/AFG,2005,856.0
dcs:who/TB_ret_rel,dcid:country/AFG,2002,594.0
dcs:who/TB_ret_rel,dcid:country/AFG,2003,604.0
dcs:who/TB_ret_rel,dcid:country/AFG,2004,894.0
dcs:who/TB_ret_rel,dcid:country/AFG,2001,209.0
dcs:who/TB_ret_rel,dcid:country/AFG,2012,1049.0
dcs:who/TB_ret_rel,dcid:country/AFG,2010,1116.0
dcs:who/TB_ret_rel,dcid:country/AFG,2000,237.0
dcs:who/TB_ret_rel,dcid:country/AFG,2008,1135.0
dcs:who/TB_ret_rel,dcid:country/AGO,2009,2398.0
dcs:who/TB_ret_rel,dcid:country/AGO,2012,2863.0
dcs:who/TB_ret_rel,dcid:country/AGO,2007,2226.0
dcs:who/TB_ret_rel,dcid:country/AGO,2002,1388.0
dcs:who/TB_ret_rel,dcid:country/AGO,2000,540.0
dcs:who/TB_ret_rel,dcid:country/AGO,2008,2237.0
dcs:who/TB_ret_rel,dcid:country/AGO,2004,1832.0
dcs:who/TB_ret_rel,dcid:country/AGO,2005,1729.0
dcs:who/TB_ret_rel,dcid:country/AGO,2001,937.0
dcs:who/TB_ret_rel,dcid:country/AGO,2010,2444.0
dcs:who/TB_ret_rel,dcid:country/AGO,2003,1397.0
dcs:who/TB_ret_rel,dcid:country/AGO,2006,14566.0
dcs:who/TB_ret_rel,dcid:country/AGO,2011,2758.0
dcs:who/TB_ret_rel,dcid:country/ALB,2001,24.0
dcs:who/TB_ret_rel,dcid:country/ALB,2006,2.0
dcs:who/TB_ret_rel,dcid:country/ALB,2010,16.0
dcs:who/TB_ret_rel,dcid:country/ALB,2012,17.0
dcs:who/TB_ret_rel,dcid:country/ALB,2002,28.0
dcs:who/TB_ret_rel,dcid:country/ALB,2003,16.0
dcs:who/TB_ret_rel,dcid:country/ALB,2000,11.0
dcs:who/TB_ret_rel,dcid:country/ALB,2009,19.0
dcs:who/TB_ret_rel,dcid:country/ALB,2007,16.0
dcs:who/TB_ret_rel,dcid:country/ALB,2008,25.0
dcs:who/TB_ret_rel,dcid:country/ALB,2005,9.0
dcs:who/TB_ret_rel,dcid:country/ALB,2011,9.0
dcs:who/TB_ret_rel,dcid:country/ALB,2004,3.0
dcs:who/TB_ret_rel,dcid:country/AND,2010,0.0
dcs:who/TB_ret_rel,dcid:country/AND,2008,0.0
dcs:who/TB_ret_rel,dcid:country/AND,2005,0.0
dcs:who/TB_ret_rel,dcid:country/AND,2009,1.0
dcs:who/TB_ret_rel,dcid:country/AND,2001,1.0
dcs:who/TB_ret_rel,dcid:country/AND,2003,0.0
dcs:who/TB_ret_rel,dcid:country/AND,2012,0.0
dcs:who/TB_ret_rel,dcid:country/AND,2004,0.0
dcs:who/TB_ret_rel,dcid:country/AND,2002,0.0
dcs:who/TB_ret_rel,dcid:country/AND,2011,0.0
dcs:who/TB_ret_rel,dcid:country/AND,2007,0.0
dcs:who/TB_ret_rel,dcid:country/AND,2000,0.0
dcs:who/TB_ret_rel,dcid:country/ARE,2003,1.0
dcs:who/TB_ret_rel,dcid:country/ARE,2011,0.0
dcs:who/TB_ret_rel,dcid:country/ARE,2006,4.0
dcs:who/TB_ret_rel,dcid:country/ARE,2009,0.0
dcs:who/TB_ret_rel,dcid:country/ARE,2007,5.0
dcs:who/TB_ret_rel,dcid:country/ARE,2002,3.0
dcs:who/TB_ret_rel,dcid:country/ARE,2001,0.0
dcs:who/TB_ret_rel,dcid:country/ARE,2010,0.0
dcs:who/TB_ret_rel,dcid:country/ARE,2000,0.0
dcs:who/TB_ret_rel,dcid:country/ARE,2008,1.0
dcs:who/TB_ret_rel,dcid:country/ARE,2005,4.0
dcs:who/TB_ret_rel,dcid:country/ARE,2012,2.0
dcs:who/TB_ret_rel,dcid:country/ARE,2004,4.0
dcs:who/TB_ret_rel,dcid:country/ARG,2011,314.0
dcs:who/TB_ret_rel,dcid:country/ARG,2010,290.0
dcs:who/TB_ret_rel,dcid:country/ARG,2008,138.0
dcs:who/TB_ret_rel,dcid:country/ARG,2009,338.0
dcs:who/TB_ret_rel,dcid:country/ARG,2005,143.0
dcs:who/TB_ret_rel,dcid:country/ARG,2001,124.0
dcs:who/TB_ret_rel,dcid:country/ARG,2012,322.0
dcs:who/TB_ret_rel,dcid:country/ARG,2003,102.0
dcs:who/TB_ret_rel,dcid:country/ARG,2002,173.0
dcs:who/TB_ret_rel,dcid:country/ARG,2000,104.0
dcs:who/TB_ret_rel,dcid:country/ARG,2007,162.0
dcs:who/TB_ret_rel,dcid:country/ARG,2004,168.0
dcs:who/TB_ret_rel,dcid:country/ARG,2006,52.0
dcs:who/TB_ret_rel,dcid:country/ARM,2010,81.0
dcs:who/TB_ret_rel,dcid:country/ARM,2005,211.0
dcs:who/TB_ret_rel,dcid:country/ARM,2011,61.0
dcs:who/TB_ret_rel,dcid:country/ARM,2004,102.0
dcs:who/TB_ret_rel,dcid:country/ARM,2006,169.0
dcs:who/TB_ret_rel,dcid:country/ARM,2002,40.0
dcs:who/TB_ret_rel,dcid:country/ARM,2008,148.0
dcs:who/TB_ret_rel,dcid:country/ARM,2003,101.0
dcs:who/TB_ret_rel,dcid:country/ARM,2007,149.0
dcs:who/TB_ret_rel,dcid:country/ARM,2009,96.0
dcs:who/TB_ret_rel,dcid:country/ARM,2001,46.0
dcs:who/TB_ret_rel,dcid:country/ARM,2000,54.0
dcs:who/TB_ret_rel,dcid:country/ARM,2012,90.0
dcs:who/TB_ret_rel,dcid:country/ATG,2001,0.0
dcs:who/TB_ret_rel,dcid:country/ATG,2010,0.0
dcs:who/TB_ret_rel,dcid:country/ATG,2011,0.0
dcs:who/TB_ret_rel,dcid:country/ATG,2009,1.0
dcs:who/TB_ret_rel,dcid:country/ATG,2005,0.0
dcs:who/TB_ret_rel,dcid:country/ATG,2012,0.0
dcs:who/TB_ret_rel,dcid:country/ATG,2002,0.0
dcs:who/TB_ret_rel,dcid:country/ATG,2000,0.0
dcs:who/TB_ret_rel,dcid:country/ATG,2007,0.0
dcs:who/TB_ret_rel,dcid:country/ATG,2008,0.0
dcs:who/TB_ret_rel,dcid:country/ATG,2003,0.0
dcs:who/TB_ret_rel,dcid:country/ATG,2006,0.0
dcs:who/TB_ret_rel,dcid:country/AUS,2008,31.0
dcs:who/TB_ret_rel,dcid:country/AUS,2011,20.0
dcs:who/TB_ret_rel,dcid:country/AUS,2000,17.0
dcs:who/TB_ret_rel,dcid:country/AUS,2003,23.0
dcs:who/TB_ret_rel,dcid:country/AUS,2012,26.0
dcs:who/TB_ret_rel,dcid:country/AUS,2004,23.0
dcs:who/TB_ret_rel,dcid:country/AUS,2001,29.0
dcs:who/TB_ret_rel,dcid:country/AUS,2006,32.0
dcs:who/TB_ret_rel,dcid:country/AUS,2002,5.0
dcs:who/TB_ret_rel,dcid:country/AUS,2007,34.0
dcs:who/TB_ret_rel,dcid:country/AUS,2005,16.0
dcs:who/TB_ret_rel,dcid:country/AUS,2009,41.0
dcs:who/TB_ret_rel,dcid:country/AUS,2010,41.0
dcs:who/TB_ret_rel,dcid:country/AUT,2010,0.0
dcs:who/TB_ret_rel,dcid:country/AUT,2012,12.0
dcs:who/TB_ret_rel,dcid:country/AUT,2002,0.0
dcs:who/TB_ret_rel,dcid:country/AUT,2001,0.0
dcs:who/TB_ret_rel,dcid:country/AUT,2005,0.0
dcs:who/TB_ret_rel,dcid:country/AUT,2011,4.0
dcs:who/TB_ret_rel,dcid:country/AUT,2000,0.0
dcs:who/TB_ret_rel,dcid:country/AUT,2004,0.0
dcs:who/TB_ret_rel,dcid:country/AUT,2003,0.0
dcs:who/TB_ret_rel,dcid:country/AUT,2009,4.0
dcs:who/TB_ret_rel,dcid:country/AUT,2007,0.0
dcs:who/TB_ret_rel,dcid:country/AZE,2006,1276.0
dcs:who/TB_ret_rel,dcid:country/AZE,2002,178.0
dcs:who/TB_ret_rel,dcid:country/AZE,2000,74.0
dcs:who/TB_ret_rel,dcid:country/AZE,2001,21.0
dcs:who/TB_ret_rel,dcid:country/AZE,2012,1747.0
dcs:who/TB_ret_rel,dcid:country/AZE,2005,1314.0
dcs:who/TB_ret_rel,dcid:country/AZE,2010,1153.0
dcs:who/TB_ret_rel,dcid:country/AZE,2009,1429.0
dcs:who/TB_ret_rel,dcid:country/AZE,2003,73.0
dcs:who/TB_ret_rel,dcid:country/AZE,2011,1201.0
dcs:who/TB_ret_rel,dcid:country/AZE,2008,1287.0
dcs:who/TB_ret_rel,dcid:country/AZE,2004,1091.0
dcs:who/TB_ret_rel,dcid:country/AZE,2007,1077.0
dcs:who/TB_ret_rel,dcid:country/BDI,2012,210.0
dcs:who/TB_ret_rel,dcid:country/BDI,2010,224.0
dcs:who/TB_ret_rel,dcid:country/BDI,2004,61.0
dcs:who/TB_ret_rel,dcid:country/BDI,2008,148.0
dcs:who/TB_ret_rel,dcid:country/BDI,2007,166.0
dcs:who/TB_ret_rel,dcid:country/BDI,2005,74.0
dcs:who/TB_ret_rel,dcid:country/BDI,2006,145.0
dcs:who/TB_ret_rel,dcid:country/BDI,2000,205.0
dcs:who/TB_ret_rel,dcid:country/BDI,2009,192.0
dcs:who/TB_ret_rel,dcid:country/BDI,2001,153.0
dcs:who/TB_ret_rel,dcid:country/BDI,2011,229.0
dcs:who/TB_ret_rel,dcid:country/BDI,2002,111.0
dcs:who/TB_ret_rel,dcid:country/BDI,2003,96.0
dcs:who/TB_ret_rel,dcid:country/BEL,2000,89.0
dcs:who/TB_ret_rel,dcid:country/BEL,2003,0.0
dcs:who/TB_ret_rel,dcid:country/BEL,2004,0.0
dcs:who/TB_ret_rel,dcid:country/BEL,2002,0.0
dcs:who/TB_ret_rel,dcid:country/BEL,2007,0.0
dcs:who/TB_ret_rel,dcid:country/BEL,2008,0.0
dcs:who/TB_ret_rel,dcid:country/BEL,2001,0.0
dcs:who/TB_ret_rel,dcid:country/BEN,2008,131.0
dcs:who/TB_ret_rel,dcid:country/BEN,2003,109.0
dcs:who/TB_ret_rel,dcid:country/BEN,2000,91.0
dcs:who/TB_ret_rel,dcid:country/BEN,2004,127.0
dcs:who/TB_ret_rel,dcid:country/BEN,2005,150.0
dcs:who/TB_ret_rel,dcid:country/BEN,2010,120.0
dcs:who/TB_ret_rel,dcid:country/BEN,2011,154.0
dcs:who/TB_ret_rel,dcid:country/BEN,2007,170.0
dcs:who/TB_ret_rel,dcid:country/BEN,2006,148.0
dcs:who/TB_ret_rel,dcid:country/BEN,2012,174.0
dcs:who/TB_ret_rel,dcid:country/BEN,2009,162.0
dcs:who/TB_ret_rel,dcid:country/BEN,2001,88.0
dcs:who/TB_ret_rel,dcid:country/BEN,2002,106.0
dcs:who/TB_ret_rel,dcid:country/BFA,2009,213.0
dcs:who/TB_ret_rel,dcid:country/BFA,2000,88.0
dcs:who/TB_ret_rel,dcid:country/BFA,2002,106.0
dcs:who/TB_ret_rel,dcid:country/BFA,2006,166.0
dcs:who/TB_ret_rel,dcid:country/BFA,2010,217.0
dcs:who/TB_ret_rel,dcid:country/BFA,2008,189.0
dcs:who/TB_ret_rel,dcid:country/BFA,2011,227.0
dcs:who/TB_ret_rel,dcid:country/BFA,2004,105.0
dcs:who/TB_ret_rel,dcid:country/BFA,2005,160.0
dcs:who/TB_ret_rel,dcid:country/BFA,2003,116.0
dcs:who/TB_ret_rel,dcid:country/BFA,2007,179.0
dcs:who/TB_ret_rel,dcid:country/BFA,2001,73.0
dcs:who/TB_ret_rel,dcid:country/BFA,2012,194.0
dcs:who/TB_ret_rel,dcid:country/BGD,2008,4138.0
dcs:who/TB_ret_rel,dcid:country/BGD,2010,2989.0
dcs:who/TB_ret_rel,dcid:country/BGD,2007,3788.0
dcs:who/TB_ret_rel,dcid:country/BGD,2004,3213.0
dcs:who/TB_ret_rel,dcid:country/BGD,2006,4218.0
dcs:who/TB_ret_rel,dcid:country/BGD,2011,2701.0
dcs:who/TB_ret_rel,dcid:country/BGD,2012,3065.0
dcs:who/TB_ret_rel,dcid:country/BGD,2009,4099.0
dcs:who/TB_ret_rel,dcid:country/BGD,2005,3876.0
dcs:who/TB_ret_rel,dcid:country/BGD,2000,1763.0
dcs:who/TB_ret_rel,dcid:country/BGD,2002,2485.0
dcs:who/TB_ret_rel,dcid:country/BGD,2001,2017.0
dcs:who/TB_ret_rel,dcid:country/BGD,2003,2505.0
dcs:who/TB_ret_rel,dcid:country/BGR,2004,102.0
dcs:who/TB_ret_rel,dcid:country/BGR,2000,383.0
dcs:who/TB_ret_rel,dcid:country/BGR,2001,426.0
dcs:who/TB_ret_rel,dcid:country/BGR,2009,129.0
dcs:who/TB_ret_rel,dcid:country/BGR,2003,117.0
dcs:who/TB_ret_rel,dcid:country/BGR,2006,125.0
dcs:who/TB_ret_rel,dcid:country/BGR,2008,106.0
dcs:who/TB_ret_rel,dcid:country/BGR,2011,120.0
dcs:who/TB_ret_rel,dcid:country/BGR,2010,111.0
dcs:who/TB_ret_rel,dcid:country/BGR,2005,124.0
dcs:who/TB_ret_rel,dcid:country/BGR,2007,105.0
dcs:who/TB_ret_rel,dcid:country/BGR,2002,373.0
dcs:who/TB_ret_rel,dcid:country/BGR,2012,115.0
dcs:who/TB_ret_rel,dcid:country/BHR,2004,0.0
dcs:who/TB_ret_rel,dcid:country/BHR,2005,0.0
dcs:who/TB_ret_rel,dcid:country/BHR,2008,0.0
dcs:who/TB_ret_rel,dcid:country/BHR,2010,0.0
dcs:who/TB_ret_rel,dcid:country/BHR,2009,0.0
dcs:who/TB_ret_rel,dcid:country/BHR,2001,0.0
dcs:who/TB_ret_rel,dcid:country/BHR,2012,0.0
dcs:who/TB_ret_rel,dcid:country/BHR,2006,0.0
dcs:who/TB_ret_rel,dcid:country/BHR,2007,2.0
dcs:who/TB_ret_rel,dcid:country/BHR,2011,0.0
dcs:who/TB_ret_rel,dcid:country/BHR,2002,0.0
dcs:who/TB_ret_rel,dcid:country/BHS,2010,1.0
dcs:who/TB_ret_rel,dcid:country/BHS,2004,0.0
dcs:who/TB_ret_rel,dcid:country/BHS,2007,1.0
