SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_ret_rel_clindx,dcid:Earth,2021,85672.0
dcs:who/TB_ret_rel_clindx,dcid:Earth,2022,99432.0
dcs:who/TB_ret_rel_clindx,dcid:Earth,2013,37382.0
dcs:who/TB_ret_rel_clindx,dcid:Earth,2020,78357.0
dcs:who/TB_ret_rel_clindx,dcid:Earth,2018,96571.0
dcs:who/TB_ret_rel_clindx,dcid:Earth,2019,94418.0
dcs:who/TB_ret_rel_clindx,dcid:Earth,2016,204032.0
dcs:who/TB_ret_rel_clindx,dcid:Earth,2015,172718.0
dcs:who/TB_ret_rel_clindx,dcid:Earth,2017,80899.0
dcs:who/TB_ret_rel_clindx,dcid:Earth,2014,147661.0
dcs:who/TB_ret_rel_clindx,dcid:SouthEasternAsia,2017,21394.0
dcs:who/TB_ret_rel_clindx,dcid:SouthEasternAsia,2020,24065.0
dcs:who/TB_ret_rel_clindx,dcid:SouthEasternAsia,2018,31903.0
dcs:who/TB_ret_rel_clindx,dcid:SouthEasternAsia,2014,117971.0
dcs:who/TB_ret_rel_clindx,dcid:SouthEasternAsia,2013,1558.0
dcs:who/TB_ret_rel_clindx,dcid:SouthEasternAsia,2022,26389.0
dcs:who/TB_ret_rel_clindx,dcid:SouthEasternAsia,2019,26255.0
dcs:who/TB_ret_rel_clindx,dcid:SouthEasternAsia,2016,152093.0
dcs:who/TB_ret_rel_clindx,dcid:SouthEasternAsia,2015,131206.0
dcs:who/TB_ret_rel_clindx,dcid:SouthEasternAsia,2021,20145.0
dcs:who/TB_ret_rel_clindx,dcid:africa,2022,21533.0
dcs:who/TB_ret_rel_clindx,dcid:africa,2021,20155.0
dcs:who/TB_ret_rel_clindx,dcid:africa,2018,18724.0
dcs:who/TB_ret_rel_clindx,dcid:africa,2017,17399.0
dcs:who/TB_ret_rel_clindx,dcid:africa,2013,18093.0
dcs:who/TB_ret_rel_clindx,dcid:africa,2016,14846.0
dcs:who/TB_ret_rel_clindx,dcid:africa,2019,19089.0
dcs:who/TB_ret_rel_clindx,dcid:africa,2020,18976.0
dcs:who/TB_ret_rel_clindx,dcid:africa,2014,11217.0
dcs:who/TB_ret_rel_clindx,dcid:africa,2015,11528.0
dcs:who/TB_ret_rel_clindx,dcid:country/AFG,2020,108.0
dcs:who/TB_ret_rel_clindx,dcid:country/AFG,2022,103.0
dcs:who/TB_ret_rel_clindx,dcid:country/AFG,2019,144.0
dcs:who/TB_ret_rel_clindx,dcid:country/AFG,2018,171.0
dcs:who/TB_ret_rel_clindx,dcid:country/AFG,2017,129.0
dcs:who/TB_ret_rel_clindx,dcid:country/AFG,2021,93.0
dcs:who/TB_ret_rel_clindx,dcid:country/AGO,2021,742.0
dcs:who/TB_ret_rel_clindx,dcid:country/AGO,2019,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/AGO,2020,640.0
dcs:who/TB_ret_rel_clindx,dcid:country/AGO,2013,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/AGO,2016,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/AGO,2017,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/AGO,2018,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/AGO,2015,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/AGO,2022,1340.0
dcs:who/TB_ret_rel_clindx,dcid:country/AGO,2014,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/ALB,2013,3.0
dcs:who/TB_ret_rel_clindx,dcid:country/ALB,2018,4.0
dcs:who/TB_ret_rel_clindx,dcid:country/ALB,2017,5.0
dcs:who/TB_ret_rel_clindx,dcid:country/ALB,2015,3.0
dcs:who/TB_ret_rel_clindx,dcid:country/ALB,2016,2.0
dcs:who/TB_ret_rel_clindx,dcid:country/ALB,2020,3.0
dcs:who/TB_ret_rel_clindx,dcid:country/ALB,2021,3.0
dcs:who/TB_ret_rel_clindx,dcid:country/ALB,2014,2.0
dcs:who/TB_ret_rel_clindx,dcid:country/ALB,2022,5.0
dcs:who/TB_ret_rel_clindx,dcid:country/ALB,2019,7.0
dcs:who/TB_ret_rel_clindx,dcid:country/AND,2015,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/AND,2016,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/AND,2018,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/AND,2014,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/AND,2013,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/AND,2017,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARE,2015,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARE,2020,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARE,2018,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARE,2014,1.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARE,2016,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARE,2021,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARE,2022,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARE,2013,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARE,2017,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARE,2019,0.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARG,2015,123.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARG,2021,51.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARG,2014,107.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARG,2016,87.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARG,2019,43.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARG,2018,105.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARG,2022,63.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARG,2017,118.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARG,2020,43.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARG,2013,74.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARM,2019,42.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARM,2013,186.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARM,2018,56.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARM,2014,147.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARM,2021,3.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARM,2020,5.0
dcs:who/TB_ret_rel_clindx,dcid:country/ARM,2016,110.0
