SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_rr_mdr,dcid:Earth,2020,156885.0
dcs:who/TB_rr_mdr,dcid:Earth,2010,67044.0
dcs:who/TB_rr_mdr,dcid:Earth,2018,186896.0
dcs:who/TB_rr_mdr,dcid:Earth,2019,202009.0
dcs:who/TB_rr_mdr,dcid:Earth,2005,12166.0
dcs:who/TB_rr_mdr,dcid:Earth,2021,167211.0
dcs:who/TB_rr_mdr,dcid:Earth,2012,106564.0
dcs:who/TB_rr_mdr,dcid:Earth,2022,179050.0
dcs:who/TB_rr_mdr,dcid:Earth,2009,52825.0
dcs:who/TB_rr_mdr,dcid:Earth,2013,122362.0
dcs:who/TB_rr_mdr,dcid:Earth,2014,121658.0
dcs:who/TB_rr_mdr,dcid:Earth,2008,31196.0
dcs:who/TB_rr_mdr,dcid:Earth,2007,30020.0
dcs:who/TB_rr_mdr,dcid:Earth,2017,160276.0
dcs:who/TB_rr_mdr,dcid:Earth,2015,132501.0
dcs:who/TB_rr_mdr,dcid:Earth,2011,68724.0
dcs:who/TB_rr_mdr,dcid:Earth,2016,155680.0
dcs:who/TB_rr_mdr,dcid:Earth,2006,19503.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2011,6825.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2008,1717.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2021,72274.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2018,75964.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2005,68.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2016,46565.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2006,779.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2013,28112.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2010,4290.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2020,64969.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2009,2626.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2022,81967.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2012,20831.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2019,86623.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2015,35953.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2014,33231.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2017,51788.0
dcs:who/TB_rr_mdr,dcid:SouthEasternAsia,2007,918.0
dcs:who/TB_rr_mdr,dcid:africa,2013,31388.0
dcs:who/TB_rr_mdr,dcid:africa,2015,26919.0
dcs:who/TB_rr_mdr,dcid:africa,2009,11241.0
dcs:who/TB_rr_mdr,dcid:africa,2010,18828.0
dcs:who/TB_rr_mdr,dcid:africa,2017,26494.0
dcs:who/TB_rr_mdr,dcid:africa,2014,25654.0
dcs:who/TB_rr_mdr,dcid:africa,2008,9543.0
dcs:who/TB_rr_mdr,dcid:africa,2018,24712.0
dcs:who/TB_rr_mdr,dcid:africa,2021,19966.0
dcs:who/TB_rr_mdr,dcid:africa,2016,27455.0
dcs:who/TB_rr_mdr,dcid:africa,2007,8841.0
dcs:who/TB_rr_mdr,dcid:africa,2022,22495.0
dcs:who/TB_rr_mdr,dcid:africa,2019,25717.0
dcs:who/TB_rr_mdr,dcid:africa,2011,14787.0
dcs:who/TB_rr_mdr,dcid:africa,2012,29553.0
dcs:who/TB_rr_mdr,dcid:africa,2020,18289.0
dcs:who/TB_rr_mdr,dcid:africa,2005,2445.0
dcs:who/TB_rr_mdr,dcid:africa,2006,7074.0
dcs:who/TB_rr_mdr,dcid:country/AFG,2010,19.0
dcs:who/TB_rr_mdr,dcid:country/AFG,2016,153.0
