SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE161,dcid:Earth,2012,0.0
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE119,dcid:Earth,2012,452706.2877
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE114,dcid:Earth,2012,58985983.19
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE161,dcid:Earth,2012,8119699.793
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE140,dcid:Earth,2012,2621856.617
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE138,dcid:Earth,2012,14627732.53
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE098,dcid:Earth,2012,69729.24622
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE159,dcid:Earth,2012,4722548.874
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE153,dcid:Earth,2012,31000887.08
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE102,dcid:Earth,2012,0.0
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE136,dcid:Earth,2012,3606529.401
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE031,dcid:Earth,2012,0.0
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE030,dcid:Earth,2012,308325.3146
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE024,dcid:Earth,2012,1345.69837
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE031,dcid:Earth,2012,298711.3491
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE068,dcid:Earth,2012,13902105.25
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE087,dcid:Earth,2012,1663568.246
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE095,dcid:Earth,2012,1088035.908
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE003,dcid:Earth,2012,7688970.594
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE055,dcid:Earth,2012,2834186.259
dcs:who/TOTENV_3,dcid:Earth,2012,596412170.9
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE055,dcid:Earth,2012,2834186.259
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE136,dcid:Earth,2012,0.0
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE101,dcid:Earth,2012,1985121.323
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE114,dcid:Earth,2012,0.0
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE108,dcid:Earth,2012,0.0
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE111,dcid:Earth,2012,0.0
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE155,dcid:Earth,2012,942879.9424
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE116,dcid:Earth,2012,1355821.996
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE156,dcid:Earth,2012,4544989.712
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE089,dcid:Earth,2012,0.0
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE098,dcid:Earth,2012,0.0
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE140,dcid:Earth,2012,2088286.833
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE119,dcid:Earth,2012,11055149.63
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE090,dcid:Earth,2012,546443.0225
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE092,dcid:Earth,2012,8163.80689
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE024,dcid:Earth,2012,295449.5585
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE027,dcid:Earth,2012,1893573.86
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE010,dcid:Earth,2012,7780321.156
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE022,dcid:Earth,2012,18667064.47
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE011,dcid:Earth,2012,56606912.95
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE086,dcid:Earth,2012,5121132.297
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE086,dcid:Earth,2012,2428.05643
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE022,dcid:Earth,2012,23074450.32
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE039,dcid:Earth,2012,51752605.37
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE083,dcid:Earth,2012,8473706.75
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE162,dcid:Earth,2012,283108.2787
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE162,dcid:Earth,2012,5101921.459
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE138,dcid:Earth,2012,0.0
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE155,dcid:Earth,2012,12671696.34
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE135,dcid:Earth,2012,934392.6448
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE159,dcid:Earth,2012,23133586.28
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE118,dcid:Earth,2012,0.0
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE112,dcid:Earth,2012,2146829.592
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE113,dcid:Earth,2012,0.0
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE157,dcid:Earth,2012,16948333.66
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE104,dcid:Earth,2012,0.0
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE091,dcid:Earth,2012,0.13123
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE096,dcid:Earth,2012,14.09762
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE108,dcid:Earth,2012,4787241.873
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE028,dcid:Earth,2012,59826.95116
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE019,dcid:Earth,2012,111445.8522
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE088,dcid:Earth,2012,5479364.641
dcs:who/TOTENV_3.AGE--Y0T4__ENVCAUSE--ENVCAUSE011,dcid:Earth,2012,34775074.99
dcs:who/TOTENV_3.ENVCAUSE--ENVCAUSE025,dcid:Earth,2012,3301300.271
