SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/W-MM_Group,dcid:country/AFG,2012,2.0
dcs:who/W-MM_Group,dcid:country/AFG,2020,2.0
dcs:who/W-MM_Group,dcid:country/AFG,2018,2.0
dcs:who/W-MM_Group,dcid:country/AFG,2014,2.0
dcs:who/W-MM_Group,dcid:country/AFG,2016,2.0
dcs:who/W-MM_Group,dcid:country/AFG,2010,1.0
dcs:who/W-MM_Group,dcid:country/AFG,2022,2.0
dcs:who/W-MM_Group,dcid:country/AGO,2014,2.0
dcs:who/W-MM_Group,dcid:country/AGO,2018,1.0
dcs:who/W-MM_Group,dcid:country/AGO,2020,5.0
dcs:who/W-MM_Group,dcid:country/AGO,2012,2.0
dcs:who/W-MM_Group,dcid:country/AGO,2016,2.0
dcs:who/W-MM_Group,dcid:country/AGO,2010,2.0
dcs:who/W-MM_Group,dcid:country/AGO,2022,2.0
dcs:who/W-MM_Group,dcid:country/ALB,2012,2.0
dcs:who/W-MM_Group,dcid:country/ALB,2018,2.0
dcs:who/W-MM_Group,dcid:country/ALB,2010,5.0
dcs:who/W-MM_Group,dcid:country/ALB,2016,3.0
dcs:who/W-MM_Group,dcid:country/ALB,2020,2.0
dcs:who/W-MM_Group,dcid:country/ALB,2022,2.0
dcs:who/W-MM_Group,dcid:country/ALB,2014,2.0
dcs:who/W-MM_Group,dcid:country/AND,2012,2.0
dcs:who/W-MM_Group,dcid:country/AND,2018,2.0
dcs:who/W-MM_Group,dcid:country/AND,2010,1.0
dcs:who/W-MM_Group,dcid:country/AND,2016,2.0
dcs:who/W-MM_Group,dcid:country/AND,2020,2.0
dcs:who/W-MM_Group,dcid:country/AND,2022,2.0
dcs:who/W-MM_Group,dcid:country/AND,2014,2.0
dcs:who/W-MM_Group,dcid:country/ARE,2012,1.0
dcs:who/W-MM_Group,dcid:country/ARE,2018,2.0
dcs:who/W-MM_Group,dcid:country/ARE,2010,4.0
dcs:who/W-MM_Group,dcid:country/ARE,2016,4.0
dcs:who/W-MM_Group,dcid:country/ARE,2020,4.0
dcs:who/W-MM_Group,dcid:country/ARE,2022,2.0
dcs:who/W-MM_Group,dcid:country/ARE,2014,4.0
dcs:who/W-MM_Group,dcid:country/ARG,2020,2.0
dcs:who/W-MM_Group,dcid:country/ARG,2014,4.0
dcs:who/W-MM_Group,dcid:country/ARG,2018,3.0
dcs:who/W-MM_Group,dcid:country/ARG,2012,2.0
dcs:who/W-MM_Group,dcid:country/ARG,2010,4.0
dcs:who/W-MM_Group,dcid:country/ARG,2022,2.0
dcs:who/W-MM_Group,dcid:country/ARG,2016,4.0
dcs:who/W-MM_Group,dcid:country/ARM,2012,1.0
dcs:who/W-MM_Group,dcid:country/ARM,2018,1.0
dcs:who/W-MM_Group,dcid:country/ARM,2010,2.0
dcs:who/W-MM_Group,dcid:country/ARM,2016,1.0
dcs:who/W-MM_Group,dcid:country/ARM,2020,4.0
dcs:who/W-MM_Group,dcid:country/ARM,2022,3.0
dcs:who/W-MM_Group,dcid:country/ARM,2014,4.0
dcs:who/W-MM_Group,dcid:country/ATG,2020,4.0
dcs:who/W-MM_Group,dcid:country/ATG,2014,2.0
dcs:who/W-MM_Group,dcid:country/ATG,2018,2.0
dcs:who/W-MM_Group,dcid:country/ATG,2012,2.0
dcs:who/W-MM_Group,dcid:country/ATG,2010,1.0
dcs:who/W-MM_Group,dcid:country/ATG,2022,3.0
dcs:who/W-MM_Group,dcid:country/ATG,2016,3.0
dcs:who/W-MM_Group,dcid:country/AUS,2014,5.0
dcs:who/W-MM_Group,dcid:country/AUS,2016,5.0
dcs:who/W-MM_Group,dcid:country/AUS,2018,5.0
dcs:who/W-MM_Group,dcid:country/AUS,2020,2.0
dcs:who/W-MM_Group,dcid:country/AUS,2012,5.0
dcs:who/W-MM_Group,dcid:country/AUS,2010,5.0
dcs:who/W-MM_Group,dcid:country/AUS,2022,2.0
dcs:who/W-MM_Group,dcid:country/AUT,2012,2.0
dcs:who/W-MM_Group,dcid:country/AUT,2018,5.0
dcs:who/W-MM_Group,dcid:country/AUT,2010,2.0
dcs:who/W-MM_Group,dcid:country/AUT,2016,5.0
