SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WHOSIS_000014,dcid:Earth,2018,14.28513
dcs:who/WHOSIS_000014,dcid:Earth,2019,14.09204
dcs:who/WHOSIS_000014,dcid:Earth,2008,17.79409
dcs:who/WHOSIS_000014,dcid:Earth,2006,18.82628
dcs:who/WHOSIS_000014,dcid:Earth,2009,17.34888
dcs:who/WHOSIS_000014,dcid:Earth,2001,21.09873
dcs:who/WHOSIS_000014,dcid:Earth,2013,15.89687
dcs:who/WHOSIS_000014,dcid:Earth,2003,20.40122
dcs:who/WHOSIS_000014,dcid:Earth,2004,19.93289
dcs:who/WHOSIS_000014,dcid:Earth,2002,20.77883
dcs:who/WHOSIS_000014,dcid:Earth,2014,15.50873
dcs:who/WHOSIS_000014,dcid:Earth,2005,19.39516
dcs:who/WHOSIS_000014,dcid:Earth,2010,16.91434
dcs:who/WHOSIS_000014,dcid:Earth,2012,16.12647
dcs:who/WHOSIS_000014,dcid:Earth,2011,16.51727
dcs:who/WHOSIS_000014,dcid:Earth,2016,14.74497
dcs:who/WHOSIS_000014,dcid:Earth,2015,15.18398
dcs:who/WHOSIS_000014,dcid:Earth,2007,18.29941
dcs:who/WHOSIS_000014,dcid:Earth,2020,14.03707
dcs:who/WHOSIS_000014,dcid:Earth,2000,21.33095
dcs:who/WHOSIS_000014,dcid:Earth,2017,14.39952
dcs:who/WHOSIS_000014,dcid:Earth,2021,13.91052
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2013,18.19775
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2018,14.06664
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2014,17.69801
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2016,15.8402
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2019,13.38552
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2021,12.46872
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2017,14.91464
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2020,12.87463
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2015,16.79106
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2003,26.24488
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2007,22.53012
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2004,25.4658
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2000,28.2615
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2002,26.94384
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2012,18.58585
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2011,19.07315
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2010,19.88078
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2001,27.62713
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2005,24.44507
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2008,21.65432
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2009,20.75546
dcs:who/WHOSIS_000014,dcid:SouthEasternAsia,2006,23.47584
dcs:who/WHOSIS_000014,dcid:africa,2008,24.1805
dcs:who/WHOSIS_000014,dcid:africa,2020,20.92342
dcs:who/WHOSIS_000014,dcid:africa,2014,22.37163
dcs:who/WHOSIS_000014,dcid:africa,2007,24.53463
dcs:who/WHOSIS_000014,dcid:africa,2010,23.56592
dcs:who/WHOSIS_000014,dcid:africa,2016,21.82823
dcs:who/WHOSIS_000014,dcid:africa,2012,22.96078
dcs:who/WHOSIS_000014,dcid:africa,2017,21.61291
dcs:who/WHOSIS_000014,dcid:africa,2015,22.08052
dcs:who/WHOSIS_000014,dcid:africa,2018,21.41188
dcs:who/WHOSIS_000014,dcid:africa,2009,23.87927
dcs:who/WHOSIS_000014,dcid:africa,2019,21.15918
dcs:who/WHOSIS_000014,dcid:africa,2021,20.64577
dcs:who/WHOSIS_000014,dcid:africa,2011,23.2614
dcs:who/WHOSIS_000014,dcid:africa,2013,22.66786
dcs:who/WHOSIS_000014,dcid:africa,2002,26.57129
dcs:who/WHOSIS_000014,dcid:africa,2005,25.33256
