SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WHS4_111,dcid:Earth,2014,83.0
dcs:who/WHS4_111,dcid:SouthEasternAsia,2014,77.0
dcs:who/WHS4_111,dcid:africa,2014,77.0
dcs:who/WHS4_111,dcid:country/AFG,2011,45.5
dcs:who/WHS4_111,dcid:country/AGO,2009,67.6
dcs:who/WHS4_111,dcid:country/ALB,2009,97.3
dcs:who/WHS4_111,dcid:country/ARE,2011,100.0
dcs:who/WHS4_111,dcid:country/ARG,2012,98.1
dcs:who/WHS4_111,dcid:country/ARM,2010,99.1
dcs:who/WHS4_111,dcid:country/ATG,2009,100.0
dcs:who/WHS4_111,dcid:country/AUS,2010,96.1
dcs:who/WHS4_111,dcid:country/AZE,2006,76.6
dcs:who/WHS4_111,dcid:country/BDI,2010,98.9
dcs:who/WHS4_111,dcid:country/BEN,2012,83.5
dcs:who/WHS4_111,dcid:country/BFA,2010,94.9
dcs:who/WHS4_111,dcid:country/BGD,2013,58.7
dcs:who/WHS4_111,dcid:country/BHR,2012,100.0
dcs:who/WHS4_111,dcid:country/BHS,2011,86.0
dcs:who/WHS4_111,dcid:country/BIH,2012,87.0
dcs:who/WHS4_111,dcid:country/BLR,2012,99.7
dcs:who/WHS4_111,dcid:country/BLZ,2011,96.3
dcs:who/WHS4_111,dcid:country/BOL,2008,85.8
dcs:who/WHS4_111,dcid:country/BRA,2012,96.0
dcs:who/WHS4_111,dcid:country/BRB,2012,93.4
dcs:who/WHS4_111,dcid:country/BRN,2012,93.2
dcs:who/WHS4_111,dcid:country/BTN,2010,74.4
dcs:who/WHS4_111,dcid:country/BWA,2008,93.7
dcs:who/WHS4_111,dcid:country/CAF,2010,54.6
dcs:who/WHS4_111,dcid:country/CAN,2007,100.0
dcs:who/WHS4_111,dcid:country/CHN,2012,95.0
dcs:who/WHS4_111,dcid:country/CIV,2012,88.9
dcs:who/WHS4_111,dcid:country/CMR,2011,84.7
dcs:who/WHS4_111,dcid:country/COD,2014,89.2
dcs:who/WHS4_111,dcid:country/COG,2012,89.7
dcs:who/WHS4_111,dcid:country/COL,2010,97.0
dcs:who/WHS4_111,dcid:country/COM,2012,92.1
dcs:who/WHS4_111,dcid:country/CPV,2011,90.9
dcs:who/WHS4_111,dcid:country/CRI,2012,95.0
dcs:who/WHS4_111,dcid:country/CUB,2009,100.0
dcs:who/WHS4_111,dcid:country/CYP,2007,99.2
dcs:who/WHS4_111,dcid:country/CZE,2012,98.2
dcs:who/WHS4_111,dcid:country/DJI,2006,81.0
dcs:who/WHS4_111,dcid:country/DMA,2009,100.0
dcs:who/WHS4_111,dcid:country/DOM,2013,99.3
dcs:who/WHS4_111,dcid:country/DZA,2012,92.9
dcs:who/WHS4_111,dcid:country/ECU,2007,84.1
dcs:who/WHS4_111,dcid:country/EGY,2014,90.3
dcs:who/WHS4_111,dcid:country/ERI,2010,69.5
dcs:who/WHS4_111,dcid:country/EST,2012,98.9
dcs:who/WHS4_111,dcid:country/ETH,2011,33.9
dcs:who/WHS4_111,dcid:country/FJI,2013,98.3
dcs:who/WHS4_111,dcid:country/FRA,2010,100.0
dcs:who/WHS4_111,dcid:country/FSM,2008,80.0
dcs:who/WHS4_111,dcid:country/GAB,2012,94.7
dcs:who/WHS4_111,dcid:country/GEO,2010,97.6
dcs:who/WHS4_111,dcid:country/GHA,2011,96.4
dcs:who/WHS4_111,dcid:country/GIN,2012,85.2
dcs:who/WHS4_111,dcid:country/GMB,2013,86.2
dcs:who/WHS4_111,dcid:country/GNB,2010,92.6
dcs:who/WHS4_111,dcid:country/GNQ,2011,91.3
dcs:who/WHS4_111,dcid:country/GRD,2009,100.0
dcs:who/WHS4_111,dcid:country/GTM,2009,93.0
dcs:who/WHS4_111,dcid:country/GUY,2009,85.7
dcs:who/WHS4_111,dcid:country/HND,2012,94.2
dcs:who/WHS4_111,dcid:country/HRV,2013,94.4
dcs:who/WHS4_111,dcid:country/HTI,2012,89.9
dcs:who/WHS4_111,dcid:country/IDN,2012,95.7
dcs:who/WHS4_111,dcid:country/IND,2008,75.1
dcs:who/WHS4_111,dcid:country/IRL,2012,99.9
dcs:who/WHS4_111,dcid:country/IRN,2010,96.9
dcs:who/WHS4_111,dcid:country/IRQ,2011,77.7
dcs:who/WHS4_111,dcid:country/ITA,2010,98.1
dcs:who/WHS4_111,dcid:country/JAM,2011,97.6
dcs:who/WHS4_111,dcid:country/JOR,2012,99.1
dcs:who/WHS4_111,dcid:country/KAZ,2011,97.9
dcs:who/WHS4_111,dcid:country/KEN,2009,91.5
dcs:who/WHS4_111,dcid:country/KGZ,2014,98.4
dcs:who/WHS4_111,dcid:country/KHM,2010,89.1
dcs:who/WHS4_111,dcid:country/KIR,2009,88.4
dcs:who/WHS4_111,dcid:country/KNA,2007,100.0
dcs:who/WHS4_111,dcid:country/KOR,2009,100.0
dcs:who/WHS4_111,dcid:country/KWT,2010,100.0
dcs:who/WHS4_111,dcid:country/LAO,2012,52.5
dcs:who/WHS4_111,dcid:country/LBR,2013,95.9
dcs:who/WHS4_111,dcid:country/LBY,2007,93.1
dcs:who/WHS4_111,dcid:country/LCA,2012,96.9
dcs:who/WHS4_111,dcid:country/LKA,2007,99.4
dcs:who/WHS4_111,dcid:country/LTU,2010,100.0
dcs:who/WHS4_111,dcid:country/LUX,2011,99.9
dcs:who/WHS4_111,dcid:country/LVA,2012,98.4
dcs:who/WHS4_111,dcid:country/MAR,2011,77.1
dcs:who/WHS4_111,dcid:country/MDA,2012,98.8
dcs:who/WHS4_111,dcid:country/MDG,2013,82.1
dcs:who/WHS4_111,dcid:country/MDV,2009,99.2
dcs:who/WHS4_111,dcid:country/MEX,2012,98.7
dcs:who/WHS4_111,dcid:country/MHL,2011,92.4
dcs:who/WHS4_111,dcid:country/MKD,2011,98.6
dcs:who/WHS4_111,dcid:country/MLI,2013,74.2
dcs:who/WHS4_111,dcid:country/MLT,2010,100.0
dcs:who/WHS4_111,dcid:country/MMR,2010,83.1
dcs:who/WHS4_111,dcid:country/MNE,2013,91.7
dcs:who/WHS4_111,dcid:country/MNG,2013,98.7
dcs:who/WHS4_111,dcid:country/MOZ,2011,90.6
dcs:who/WHS4_111,dcid:country/MRT,2011,84.2
dcs:who/WHS4_111,dcid:country/MWI,2014,96.1
dcs:who/WHS4_111,dcid:country/MYS,2012,96.5
dcs:who/WHS4_111,dcid:country/NAM,2013,96.6
dcs:who/WHS4_111,dcid:country/NER,2012,82.8
dcs:who/WHS4_111,dcid:country/NGA,2013,60.6
dcs:who/WHS4_111,dcid:country/NIC,2012,94.7
dcs:who/WHS4_111,dcid:country/NIU,2008,100.0
dcs:who/WHS4_111,dcid:country/NPL,2011,58.3
dcs:who/WHS4_111,dcid:country/NRU,2007,94.1
dcs:who/WHS4_111,dcid:country/OMN,2011,99.0
dcs:who/WHS4_111,dcid:country/PAK,2013,73.1
dcs:who/WHS4_111,dcid:country/PAN,2013,92.6
dcs:who/WHS4_111,dcid:country/PER,2013,95.9
dcs:who/WHS4_111,dcid:country/PHL,2013,95.4
dcs:who/WHS4_111,dcid:country/PLW,2010,90.3
dcs:who/WHS4_111,dcid:country/PNG,2012,66.0
dcs:who/WHS4_111,dcid:country/PRK,2009,100.0
dcs:who/WHS4_111,dcid:country/PRY,2008,96.1
dcs:who/WHS4_111,dcid:country/QAT,2012,90.8
dcs:who/WHS4_111,dcid:country/RWA,2010,98.0
dcs:who/WHS4_111,dcid:country/SAU,2011,98.0
dcs:who/WHS4_111,dcid:country/SDN,2010,74.3
dcs:who/WHS4_111,dcid:country/SEN,2013,94.5
dcs:who/WHS4_111,dcid:country/SGP,2006,100.0
dcs:who/WHS4_111,dcid:country/SLB,2009,90.6
dcs:who/WHS4_111,dcid:country/SLE,2013,97.1
dcs:who/WHS4_111,dcid:country/SLV,2008,94.0
dcs:who/WHS4_111,dcid:country/SOM,2006,22.0
dcs:who/WHS4_111,dcid:country/SRB,2014,98.3
dcs:who/WHS4_111,dcid:country/SSD,2010,40.3
dcs:who/WHS4_111,dcid:country/STP,2009,97.5
dcs:who/WHS4_111,dcid:country/SUR,2010,90.4
dcs:who/WHS4_111,dcid:country/SVN,2010,99.8
dcs:who/WHS4_111,dcid:country/SWZ,2010,96.8
dcs:who/WHS4_111,dcid:country/SYR,2009,87.7
dcs:who/WHS4_111,dcid:country/TCD,2010,42.6
dcs:who/WHS4_111,dcid:country/TGO,2013,72.7
dcs:who/WHS4_111,dcid:country/THA,2012,98.1
dcs:who/WHS4_111,dcid:country/TJK,2012,78.8
dcs:who/WHS4_111,dcid:country/TLS,2010,84.4
dcs:who/WHS4_111,dcid:country/TON,2012,99.0
dcs:who/WHS4_111,dcid:country/TTO,2006,95.3
dcs:who/WHS4_111,dcid:country/TUN,2012,83.6
dcs:who/WHS4_111,dcid:country/TUR,2008,92.0
dcs:who/WHS4_111,dcid:country/TUV,2007,93.3
dcs:who/WHS4_111,dcid:country/TZA,2010,87.8
dcs:who/WHS4_111,dcid:country/UGA,2011,94.9
dcs:who/WHS4_111,dcid:country/UKR,2012,98.6
dcs:who/WHS4_111,dcid:country/URY,2012,97.4
dcs:who/WHS4_111,dcid:country/UZB,2006,98.7
dcs:who/WHS4_111,dcid:country/VCT,2008,99.5
dcs:who/WHS4_111,dcid:country/VNM,2014,95.8
dcs:who/WHS4_111,dcid:country/VUT,2013,75.6
dcs:who/WHS4_111,dcid:country/WSM,2009,93.0
dcs:who/WHS4_111,dcid:country/YEM,2013,59.8
dcs:who/WHS4_111,dcid:country/ZAF,2008,97.1
dcs:who/WHS4_111,dcid:country/ZMB,2014,95.7
dcs:who/WHS4_111,dcid:country/ZWE,2014,93.7
dcs:who/WHS4_111,dcid:undata-geo/G00100400,2014,94.0
dcs:who/WHS4_111,dcid:undata-geo/G00100500,2014,78.0
dcs:who/WHS4_111,dcid:undata-geo/G00100600,2014,75.0
dcs:who/WHS4_111,dcid:undata-geo/G00121000,2014,78.0
dcs:who/WHS4_111,dcid:undata-geo/G00134000,2014,96.0
dcs:who/WHS4_111,dcid:undata-geo/G00160000,2014,95.0
