SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_1.SEX--M,dcid:Earth,2019,681052.18
dcs:who/WSH_1,dcid:Earth,2019,1400705.5
dcs:who/WSH_1.SEX--F,dcid:Earth,2019,719653.34
dcs:who/WSH_1.SEX--F,dcid:SouthEasternAsia,2019,347530.98
dcs:who/WSH_1.SEX--M,dcid:SouthEasternAsia,2019,245495.77
dcs:who/WSH_1,dcid:SouthEasternAsia,2019,593026.75
dcs:who/WSH_1.SEX--F,dcid:africa,2019,230594.22
dcs:who/WSH_1,dcid:africa,2019,509656.57
dcs:who/WSH_1.SEX--M,dcid:africa,2019,279062.35
dcs:who/WSH_1,dcid:country/AFG,2019,6329.0
dcs:who/WSH_1.SEX--F,dcid:country/AFG,2019,2967.0
dcs:who/WSH_1.SEX--M,dcid:country/AFG,2019,3363.0
dcs:who/WSH_1,dcid:country/AGO,2019,15547.0
dcs:who/WSH_1.SEX--F,dcid:country/AGO,2019,6876.0
dcs:who/WSH_1.SEX--M,dcid:country/AGO,2019,8671.0
dcs:who/WSH_1,dcid:country/ALB,2019,93.0
dcs:who/WSH_1.SEX--F,dcid:country/ALB,2019,50.0
dcs:who/WSH_1.SEX--M,dcid:country/ALB,2019,43.0
dcs:who/WSH_1,dcid:country/ARE,2019,83.0
dcs:who/WSH_1.SEX--F,dcid:country/ARE,2019,21.0
dcs:who/WSH_1.SEX--M,dcid:country/ARE,2019,61.0
dcs:who/WSH_1,dcid:country/ARG,2019,5126.0
dcs:who/WSH_1.SEX--F,dcid:country/ARG,2019,2771.0
dcs:who/WSH_1.SEX--M,dcid:country/ARG,2019,2355.0
dcs:who/WSH_1,dcid:country/ARM,2019,173.0
dcs:who/WSH_1.SEX--F,dcid:country/ARM,2019,103.0
dcs:who/WSH_1.SEX--M,dcid:country/ARM,2019,69.0
dcs:who/WSH_1,dcid:country/ATG,2019,2.0
dcs:who/WSH_1.SEX--F,dcid:country/ATG,2019,1.0
dcs:who/WSH_1.SEX--M,dcid:country/ATG,2019,1.0
dcs:who/WSH_1,dcid:country/AUS,2019,472.0
dcs:who/WSH_1.SEX--F,dcid:country/AUS,2019,263.0
dcs:who/WSH_1.SEX--M,dcid:country/AUS,2019,209.0
dcs:who/WSH_1,dcid:country/AUT,2019,177.0
dcs:who/WSH_1.SEX--F,dcid:country/AUT,2019,94.0
dcs:who/WSH_1.SEX--M,dcid:country/AUT,2019,83.0
dcs:who/WSH_1,dcid:country/AZE,2019,366.0
dcs:who/WSH_1.SEX--F,dcid:country/AZE,2019,158.0
dcs:who/WSH_1.SEX--M,dcid:country/AZE,2019,208.0
dcs:who/WSH_1,dcid:country/BDI,2019,6140.0
dcs:who/WSH_1.SEX--F,dcid:country/BDI,2019,2719.0
dcs:who/WSH_1.SEX--M,dcid:country/BDI,2019,3421.0
dcs:who/WSH_1,dcid:country/BEL,2019,613.0
dcs:who/WSH_1.SEX--F,dcid:country/BEL,2019,343.0
dcs:who/WSH_1.SEX--M,dcid:country/BEL,2019,270.0
dcs:who/WSH_1,dcid:country/BEN,2019,7102.0
dcs:who/WSH_1.SEX--F,dcid:country/BEN,2019,3213.0
dcs:who/WSH_1.SEX--M,dcid:country/BEN,2019,3889.0
dcs:who/WSH_1,dcid:country/BFA,2019,12378.0
dcs:who/WSH_1.SEX--F,dcid:country/BFA,2019,5868.0
dcs:who/WSH_1.SEX--M,dcid:country/BFA,2019,6510.0
dcs:who/WSH_1,dcid:country/BGD,2019,29717.0
dcs:who/WSH_1.SEX--F,dcid:country/BGD,2019,17593.0
dcs:who/WSH_1.SEX--M,dcid:country/BGD,2019,12124.0
dcs:who/WSH_1,dcid:country/BGR,2019,203.0
dcs:who/WSH_1.SEX--F,dcid:country/BGR,2019,83.0
dcs:who/WSH_1.SEX--M,dcid:country/BGR,2019,120.0
dcs:who/WSH_1,dcid:country/BHR,2019,13.0
dcs:who/WSH_1.SEX--F,dcid:country/BHR,2019,5.0
dcs:who/WSH_1.SEX--M,dcid:country/BHR,2019,8.0
dcs:who/WSH_1,dcid:country/BHS,2019,10.0
dcs:who/WSH_1.SEX--F,dcid:country/BHS,2019,5.0
dcs:who/WSH_1.SEX--M,dcid:country/BHS,2019,6.0
dcs:who/WSH_1,dcid:country/BIH,2019,64.0
dcs:who/WSH_1.SEX--F,dcid:country/BIH,2019,31.0
dcs:who/WSH_1.SEX--M,dcid:country/BIH,2019,33.0
dcs:who/WSH_1,dcid:country/BLR,2019,153.0
dcs:who/WSH_1.SEX--F,dcid:country/BLR,2019,60.0
dcs:who/WSH_1.SEX--M,dcid:country/BLR,2019,93.0
dcs:who/WSH_1,dcid:country/BLZ,2019,17.0
dcs:who/WSH_1.SEX--F,dcid:country/BLZ,2019,7.0
dcs:who/WSH_1.SEX--M,dcid:country/BLZ,2019,10.0
dcs:who/WSH_1,dcid:country/BOL,2019,1643.0
dcs:who/WSH_1.SEX--F,dcid:country/BOL,2019,903.0
dcs:who/WSH_1.SEX--M,dcid:country/BOL,2019,740.0
dcs:who/WSH_1,dcid:country/BRA,2019,13957.0
dcs:who/WSH_1.SEX--F,dcid:country/BRA,2019,7208.0
dcs:who/WSH_1.SEX--M,dcid:country/BRA,2019,6749.0
dcs:who/WSH_1,dcid:country/BRB,2019,22.0
dcs:who/WSH_1.SEX--F,dcid:country/BRB,2019,13.0
dcs:who/WSH_1.SEX--M,dcid:country/BRB,2019,10.0
dcs:who/WSH_1,dcid:country/BRN,2019,7.0
dcs:who/WSH_1.SEX--F,dcid:country/BRN,2019,4.0
dcs:who/WSH_1.SEX--M,dcid:country/BRN,2019,4.0
dcs:who/WSH_1,dcid:country/BTN,2019,120.0
dcs:who/WSH_1.SEX--F,dcid:country/BTN,2019,54.0
dcs:who/WSH_1.SEX--M,dcid:country/BTN,2019,66.0
dcs:who/WSH_1,dcid:country/BWA,2019,618.0
dcs:who/WSH_1.SEX--F,dcid:country/BWA,2019,256.0
dcs:who/WSH_1.SEX--M,dcid:country/BWA,2019,362.0
dcs:who/WSH_1,dcid:country/CAF,2019,4603.0
dcs:who/WSH_1.SEX--F,dcid:country/CAF,2019,2041.0
dcs:who/WSH_1.SEX--M,dcid:country/CAF,2019,2562.0
dcs:who/WSH_1,dcid:country/CAN,2019,856.0
dcs:who/WSH_1.SEX--F,dcid:country/CAN,2019,471.0
dcs:who/WSH_1.SEX--M,dcid:country/CAN,2019,385.0
dcs:who/WSH_1,dcid:country/CHE,2019,218.0
dcs:who/WSH_1.SEX--F,dcid:country/CHE,2019,121.0
