SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_10_WAT,dcid:country/AFG,2019,2247.68945
dcs:who/WSH_10_WAT.SEX--F,dcid:country/AFG,2019,1059.49207
dcs:who/WSH_10_WAT.SEX--M,dcid:country/AFG,2019,1188.19751
dcs:who/WSH_10_WAT.AGE--Y0T4,dcid:country/AFG,2019,2101.99902
dcs:who/WSH_10_WAT,dcid:country/AGO,2019,6060.95215
dcs:who/WSH_10_WAT.SEX--F,dcid:country/AGO,2019,2697.74756
dcs:who/WSH_10_WAT.SEX--M,dcid:country/AGO,2019,3363.2041
dcs:who/WSH_10_WAT.AGE--Y0T4,dcid:country/AGO,2019,3218.48535
dcs:who/WSH_10_WAT,dcid:country/ALB,2019,2.1306
dcs:who/WSH_10_WAT.SEX--F,dcid:country/ALB,2019,1.25953
dcs:who/WSH_10_WAT.SEX--M,dcid:country/ALB,2019,0.87107
dcs:who/WSH_10_WAT.AGE--Y0T4,dcid:country/ALB,2019,0.39745
dcs:who/WSH_10_WAT,dcid:country/ARG,2019,107.97322
dcs:who/WSH_10_WAT.SEX--F,dcid:country/ARG,2019,63.25521
dcs:who/WSH_10_WAT.SEX--M,dcid:country/ARG,2019,44.71803
dcs:who/WSH_10_WAT.AGE--Y0T4,dcid:country/ARG,2019,10.27383
dcs:who/WSH_10_WAT,dcid:country/ARM,2019,1.87856
dcs:who/WSH_10_WAT.SEX--F,dcid:country/ARM,2019,0.94602
dcs:who/WSH_10_WAT.SEX--M,dcid:country/ARM,2019,0.93254
dcs:who/WSH_10_WAT.AGE--Y0T4,dcid:country/ARM,2019,1.35095
dcs:who/WSH_10_WAT,dcid:country/AZE,2019,8.20708
dcs:who/WSH_10_WAT.SEX--F,dcid:country/AZE,2019,3.33012
dcs:who/WSH_10_WAT.SEX--M,dcid:country/AZE,2019,4.87696
dcs:who/WSH_10_WAT.AGE--Y0T4,dcid:country/AZE,2019,7.25894
dcs:who/WSH_10_WAT,dcid:country/BDI,2019,2666.20825
dcs:who/WSH_10_WAT.SEX--F,dcid:country/BDI,2019,1169.87659
dcs:who/WSH_10_WAT.SEX--M,dcid:country/BDI,2019,1496.33179
dcs:who/WSH_10_WAT.AGE--Y0T4,dcid:country/BDI,2019,872.92322
dcs:who/WSH_10_WAT,dcid:country/BEN,2019,3000.90234
dcs:who/WSH_10_WAT.SEX--F,dcid:country/BEN,2019,1354.4978
dcs:who/WSH_10_WAT.SEX--M,dcid:country/BEN,2019,1646.4043
dcs:who/WSH_10_WAT.AGE--Y0T4,dcid:country/BEN,2019,1464.39282
dcs:who/WSH_10_WAT,dcid:country/BFA,2019,5464.42383
dcs:who/WSH_10_WAT.SEX--F,dcid:country/BFA,2019,2620.9209
dcs:who/WSH_10_WAT.SEX--M,dcid:country/BFA,2019,2843.50342
dcs:who/WSH_10_WAT.AGE--Y0T4,dcid:country/BFA,2019,2373.76123
dcs:who/WSH_10_WAT,dcid:country/BGD,2019,12799.33203
