SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_20_SAN,dcid:country/AFG,2019,0.41472
dcs:who/WSH_20_SAN,dcid:country/AGO,2019,0.39672
dcs:who/WSH_20_SAN,dcid:country/ALB,2019,0.11602
dcs:who/WSH_20_SAN,dcid:country/ARG,2019,0.18303
dcs:who/WSH_20_SAN,dcid:country/ARM,2019,0.14504
dcs:who/WSH_20_SAN,dcid:country/AZE,2019,0.2424
dcs:who/WSH_20_SAN,dcid:country/BDI,2019,0.41661
dcs:who/WSH_20_SAN,dcid:country/BEN,2019,0.45476
dcs:who/WSH_20_SAN,dcid:country/BFA,2019,0.44549
dcs:who/WSH_20_SAN,dcid:country/BGD,2019,0.39598
dcs:who/WSH_20_SAN,dcid:country/BGR,2019,0.1568
dcs:who/WSH_20_SAN,dcid:country/BIH,2019,0.17859
dcs:who/WSH_20_SAN,dcid:country/BLR,2019,0.12716
dcs:who/WSH_20_SAN,dcid:country/BLZ,2019,0.33496
dcs:who/WSH_20_SAN,dcid:country/BOL,2019,0.31648
dcs:who/WSH_20_SAN,dcid:country/BRA,2019,0.17439
dcs:who/WSH_20_SAN,dcid:country/BTN,2019,0.34546
dcs:who/WSH_20_SAN,dcid:country/BWA,2019,0.37134
dcs:who/WSH_20_SAN,dcid:country/CAF,2019,0.45379
dcs:who/WSH_20_SAN,dcid:country/CHN,2019,0.2121
dcs:who/WSH_20_SAN,dcid:country/CIV,2019,0.42634
dcs:who/WSH_20_SAN,dcid:country/CMR,2019,0.41668
dcs:who/WSH_20_SAN,dcid:country/COD,2019,0.44955
dcs:who/WSH_20_SAN,dcid:country/COG,2019,0.44766
dcs:who/WSH_20_SAN,dcid:country/COL,2019,0.14012
dcs:who/WSH_20_SAN,dcid:country/COM,2019,0.4211
dcs:who/WSH_20_SAN,dcid:country/CPV,2019,0.32717
dcs:who/WSH_20_SAN,dcid:country/CRI,2019,0.2845
dcs:who/WSH_20_SAN,dcid:country/CUB,2019,0.20858
dcs:who/WSH_20_SAN,dcid:country/DJI,2019,0.37819
dcs:who/WSH_20_SAN,dcid:country/DOM,2019,0.31718
dcs:who/WSH_20_SAN,dcid:country/DZA,2019,0.1502
dcs:who/WSH_20_SAN,dcid:country/ECU,2019,0.21126
dcs:who/WSH_20_SAN,dcid:country/EGY,2019,0.17502
dcs:who/WSH_20_SAN,dcid:country/ERI,2019,0.44585
dcs:who/WSH_20_SAN,dcid:country/ETH,2019,0.46457
dcs:who/WSH_20_SAN,dcid:country/FJI,2019,0.29118
dcs:who/WSH_20_SAN,dcid:country/FSM,2019,0.3616
dcs:who/WSH_20_SAN,dcid:country/GAB,2019,0.3607
dcs:who/WSH_20_SAN,dcid:country/GEO,2019,0.21734
dcs:who/WSH_20_SAN,dcid:country/GHA,2019,0.44546
dcs:who/WSH_20_SAN,dcid:country/GIN,2019,0.43627
dcs:who/WSH_20_SAN,dcid:country/GMB,2019,0.41452
dcs:who/WSH_20_SAN,dcid:country/GNB,2019,0.45185
dcs:who/WSH_20_SAN,dcid:country/GNQ,2019,0.36255
dcs:who/WSH_20_SAN,dcid:country/GRD,2019,0.30597
dcs:who/WSH_20_SAN,dcid:country/GTM,2019,0.30552
dcs:who/WSH_20_SAN,dcid:country/GUY,2019,0.3508
dcs:who/WSH_20_SAN,dcid:country/HND,2019,0.2832
dcs:who/WSH_20_SAN,dcid:country/HTI,2019,0.4313
dcs:who/WSH_20_SAN,dcid:country/IDN,2019,0.34845
dcs:who/WSH_20_SAN,dcid:country/IND,2019,0.36444
dcs:who/WSH_20_SAN,dcid:country/IRN,2019,0.28444
dcs:who/WSH_20_SAN,dcid:country/IRQ,2019,0.27979
dcs:who/WSH_20_SAN,dcid:country/JAM,2019,0.31239
dcs:who/WSH_20_SAN,dcid:country/JOR,2019,0.14484
dcs:who/WSH_20_SAN,dcid:country/KAZ,2019,0.23494
dcs:who/WSH_20_SAN,dcid:country/KEN,2019,0.43382
dcs:who/WSH_20_SAN,dcid:country/KGZ,2019,0.29965
dcs:who/WSH_20_SAN,dcid:country/KHM,2019,0.37186
dcs:who/WSH_20_SAN,dcid:country/KIR,2019,0.40297
dcs:who/WSH_20_SAN,dcid:country/LAO,2019,0.38238
dcs:who/WSH_20_SAN,dcid:country/LBN,2019,0.15588
dcs:who/WSH_20_SAN,dcid:country/LBR,2019,0.44825
dcs:who/WSH_20_SAN,dcid:country/LBY,2019,0.20074
dcs:who/WSH_20_SAN,dcid:country/LCA,2019,0.33849
dcs:who/WSH_20_SAN,dcid:country/LKA,2019,0.34309
dcs:who/WSH_20_SAN,dcid:country/LSO,2019,0.40606
dcs:who/WSH_20_SAN,dcid:country/MAR,2019,0.21899
dcs:who/WSH_20_SAN,dcid:country/MDA,2019,0.28734
dcs:who/WSH_20_SAN,dcid:country/MDG,2019,0.45809
dcs:who/WSH_20_SAN,dcid:country/MDV,2019,0.20422
dcs:who/WSH_20_SAN,dcid:country/MEX,2019,0.14248
dcs:who/WSH_20_SAN,dcid:country/MKD,2019,0.12707
dcs:who/WSH_20_SAN,dcid:country/MLI,2019,0.41693
dcs:who/WSH_20_SAN,dcid:country/MMR,2019,0.37905
dcs:who/WSH_20_SAN,dcid:country/MNE,2019,0.2043
dcs:who/WSH_20_SAN,dcid:country/MNG,2019,0.34017
dcs:who/WSH_20_SAN,dcid:country/MOZ,2019,0.42724
dcs:who/WSH_20_SAN,dcid:country/MRT,2019,0.40961
dcs:who/WSH_20_SAN,dcid:country/MUS,2019,0.30585
dcs:who/WSH_20_SAN,dcid:country/MWI,2019,0.44077
dcs:who/WSH_20_SAN,dcid:country/MYS,2019,0.3379
dcs:who/WSH_20_SAN,dcid:country/NAM,2019,0.38252
dcs:who/WSH_20_SAN,dcid:country/NER,2019,0.45422
dcs:who/WSH_20_SAN,dcid:country/NGA,2019,0.41253
dcs:who/WSH_20_SAN,dcid:country/NIC,2019,0.31442
dcs:who/WSH_20_SAN,dcid:country/NPL,2019,0.37069
dcs:who/WSH_20_SAN,dcid:country/PAK,2019,0.33022
dcs:who/WSH_20_SAN,dcid:country/PAN,2019,0.29563
dcs:who/WSH_20_SAN,dcid:country/PER,2019,0.20786
dcs:who/WSH_20_SAN,dcid:country/PHL,2019,0.35867
dcs:who/WSH_20_SAN,dcid:country/PNG,2019,0.43835
dcs:who/WSH_20_SAN,dcid:country/PRK,2019,0.24012
dcs:who/WSH_20_SAN,dcid:country/PRY,2019,0.34042
dcs:who/WSH_20_SAN,dcid:country/ROU,2019,0.22942
dcs:who/WSH_20_SAN,dcid:country/RUS,2019,0.16513
dcs:who/WSH_20_SAN,dcid:country/RWA,2019,0.38947
dcs:who/WSH_20_SAN,dcid:country/SDN,2019,0.42006
dcs:who/WSH_20_SAN,dcid:country/SEN,2019,0.3955
dcs:who/WSH_20_SAN,dcid:country/SLB,2019,0.41499
dcs:who/WSH_20_SAN,dcid:country/SLE,2019,0.45299
dcs:who/WSH_20_SAN,dcid:country/SLV,2019,0.27657
dcs:who/WSH_20_SAN,dcid:country/SOM,2019,0.4197
dcs:who/WSH_20_SAN,dcid:country/SRB,2019,0.17669
dcs:who/WSH_20_SAN,dcid:country/SSD,2019,0.45671
dcs:who/WSH_20_SAN,dcid:country/STP,2019,0.39536
dcs:who/WSH_20_SAN,dcid:country/SUR,2019,0.35383
dcs:who/WSH_20_SAN,dcid:country/SWZ,2019,0.38299
dcs:who/WSH_20_SAN,dcid:country/SYR,2019,0.17792
dcs:who/WSH_20_SAN,dcid:country/TCD,2019,0.45641
dcs:who/WSH_20_SAN,dcid:country/TGO,2019,0.45064
dcs:who/WSH_20_SAN,dcid:country/THA,2019,0.31653
dcs:who/WSH_20_SAN,dcid:country/TJK,2019,0.30617
dcs:who/WSH_20_SAN,dcid:country/TKM,2019,0.27069
dcs:who/WSH_20_SAN,dcid:country/TLS,2019,0.37943
dcs:who/WSH_20_SAN,dcid:country/TON,2019,0.34601
dcs:who/WSH_20_SAN,dcid:country/TUN,2019,0.17935
dcs:who/WSH_20_SAN,dcid:country/TUR,2019,0.08941
dcs:who/WSH_20_SAN,dcid:country/TZA,2019,0.42871
dcs:who/WSH_20_SAN,dcid:country/UGA,2019,0.44917
dcs:who/WSH_20_SAN,dcid:country/UKR,2019,0.20154
dcs:who/WSH_20_SAN,dcid:country/UZB,2019,0.26107
dcs:who/WSH_20_SAN,dcid:country/VCT,2019,0.29198
dcs:who/WSH_20_SAN,dcid:country/VEN,2019,0.25676
dcs:who/WSH_20_SAN,dcid:country/VNM,2019,0.3638
dcs:who/WSH_20_SAN,dcid:country/VUT,2019,0.3598
dcs:who/WSH_20_SAN,dcid:country/WSM,2019,0.32705
dcs:who/WSH_20_SAN,dcid:country/YEM,2019,0.32304
dcs:who/WSH_20_SAN,dcid:country/ZAF,2019,0.26114
dcs:who/WSH_20_SAN,dcid:country/ZMB,2019,0.4242
dcs:who/WSH_20_SAN,dcid:country/ZWE,2019,0.40033
