SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_30_HYG,dcid:country/AFG,2019,147090.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/AFG,2019,69356.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/AFG,2019,77735.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/AFG,2019,125908.0
dcs:who/WSH_30_HYG,dcid:country/AGO,2019,307444.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/AGO,2019,137167.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/AGO,2019,170277.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/AGO,2019,206834.0
dcs:who/WSH_30_HYG,dcid:country/ALB,2019,1353.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/ALB,2019,744.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/ALB,2019,609.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/ALB,2019,142.0
dcs:who/WSH_30_HYG,dcid:country/ARE,2019,2923.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/ARE,2019,1009.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/ARE,2019,1914.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/ARE,2019,351.0
dcs:who/WSH_30_HYG,dcid:country/ARG,2019,11321.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/ARG,2019,5085.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/ARG,2019,6237.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/ARG,2019,2528.0
dcs:who/WSH_30_HYG,dcid:country/ARM,2019,1473.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/ARM,2019,782.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/ARM,2019,691.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/ARM,2019,268.0
dcs:who/WSH_30_HYG,dcid:country/ATG,2019,31.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/ATG,2019,15.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/ATG,2019,16.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/ATG,2019,4.0
dcs:who/WSH_30_HYG,dcid:country/AUS,2019,3031.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/AUS,2019,1444.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/AUS,2019,1587.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/AUS,2019,386.0
dcs:who/WSH_30_HYG,dcid:country/AUT,2019,1339.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/AUT,2019,672.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/AUT,2019,667.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/AUT,2019,176.0
dcs:who/WSH_30_HYG,dcid:country/AZE,2019,9715.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/AZE,2019,4372.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/AZE,2019,5343.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/AZE,2019,5600.0
dcs:who/WSH_30_HYG,dcid:country/BDI,2019,114258.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/BDI,2019,49882.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/BDI,2019,64377.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/BDI,2019,52796.0
dcs:who/WSH_30_HYG,dcid:country/BEL,2019,2964.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/BEL,2019,1579.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/BEL,2019,1385.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/BEL,2019,290.0
dcs:who/WSH_30_HYG,dcid:country/BEN,2019,135969.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/BEN,2019,60449.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/BEN,2019,75520.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/BEN,2019,85812.0
dcs:who/WSH_30_HYG,dcid:country/BFA,2019,236286.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/BFA,2019,110432.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/BFA,2019,125854.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/BFA,2019,134351.0
dcs:who/WSH_30_HYG,dcid:country/BGD,2019,372845.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/BGD,2019,199718.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/BGD,2019,173127.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/BGD,2019,96048.0
dcs:who/WSH_30_HYG,dcid:country/BGR,2019,2612.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/BGR,2019,1377.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/BGR,2019,1235.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/BGR,2019,395.0
dcs:who/WSH_30_HYG,dcid:country/BHR,2019,519.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/BHR,2019,194.0
dcs:who/WSH_30_HYG.SEX--M,dcid:country/BHR,2019,325.0
dcs:who/WSH_30_HYG.AGE--Y0T4,dcid:country/BHR,2019,62.0
dcs:who/WSH_30_HYG,dcid:country/BHS,2019,138.0
dcs:who/WSH_30_HYG.SEX--F,dcid:country/BHS,2019,65.0
