SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2020,83.85544
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2022,83.10404
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2021,83.11226
dcs:who/WSH_HYGIENE_BASIC,dcid:Earth,2022,75.15374
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2022,64.70213
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2021,64.07198
dcs:who/WSH_HYGIENE_BASIC,dcid:Earth,2021,74.8059
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2013,49.95333
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2014,51.0182
dcs:who/WSH_HYGIENE_BASIC,dcid:Earth,2018,74.50331
dcs:who/WSH_HYGIENE_BASIC,dcid:Earth,2019,74.96213
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2017,83.53628
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2011,47.37094
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2010,45.4969
dcs:who/WSH_HYGIENE_BASIC,dcid:Earth,2012,64.14069
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2012,48.79233
dcs:who/WSH_HYGIENE_BASIC,dcid:Earth,2014,65.54319
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2018,63.139
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2020,64.64884
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2016,54.49456
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2019,63.89234
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2019,83.82984
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2018,83.77214
dcs:who/WSH_HYGIENE_BASIC,dcid:Earth,2015,66.63961
dcs:who/WSH_HYGIENE_BASIC,dcid:Earth,2017,73.75474
dcs:who/WSH_HYGIENE_BASIC,dcid:Earth,2020,75.3951
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2017,61.97776
dcs:who/WSH_HYGIENE_BASIC,dcid:Earth,2013,64.93014
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2015,52.729
dcs:who/WSH_HYGIENE_BASIC,dcid:Earth,2016,67.77584
dcs:who/WSH_HYGIENE_BASIC,dcid:SouthEasternAsia,2011,60.31269
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2016,79.89073
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2015,54.60465
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2010,78.04596
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2021,84.08599
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2013,78.25055
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2018,81.77224
dcs:who/WSH_HYGIENE_BASIC,dcid:SouthEasternAsia,2020,72.71918
dcs:who/WSH_HYGIENE_BASIC,dcid:SouthEasternAsia,2017,67.55383
dcs:who/WSH_HYGIENE_BASIC.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2019,82.53313
