SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2000,49.54276
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2021,55.84825
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2016,37.15287
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2002,18.60723
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2007,38.56694
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2002,33.29103
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2017,51.33562
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2001,17.88439
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2012,44.67912
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2009,54.41872
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2005,36.28476
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2007,24.31918
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2014,47.29336
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2001,49.53504
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2020,43.00342
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2008,53.59757
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2002,49.53268
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2015,35.61204
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2010,55.2515
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2010,28.359
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2022,64.77038
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2019,41.68493
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2005,21.79194
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2018,52.65906
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2010,42.2104
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2016,60.84137
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2017,38.67362
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2006,37.39247
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2009,40.97792
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2004,35.21493
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2019,63.80474
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2006,23.02435
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2020,54.82506
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2003,50.08867
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2011,56.09101
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2000,17.37706
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2008,39.76032
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2020,64.12106
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2008,25.6402
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2003,34.11763
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2014,58.87361
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2022,56.60437
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2018,40.16433
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2003,19.38761
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2007,52.8168
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2004,50.73269
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2022,45.859
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2012,56.99354
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2000,32.34688
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2015,48.63877
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2013,57.92001
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2017,61.84027
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2011,43.40638
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2015,59.85243
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2013,32.59544
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2005,51.3734
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2021,64.5192
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2012,31.14408
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2014,34.09029
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2019,53.9729
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2013,45.97035
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2006,52.05197
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2018,62.83779
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2016,49.9921
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2021,44.63216
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:Earth,2001,32.75709
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2011,29.71083
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2009,26.98313
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2004,20.61138
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:SouthEasternAsia,2017,40.51805
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2022,53.66971
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2018,38.99282
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2020,40.6611
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2019,39.84272
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2022,42.34463
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:SouthEasternAsia,2019,44.05152
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2017,38.15668
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2018,44.26598
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2020,49.02946
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:SouthEasternAsia,2016,38.70477
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:SouthEasternAsia,2018,42.28611
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:SouthEasternAsia,2020,45.80457
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:SouthEasternAsia,2021,47.53462
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2016,37.33573
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:SouthEasternAsia,2022,49.18969
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2016,39.49469
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2021,41.49345
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2021,51.40385
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2017,41.90861
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2019,46.63532
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:SouthEasternAsia,2009,26.02946
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2011,33.43335
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2010,32.69641
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:SouthEasternAsia,2015,36.84214
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2015,37.01954
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2004,28.97254
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2011,27.54715
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2002,8.59111
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2007,18.60827
dcs:who/WSH_SANITATION_SAFELY_MANAGED,dcid:SouthEasternAsia,2003,15.52064
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:SouthEasternAsia,2006,29.95998
dcs:who/WSH_SANITATION_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:SouthEasternAsia,2006,16.41502
