SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_WATER_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2019,59.94995
dcs:who/WSH_WATER_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2010,51.28377
dcs:who/WSH_WATER_SAFELY_MANAGED,dcid:Earth,2009,65.39738
dcs:who/WSH_WATER_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2011,52.07271
dcs:who/WSH_WATER_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2014,54.93825
dcs:who/WSH_WATER_SAFELY_MANAGED,dcid:Earth,2020,72.25363
dcs:who/WSH_WATER_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2022,62.17214
dcs:who/WSH_WATER_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2009,50.48277
dcs:who/WSH_WATER_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2015,55.93178
dcs:who/WSH_WATER_SAFELY_MANAGED.RESIDENCEAREATYPE--URB,dcid:Earth,2007,79.85106
dcs:who/WSH_WATER_SAFELY_MANAGED,dcid:Earth,2010,65.89751
dcs:who/WSH_WATER_SAFELY_MANAGED,dcid:Earth,2021,72.49171
dcs:who/WSH_WATER_SAFELY_MANAGED,dcid:Earth,2012,67.05405
dcs:who/WSH_WATER_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2013,53.95771
dcs:who/WSH_WATER_SAFELY_MANAGED,dcid:Earth,2018,71.02424
dcs:who/WSH_WATER_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2018,58.94285
dcs:who/WSH_WATER_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2020,60.93342
dcs:who/WSH_WATER_SAFELY_MANAGED.RESIDENCEAREATYPE--RUR,dcid:Earth,2012,52.9895
