SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/AFG,2017,1.0
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/AFG,2017,4.3
dcs:who/Yth_curr_cig_smoking,dcid:country/AFG,2017,2.9
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/AGO,2010,0.3
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/AGO,2010,3.2
dcs:who/Yth_curr_cig_smoking,dcid:country/AGO,2010,2.3
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/ALB,2020,2.4
dcs:who/Yth_curr_cig_smoking,dcid:country/ALB,2020,4.4
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/ALB,2020,6.4
dcs:who/Yth_curr_cig_smoking,dcid:country/ARE,2016,8.1
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/ARE,2016,11.3
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/ARE,2016,5.0
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/ARG,2018,15.5
dcs:who/Yth_curr_cig_smoking,dcid:country/ARG,2018,18.0
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/ARG,2018,20.0
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/ARM,2018,1.0
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/ARM,2018,11.5
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/ATG,2017,1.5
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/ATG,2017,1.2
dcs:who/Yth_curr_cig_smoking,dcid:country/ATG,2017,1.4
dcs:who/Yth_curr_cig_smoking,dcid:country/AUS,2017,5.0
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/AUS,2017,5.0
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/AUS,2017,4.0
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/AUT,2019,26.0
dcs:who/Yth_curr_cig_smoking,dcid:country/AUT,2019,25.0
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/AUT,2019,24.0
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/AZE,2018,2.0
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/AZE,2018,3.5
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/BDI,2008,5.8
dcs:who/Yth_curr_cig_smoking,dcid:country/BDI,2008,4.6
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/BDI,2008,3.2
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/BEN,2016,1.3
dcs:who/Yth_curr_cig_smoking,dcid:country/BEN,2016,3.8
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/BEN,2016,5.1
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/BFA,2009,2.0
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/BFA,2009,11.9
dcs:who/Yth_curr_cig_smoking,dcid:country/BFA,2009,6.5
dcs:who/Yth_curr_cig_smoking,dcid:country/BGD,2014,7.0
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/BGD,2014,10.1
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/BGD,2014,1.5
dcs:who/Yth_curr_cig_smoking,dcid:country/BGR,2019,32.0
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/BGR,2019,36.0
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/BGR,2019,27.0
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/BHR,2016,5.0
dcs:who/Yth_curr_cig_smoking,dcid:country/BHR,2016,13.4
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/BHR,2016,21.1
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/BHS,2013,4.6
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/BHS,2013,2.6
dcs:who/Yth_curr_cig_smoking,dcid:country/BHS,2013,3.8
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/BIH,2019,11.7
dcs:who/Yth_curr_cig_smoking,dcid:country/BIH,2019,13.8
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/BIH,2019,15.8
dcs:who/Yth_curr_cig_smoking,dcid:country/BLR,2021,4.7
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/BLR,2021,3.7
dcs:who/Yth_curr_cig_smoking.SEX--F,dcid:country/BLR,2021,5.7
dcs:who/Yth_curr_cig_smoking.SEX--M,dcid:country/BLZ,2014,10.4
dcs:who/Yth_curr_cig_smoking,dcid:country/BLZ,2014,7.8
