SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/ALB,2020,4.1
dcs:who/Yth_curr_e-cig,dcid:country/ALB,2020,9.3
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/ALB,2020,14.2
dcs:who/Yth_curr_e-cig,dcid:country/ARG,2018,7.1
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/ARG,2018,8.1
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/ARG,2018,6.2
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/ATG,2017,4.0
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/ATG,2017,3.7
dcs:who/Yth_curr_e-cig,dcid:country/ATG,2017,4.0
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/AUS,2017,3.1
dcs:who/Yth_curr_e-cig,dcid:country/AUS,2017,4.5
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/AUS,2017,5.6
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/AUT,2019,17.0
dcs:who/Yth_curr_e-cig,dcid:country/AUT,2019,13.0
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/AUT,2019,9.0
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/BGR,2019,13.0
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/BGR,2019,14.0
dcs:who/Yth_curr_e-cig,dcid:country/BGR,2019,13.0
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/BIH,2019,15.9
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/BIH,2019,5.9
dcs:who/Yth_curr_e-cig,dcid:country/BIH,2019,10.9
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/BLR,2021,14.7
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/BLR,2021,15.5
dcs:who/Yth_curr_e-cig,dcid:country/BLR,2021,15.1
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/BLZ,2014,8.9
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/BLZ,2014,4.1
dcs:who/Yth_curr_e-cig,dcid:country/BLZ,2014,6.5
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/BOL,2018,5.0
dcs:who/Yth_curr_e-cig,dcid:country/BOL,2018,7.4
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/BOL,2018,9.7
dcs:who/Yth_curr_e-cig,dcid:country/BRA,2019,2.8
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/BRN,2019,19.0
dcs:who/Yth_curr_e-cig,dcid:country/BRN,2019,13.3
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/BRN,2019,7.1
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/CAN,2019,11.7
dcs:who/Yth_curr_e-cig,dcid:country/CAN,2019,11.1
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/CAN,2019,10.4
dcs:who/Yth_curr_e-cig,dcid:country/CHE,2022,25.1
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/CHE,2022,25.0
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/CHE,2022,25.1
dcs:who/Yth_curr_e-cig,dcid:country/CHN,2019,2.7
dcs:who/Yth_curr_e-cig,dcid:country/COG,2019,6.0
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/COG,2019,5.1
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/COG,2019,4.5
dcs:who/Yth_curr_e-cig,dcid:country/COK,2016,7.2
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/COK,2016,7.4
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/COK,2016,7.0
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/COL,2017,9.0
dcs:who/Yth_curr_e-cig,dcid:country/COL,2017,9.0
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/COL,2017,8.8
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/CUB,2018,4.2
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/CUB,2018,7.6
dcs:who/Yth_curr_e-cig,dcid:country/CUB,2018,6.1
dcs:who/Yth_curr_e-cig,dcid:country/CYP,2019,10.0
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/CYP,2019,7.5
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/CYP,2019,14.0
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/CZE,2019,22.5
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/CZE,2019,16.9
dcs:who/Yth_curr_e-cig,dcid:country/CZE,2019,19.8
dcs:who/Yth_curr_e-cig,dcid:country/DEU,2019,16.0
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/DEU,2019,20.0
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/DEU,2019,12.0
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/DNK,2019,10.0
dcs:who/Yth_curr_e-cig,dcid:country/DNK,2019,14.0
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/DNK,2019,19.0
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/DOM,2016,6.9
dcs:who/Yth_curr_e-cig,dcid:country/DOM,2016,7.7
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/DOM,2016,7.9
dcs:who/Yth_curr_e-cig,dcid:country/ECU,2016,10.7
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/ECU,2016,12.7
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/ECU,2016,8.7
dcs:who/Yth_curr_e-cig,dcid:country/ESP,2021,8.1
dcs:who/Yth_curr_e-cig,dcid:country/EST,2019,15.0
dcs:who/Yth_curr_e-cig.SEX--M,dcid:country/EST,2019,17.0
dcs:who/Yth_curr_e-cig.SEX--F,dcid:country/EST,2019,12.0
dcs:who/Yth_curr_e-cig,dcid:country/FJI,2016,11.9
