SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Yth_curr_tob_smoking,dcid:country/AFG,2017,6.3
dcs:who/Yth_curr_tob_smoking.SEX--M,dcid:country/AFG,2017,8.0
dcs:who/Yth_curr_tob_smoking.SEX--F,dcid:country/AFG,2017,3.7
dcs:who/Yth_curr_tob_smoking.SEX--F,dcid:country/ALB,2020,8.6
dcs:who/Yth_curr_tob_smoking,dcid:country/ALB,2020,14.0
dcs:who/Yth_curr_tob_smoking.SEX--M,dcid:country/ALB,2020,18.9
dcs:who/Yth_curr_tob_smoking.SEX--F,dcid:country/ARG,2018,21.1
dcs:who/Yth_curr_tob_smoking.SEX--M,dcid:country/ARG,2018,17.6
dcs:who/Yth_curr_tob_smoking,dcid:country/ARG,2018,19.5
dcs:who/Yth_curr_tob_smoking,dcid:country/ATG,2017,6.1
dcs:who/Yth_curr_tob_smoking.SEX--M,dcid:country/ATG,2017,6.3
dcs:who/Yth_curr_tob_smoking.SEX--F,dcid:country/ATG,2017,5.9
dcs:who/Yth_curr_tob_smoking.SEX--F,dcid:country/BEL,2018,13.0
dcs:who/Yth_curr_tob_smoking.SEX--M,dcid:country/BEL,2018,13.0
dcs:who/Yth_curr_tob_smoking.SEX--M,dcid:country/BHS,2013,13.8
dcs:who/Yth_curr_tob_smoking,dcid:country/BHS,2013,10.7
dcs:who/Yth_curr_tob_smoking.SEX--F,dcid:country/BHS,2013,6.9
dcs:who/Yth_curr_tob_smoking,dcid:country/BIH,2019,24.2
dcs:who/Yth_curr_tob_smoking.SEX--F,dcid:country/BIH,2019,20.8
dcs:who/Yth_curr_tob_smoking.SEX--M,dcid:country/BIH,2019,27.5
dcs:who/Yth_curr_tob_smoking,dcid:country/BLR,2021,7.6
dcs:who/Yth_curr_tob_smoking.SEX--M,dcid:country/BLR,2021,6.1
dcs:who/Yth_curr_tob_smoking.SEX--F,dcid:country/BLR,2021,9.0
dcs:who/Yth_curr_tob_smoking,dcid:country/BLZ,2014,11.5
dcs:who/Yth_curr_tob_smoking.SEX--F,dcid:country/BLZ,2014,7.5
