SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Yth_daily_cig_smoking.SEX--F,dcid:country/ALB,2020,0.1
dcs:who/Yth_daily_cig_smoking,dcid:country/ALB,2020,1.0
dcs:who/Yth_daily_cig_smoking.SEX--M,dcid:country/ALB,2020,1.8
dcs:who/Yth_daily_cig_smoking,dcid:country/ARG,2018,3.3
dcs:who/Yth_daily_cig_smoking.SEX--F,dcid:country/ARG,2018,4.3
dcs:who/Yth_daily_cig_smoking.SEX--M,dcid:country/ARG,2018,2.4
dcs:who/Yth_daily_cig_smoking.SEX--F,dcid:country/AUS,2017,1.0
dcs:who/Yth_daily_cig_smoking,dcid:country/AUS,2017,1.0
dcs:who/Yth_daily_cig_smoking.SEX--M,dcid:country/AUS,2017,1.0
dcs:who/Yth_daily_cig_smoking.SEX--M,dcid:country/AUT,2019,14.0
dcs:who/Yth_daily_cig_smoking,dcid:country/AUT,2019,14.0
dcs:who/Yth_daily_cig_smoking.SEX--F,dcid:country/AUT,2019,14.0
dcs:who/Yth_daily_cig_smoking,dcid:country/BLR,2021,1.2
dcs:who/Yth_daily_cig_smoking.SEX--M,dcid:country/BLR,2021,1.0
dcs:who/Yth_daily_cig_smoking.SEX--F,dcid:country/BLR,2021,1.4
dcs:who/Yth_daily_cig_smoking.SEX--F,dcid:country/CAN,2019,0.7
dcs:who/Yth_daily_cig_smoking.SEX--M,dcid:country/CAN,2019,1.0
dcs:who/Yth_daily_cig_smoking,dcid:country/CAN,2019,1.0
dcs:who/Yth_daily_cig_smoking,dcid:country/COG,2019,0.2
dcs:who/Yth_daily_cig_smoking.SEX--M,dcid:country/COG,2019,0.2
dcs:who/Yth_daily_cig_smoking.SEX--F,dcid:country/COG,2019,0.2
dcs:who/Yth_daily_cig_smoking.SEX--F,dcid:country/COL,2017,0.4
dcs:who/Yth_daily_cig_smoking.SEX--M,dcid:country/COL,2017,0.6
dcs:who/Yth_daily_cig_smoking,dcid:country/COL,2017,0.5
dcs:who/Yth_daily_cig_smoking,dcid:country/CZE,2019,10.3
dcs:who/Yth_daily_cig_smoking.SEX--F,dcid:country/CZE,2019,10.9
dcs:who/Yth_daily_cig_smoking.SEX--M,dcid:country/CZE,2019,9.8
dcs:who/Yth_daily_cig_smoking.SEX--F,dcid:country/DNK,2019,10.1
dcs:who/Yth_daily_cig_smoking.SEX--M,dcid:country/DNK,2019,9.6
