SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/anc45,dcid:country/AFG,2015,10.90531
dcs:who/anc45.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,19.65468
dcs:who/anc45.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,14.40199
dcs:who/anc45.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,34.12887
dcs:who/anc45.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,11.43246
dcs:who/anc45.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,10.46078
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,13.68402
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,29.02549
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,12.12812
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,20.97159
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,12.08485
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,15.15362
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,10.76981
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,8.7324
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,39.53377
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,18.348
dcs:who/anc45.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,13.60101
dcs:who/anc45.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,31.67397
dcs:who/anc45.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,38.15473
dcs:who/anc45.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,14.68212
dcs:who/anc45.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,27.16068
dcs:who/anc45.AGE--Y15T19,dcid:country/AFG,2015,16.0492
dcs:who/anc45.AGE--Y20T49,dcid:country/AFG,2015,18.02084
dcs:who/anc45,dcid:country/AGO,2015,83.23248
dcs:who/anc45.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,81.52168
dcs:who/anc45.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,63.99139
dcs:who/anc45.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,88.18927
dcs:who/anc45.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,44.82639
dcs:who/anc45.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,34.03699
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE06,dcid:country/AGO,2015,70.08336
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE05,dcid:country/AGO,2015,58.09906
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE07,dcid:country/AGO,2015,77.55091
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE09,dcid:country/AGO,2015,85.69032
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE08,dcid:country/AGO,2015,85.85291
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE04,dcid:country/AGO,2015,50.55581
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE03,dcid:country/AGO,2015,39.09353
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE10,dcid:country/AGO,2015,91.55714
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE01,dcid:country/AGO,2015,34.22536
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE02,dcid:country/AGO,2015,33.86764
dcs:who/anc45.RESIDENCEAREATYPE--URB,dcid:country/AGO,2015,73.76535
dcs:who/anc45.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2015,39.41492
dcs:who/anc45.EDUCATIONLEVEL--PRLM,dcid:country/AGO,2015,59.57767
dcs:who/anc45.EDUCATIONLEVEL--NHLM,dcid:country/AGO,2015,37.92768
dcs:who/anc45.EDUCATIONLEVEL--SHLM,dcid:country/AGO,2015,81.34469
dcs:who/anc45.AGE--Y20T49,dcid:country/AGO,2015,62.40751
dcs:who/anc45.AGE--Y15T19,dcid:country/AGO,2015,57.52909
dcs:who/anc45,dcid:country/ALB,2017,74.0413
dcs:who/anc45,dcid:country/ALB,2008,70.05889
dcs:who/anc45,dcid:country/ALB,2002,62.27348
dcs:who/anc45.WEALTHQUINTILE--WQ1,dcid:country/ALB,2017,66.17793
dcs:who/anc45.WEALTHQUINTILE--WQ3,dcid:country/ALB,2017,80.77667
dcs:who/anc45.WEALTHQUINTILE--WQ2,dcid:country/ALB,2017,73.82383
dcs:who/anc45.WEALTHQUINTILE--WQ5,dcid:country/ALB,2017,91.60726
dcs:who/anc45.WEALTHQUINTILE--WQ4,dcid:country/ALB,2017,79.79362
dcs:who/anc45.WEALTHQUINTILE--WQ1,dcid:country/ALB,2008,48.78683
dcs:who/anc45.WEALTHQUINTILE--WQ3,dcid:country/ALB,2008,67.37232
dcs:who/anc45.WEALTHQUINTILE--WQ5,dcid:country/ALB,2008,90.92917
dcs:who/anc45.WEALTHQUINTILE--WQ2,dcid:country/ALB,2008,53.01291
dcs:who/anc45.WEALTHQUINTILE--WQ4,dcid:country/ALB,2008,80.64458
dcs:who/anc45.WEALTHQUINTILE--WQ4,dcid:country/ALB,2002,52.33365
dcs:who/anc45.WEALTHQUINTILE--WQ3,dcid:country/ALB,2002,41.54626
dcs:who/anc45.WEALTHQUINTILE--WQ1,dcid:country/ALB,2002,20.69613
dcs:who/anc45.WEALTHQUINTILE--WQ2,dcid:country/ALB,2002,39.13288
dcs:who/anc45.WEALTHQUINTILE--WQ5,dcid:country/ALB,2002,67.93807
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE10,dcid:country/ALB,2017,93.20775
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2017,88.60277
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2017,80.26302
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2017,90.50238
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2017,72.36436
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2017,57.49006
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE03,dcid:country/ALB,2017,75.09328
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2017,81.30601
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE02,dcid:country/ALB,2017,74.94501
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE08,dcid:country/ALB,2017,70.99363
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2008,85.41684
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE08,dcid:country/ALB,2008,88.8577
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE02,dcid:country/ALB,2008,51.21365
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2008,73.30917
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2008,45.6728
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2008,61.1633
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2008,70.51871
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2008,64.85197
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE03,dcid:country/ALB,2008,45.96005
dcs:who/anc45.WEALTHDECILE--WEALTHDECILE10,dcid:country/ALB,2008,97.59266
dcs:who/anc45.RESIDENCEAREATYPE--URB,dcid:country/ALB,2017,81.8551
dcs:who/anc45.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2017,72.65951
dcs:who/anc45.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,82.06069
dcs:who/anc45.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,56.79495
dcs:who/anc45.RESIDENCEAREATYPE--URB,dcid:country/ALB,2002,64.86828
dcs:who/anc45.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2002,28.04543
dcs:who/anc45.EDUCATIONLEVEL--NHLM,dcid:country/ALB,2017,52.46583
dcs:who/anc45.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2017,70.47982
dcs:who/anc45.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2017,85.15559
dcs:who/anc45.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2008,59.86635
dcs:who/anc45.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2008,80.05112
dcs:who/anc45.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2002,57.30204
dcs:who/anc45.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2002,32.05942
