SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/bfearly,dcid:country/AFG,2015,24.69901
dcs:who/bfearly,dcid:country/AFG,2010,70.7854
dcs:who/bfearly.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,42.46903
dcs:who/bfearly.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,35.394
dcs:who/bfearly.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,41.0496
dcs:who/bfearly.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,40.69263
dcs:who/bfearly.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,45.01795
dcs:who/bfearly.WEALTHQUINTILE--WQ1,dcid:country/AFG,2010,52.05401
dcs:who/bfearly.WEALTHQUINTILE--WQ4,dcid:country/AFG,2010,51.763
dcs:who/bfearly.WEALTHQUINTILE--WQ3,dcid:country/AFG,2010,54.62037
dcs:who/bfearly.WEALTHQUINTILE--WQ2,dcid:country/AFG,2010,55.08647
dcs:who/bfearly.WEALTHQUINTILE--WQ5,dcid:country/AFG,2010,54.27402
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,43.60816
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,37.11765
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,40.8285
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,42.66504
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,38.74336
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,44.93388
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,41.25476
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,41.25576
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,45.11086
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,33.37272
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2010,56.94485
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2010,52.74524
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2010,48.77342
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2010,54.03496
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2010,54.58376
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2010,46.35136
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2010,56.70983
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2010,56.68744
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2010,54.68661
dcs:who/bfearly.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2010,53.34937
dcs:who/bfearly.SEX--M,dcid:country/AFG,2015,40.83334
dcs:who/bfearly.SEX--F,dcid:country/AFG,2015,40.96888
dcs:who/bfearly.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,41.92912
dcs:who/bfearly.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,37.6725
dcs:who/bfearly.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2010,52.48303
dcs:who/bfearly.RESIDENCEAREATYPE--URB,dcid:country/AFG,2010,58.45791
dcs:who/bfearly.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,45.20905
