SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/bmi30wm,dcid:country/ALB,2017,15.51504
dcs:who/bmi30wm,dcid:country/ALB,2008,10.77898
dcs:who/bmi30wm.WEALTHQUINTILE--WQ1,dcid:country/ALB,2017,16.72327
dcs:who/bmi30wm.WEALTHQUINTILE--WQ2,dcid:country/ALB,2017,17.37882
dcs:who/bmi30wm.WEALTHQUINTILE--WQ3,dcid:country/ALB,2017,17.63097
dcs:who/bmi30wm.WEALTHQUINTILE--WQ4,dcid:country/ALB,2017,15.54869
dcs:who/bmi30wm.WEALTHQUINTILE--WQ5,dcid:country/ALB,2017,15.20099
dcs:who/bmi30wm.WEALTHQUINTILE--WQ3,dcid:country/ALB,2008,11.43482
dcs:who/bmi30wm.WEALTHQUINTILE--WQ2,dcid:country/ALB,2008,10.91393
dcs:who/bmi30wm.WEALTHQUINTILE--WQ1,dcid:country/ALB,2008,6.95113
dcs:who/bmi30wm.WEALTHQUINTILE--WQ5,dcid:country/ALB,2008,9.15529
dcs:who/bmi30wm.WEALTHQUINTILE--WQ4,dcid:country/ALB,2008,10.30619
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE08,dcid:country/ALB,2017,16.02672
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2017,14.45977
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2017,17.60018
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE02,dcid:country/ALB,2017,18.44508
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2017,18.06061
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE03,dcid:country/ALB,2017,17.09863
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2017,15.05403
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE10,dcid:country/ALB,2017,15.95068
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2017,17.19744
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2017,15.07195
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2008,5.40448
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2008,11.61879
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2008,10.29669
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE03,dcid:country/ALB,2008,11.12508
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2008,10.70429
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2008,13.3468
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE08,dcid:country/ALB,2008,10.31569
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE10,dcid:country/ALB,2008,6.80841
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2008,9.49586
dcs:who/bmi30wm.WEALTHDECILE--WEALTHDECILE02,dcid:country/ALB,2008,8.47046
dcs:who/bmi30wm.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2017,16.13021
dcs:who/bmi30wm.RESIDENCEAREATYPE--URB,dcid:country/ALB,2017,16.72423
dcs:who/bmi30wm.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,9.39669
dcs:who/bmi30wm.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,10.03815
dcs:who/bmi30wm.EDUCATIONLEVEL--NHLM,dcid:country/ALB,2017,29.28564
dcs:who/bmi30wm.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2017,13.11351
dcs:who/bmi30wm.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2017,21.3742
dcs:who/bmi30wm.EDUCATIONLEVEL--NHLM,dcid:country/ALB,2008,1.97125
dcs:who/bmi30wm.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2008,8.59946
dcs:who/bmi30wm.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2008,10.94355
dcs:who/bmi30wm.AGE--Y20T49,dcid:country/ALB,2017,18.93516
dcs:who/bmi30wm.AGE--Y15T19,dcid:country/ALB,2017,3.2782
dcs:who/bmi30wm.AGE--Y15T19,dcid:country/ALB,2008,1.83625
dcs:who/bmi30wm.AGE--Y20T49,dcid:country/ALB,2008,11.68795
dcs:who/bmi30wm,dcid:country/ARM,2015,15.76276
