SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/cci2030,dcid:country/AFG,2015,67.19974
dcs:who/cci2030.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,61.72929
dcs:who/cci2030.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,60.98764
dcs:who/cci2030.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,58.04139
dcs:who/cci2030.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,56.78743
dcs:who/cci2030.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,53.61112
dcs:who/cci2030.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,46.2019
dcs:who/cci2030.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,45.60349
dcs:who/cci2030.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,44.40764
dcs:who/cci2030.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,44.31127
dcs:who/cci2030.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,39.48448
dcs:who/cci2030.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,71.15852
dcs:who/cci2030.EDUCATIONLEVEL--SHLM,dcid:country/AGO,2015,64.61581
dcs:who/cci2030,dcid:country/AGO,2015,62.81772
dcs:who/cci2030.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,60.92705
dcs:who/cci2030.RESIDENCEAREATYPE--URB,dcid:country/AGO,2015,56.28021
dcs:who/cci2030.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,47.04128
dcs:who/cci2030.EDUCATIONLEVEL--PRLM,dcid:country/AGO,2015,40.5832
dcs:who/cci2030.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,32.32141
dcs:who/cci2030.EDUCATIONLEVEL--NHLM,dcid:country/AGO,2015,28.79496
dcs:who/cci2030.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2015,27.0632
dcs:who/cci2030.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,22.57399
dcs:who/cci2030,dcid:country/ALB,2008,74.08979
dcs:who/cci2030.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,69.84615
dcs:who/cci2030.WEALTHQUINTILE--WQ5,dcid:country/ALB,2008,66.87727
dcs:who/cci2030.WEALTHQUINTILE--WQ3,dcid:country/ALB,2008,66.83241
