SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/cpmowho,dcid:country/AFG,2015,10.14112
dcs:who/cpmowho,dcid:country/AFG,2010,21.69466
dcs:who/cpmowho.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,15.73434
dcs:who/cpmowho.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,15.03524
dcs:who/cpmowho.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,21.95188
dcs:who/cpmowho.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,16.10792
dcs:who/cpmowho.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,30.48699
dcs:who/cpmowho.WEALTHQUINTILE--WQ5,dcid:country/AFG,2010,34.42826
dcs:who/cpmowho.WEALTHQUINTILE--WQ3,dcid:country/AFG,2010,18.07656
dcs:who/cpmowho.WEALTHQUINTILE--WQ4,dcid:country/AFG,2010,21.80374
dcs:who/cpmowho.WEALTHQUINTILE--WQ2,dcid:country/AFG,2010,13.0668
dcs:who/cpmowho.WEALTHQUINTILE--WQ1,dcid:country/AFG,2010,14.81708
dcs:who/cpmowho.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,24.05307
dcs:who/cpmowho.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,19.87968
dcs:who/cpmowho.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,15.78178
dcs:who/cpmowho.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,32.8545
dcs:who/cpmowho.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,16.14561
dcs:who/cpmowho.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,16.22323
dcs:who/cpmowho.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,15.69081
dcs:who/cpmowho.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,28.18386
