SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/csection,dcid:country/AFG,2015,1.73715
dcs:who/csection,dcid:country/AFG,2010,0.74382
dcs:who/csection.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,8.29835
dcs:who/csection.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,1.23973
dcs:who/csection.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,2.01394
dcs:who/csection.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,1.41128
dcs:who/csection.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,3.37561
dcs:who/csection.WEALTHQUINTILE--WQ2,dcid:country/AFG,2010,1.50045
dcs:who/csection.WEALTHQUINTILE--WQ4,dcid:country/AFG,2010,4.17319
dcs:who/csection.WEALTHQUINTILE--WQ1,dcid:country/AFG,2010,0.85333
dcs:who/csection.WEALTHQUINTILE--WQ5,dcid:country/AFG,2010,8.99458
dcs:who/csection.WEALTHQUINTILE--WQ3,dcid:country/AFG,2010,2.59367
dcs:who/csection.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,1.86929
dcs:who/csection.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,1.39376
dcs:who/csection.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,4.26685
dcs:who/csection.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,6.50942
dcs:who/csection.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,1.27882
dcs:who/csection.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,2.16113
dcs:who/csection.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,2.48216
dcs:who/csection.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,1.4275
dcs:who/csection.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,10.43736
dcs:who/csection.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,1.19823
dcs:who/csection.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2010,1.24927
