SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/csection5,dcid:country/AFG,2015,3.14576
dcs:who/csection5.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,1.66999
dcs:who/csection5.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,1.31054
dcs:who/csection5.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,3.28516
dcs:who/csection5.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,6.79468
dcs:who/csection5.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,0.86499
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,1.55672
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,0.77732
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,5.51034
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,0.94732
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,4.29364
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,1.66639
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,2.27908
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,8.23975
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,1.08088
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,1.67359
dcs:who/csection5.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,6.6992
dcs:who/csection5.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,1.52777
dcs:who/csection5.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,2.08057
dcs:who/csection5.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,5.14132
dcs:who/csection5.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,6.55864
dcs:who/csection5.AGE--Y15T19,dcid:country/AFG,2015,1.9282
dcs:who/csection5.AGE--Y20T49,dcid:country/AFG,2015,2.83503
dcs:who/csection5,dcid:country/AGO,2015,1.86006
dcs:who/csection5.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,1.67676
dcs:who/csection5.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,10.5452
dcs:who/csection5.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,5.28008
dcs:who/csection5.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,3.22775
dcs:who/csection5.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,0.74137
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE02,dcid:country/AGO,2015,0.89298
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE08,dcid:country/AGO,2015,5.02954
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE06,dcid:country/AGO,2015,3.38538
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE07,dcid:country/AGO,2015,5.49134
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE09,dcid:country/AGO,2015,7.31565
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE04,dcid:country/AGO,2015,1.78968
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE03,dcid:country/AGO,2015,1.56222
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE01,dcid:country/AGO,2015,0.56502
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE10,dcid:country/AGO,2015,15.27745
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE05,dcid:country/AGO,2015,3.08911
dcs:who/csection5.RESIDENCEAREATYPE--URB,dcid:country/AGO,2015,5.42871
dcs:who/csection5.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2015,1.07907
dcs:who/csection5.EDUCATIONLEVEL--SHLM,dcid:country/AGO,2015,6.78316
dcs:who/csection5.EDUCATIONLEVEL--NHLM,dcid:country/AGO,2015,1.34714
dcs:who/csection5.EDUCATIONLEVEL--PRLM,dcid:country/AGO,2015,3.03791
dcs:who/csection5.AGE--Y15T19,dcid:country/AGO,2015,3.73258
dcs:who/csection5.AGE--Y20T49,dcid:country/AGO,2015,3.69754
dcs:who/csection5,dcid:country/ALB,2017,9.92658
dcs:who/csection5,dcid:country/ALB,2008,11.54121
dcs:who/csection5,dcid:country/ALB,2002,9.19913
dcs:who/csection5.WEALTHQUINTILE--WQ2,dcid:country/ALB,2017,26.61934
dcs:who/csection5.WEALTHQUINTILE--WQ1,dcid:country/ALB,2017,28.45739
dcs:who/csection5.WEALTHQUINTILE--WQ3,dcid:country/ALB,2017,29.65501
dcs:who/csection5.WEALTHQUINTILE--WQ4,dcid:country/ALB,2017,33.70571
dcs:who/csection5.WEALTHQUINTILE--WQ5,dcid:country/ALB,2017,38.23388
dcs:who/csection5.WEALTHQUINTILE--WQ1,dcid:country/ALB,2008,16.01191
dcs:who/csection5.WEALTHQUINTILE--WQ5,dcid:country/ALB,2008,25.95234
dcs:who/csection5.WEALTHQUINTILE--WQ4,dcid:country/ALB,2008,25.36124
dcs:who/csection5.WEALTHQUINTILE--WQ2,dcid:country/ALB,2008,17.82741
dcs:who/csection5.WEALTHQUINTILE--WQ3,dcid:country/ALB,2008,11.46682
dcs:who/csection5.WEALTHQUINTILE--WQ3,dcid:country/ALB,2002,10.18188
dcs:who/csection5.WEALTHQUINTILE--WQ2,dcid:country/ALB,2002,9.12845
dcs:who/csection5.WEALTHQUINTILE--WQ4,dcid:country/ALB,2002,12.33311
dcs:who/csection5.WEALTHQUINTILE--WQ1,dcid:country/ALB,2002,8.62937
dcs:who/csection5.WEALTHQUINTILE--WQ5,dcid:country/ALB,2002,16.6403
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE08,dcid:country/ALB,2017,29.22478
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2017,40.14801
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2017,32.1307
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2017,38.1683
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2017,27.37247
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE02,dcid:country/ALB,2017,34.12004
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE03,dcid:country/ALB,2017,25.47599
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE10,dcid:country/ALB,2017,35.42142
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2017,27.92984
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2017,22.791
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2008,28.55392
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2008,10.51573
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2008,14.21545
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE03,dcid:country/ALB,2008,17.03307
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE08,dcid:country/ALB,2008,21.03549
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2008,18.77543
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2008,29.08323
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE10,dcid:country/ALB,2008,22.81757
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE02,dcid:country/ALB,2008,17.41967
dcs:who/csection5.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2008,12.20114
dcs:who/csection5.RESIDENCEAREATYPE--URB,dcid:country/ALB,2017,32.86243
dcs:who/csection5.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2017,28.58262
dcs:who/csection5.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,16.19721
dcs:who/csection5.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,22.74843
dcs:who/csection5.RESIDENCEAREATYPE--URB,dcid:country/ALB,2002,13.51989
dcs:who/csection5.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2002,9.42066
dcs:who/csection5.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2017,34.00974
dcs:who/csection5.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2017,27.97573
dcs:who/csection5.EDUCATIONLEVEL--NHLM,dcid:country/ALB,2017,25.18391
dcs:who/csection5.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2008,25.1857
dcs:who/csection5.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2008,15.60112
dcs:who/csection5.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2002,9.68566
dcs:who/csection5.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2002,12.94027
