SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/fpsmowho,dcid:country/AFG,2015,30.05333
dcs:who/fpsmowho.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,37.42993
dcs:who/fpsmowho.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,43.55064
dcs:who/fpsmowho.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,52.64653
dcs:who/fpsmowho.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,35.31577
dcs:who/fpsmowho.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,38.1624
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,38.59254
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,55.61586
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,38.38114
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,44.11397
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,36.30684
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,42.89749
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,49.61938
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,37.34471
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,37.94898
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,33.18282
dcs:who/fpsmowho.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,39.30042
dcs:who/fpsmowho.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,48.94052
dcs:who/fpsmowho.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,43.21687
dcs:who/fpsmowho.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,41.20894
dcs:who/fpsmowho.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,48.52093
dcs:who/fpsmowho.AGE--Y20T49,dcid:country/AFG,2015,42.98172
dcs:who/fpsmowho.AGE--Y15T19,dcid:country/AFG,2015,20.82298
dcs:who/fpsmowho,dcid:country/AGO,2015,9.84012
dcs:who/fpsmowho.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,2.87904
dcs:who/fpsmowho.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,15.39656
dcs:who/fpsmowho.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,30.96088
dcs:who/fpsmowho.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,5.75908
dcs:who/fpsmowho.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,48.27376
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE10,dcid:country/AGO,2015,56.26627
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE03,dcid:country/AGO,2015,2.88524
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE07,dcid:country/AGO,2015,27.86692
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE09,dcid:country/AGO,2015,41.11903
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE05,dcid:country/AGO,2015,12.11673
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE01,dcid:country/AGO,2015,2.25695
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE08,dcid:country/AGO,2015,34.09069
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE04,dcid:country/AGO,2015,8.19684
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE02,dcid:country/AGO,2015,3.40079
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE06,dcid:country/AGO,2015,18.15642
dcs:who/fpsmowho.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2015,4.63909
dcs:who/fpsmowho.RESIDENCEAREATYPE--URB,dcid:country/AGO,2015,31.07754
dcs:who/fpsmowho.EDUCATIONLEVEL--SHLM,dcid:country/AGO,2015,42.18646
dcs:who/fpsmowho.EDUCATIONLEVEL--PRLM,dcid:country/AGO,2015,14.48258
dcs:who/fpsmowho.EDUCATIONLEVEL--NHLM,dcid:country/AGO,2015,5.90156
dcs:who/fpsmowho.AGE--Y20T49,dcid:country/AGO,2015,24.71085
dcs:who/fpsmowho.AGE--Y15T19,dcid:country/AGO,2015,14.8525
dcs:who/fpsmowho,dcid:country/ALB,2017,11.45555
dcs:who/fpsmowho,dcid:country/ALB,2008,12.92426
dcs:who/fpsmowho.WEALTHQUINTILE--WQ5,dcid:country/ALB,2017,6.58349
dcs:who/fpsmowho.WEALTHQUINTILE--WQ4,dcid:country/ALB,2017,6.19936
dcs:who/fpsmowho.WEALTHQUINTILE--WQ3,dcid:country/ALB,2017,4.60902
dcs:who/fpsmowho.WEALTHQUINTILE--WQ2,dcid:country/ALB,2017,6.02866
dcs:who/fpsmowho.WEALTHQUINTILE--WQ1,dcid:country/ALB,2017,6.33852
dcs:who/fpsmowho.WEALTHQUINTILE--WQ5,dcid:country/ALB,2008,17.23242
dcs:who/fpsmowho.WEALTHQUINTILE--WQ3,dcid:country/ALB,2008,12.86818
dcs:who/fpsmowho.WEALTHQUINTILE--WQ2,dcid:country/ALB,2008,11.0572
dcs:who/fpsmowho.WEALTHQUINTILE--WQ1,dcid:country/ALB,2008,12.86764
dcs:who/fpsmowho.WEALTHQUINTILE--WQ4,dcid:country/ALB,2008,10.72838
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2017,6.72231
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE03,dcid:country/ALB,2017,5.35103
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE08,dcid:country/ALB,2017,5.77672
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2017,6.68829
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2017,8.45458
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2017,5.13106
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2017,4.13006
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE02,dcid:country/ALB,2017,5.67079
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2017,7.02516
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE10,dcid:country/ALB,2017,4.92575
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE10,dcid:country/ALB,2008,19.85003
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2008,11.85889
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2008,10.18432
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE03,dcid:country/ALB,2008,10.57316
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2008,11.7884
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE02,dcid:country/ALB,2008,13.88418
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2008,14.84586
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2008,11.54154
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE08,dcid:country/ALB,2008,11.2814
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2008,13.8708
dcs:who/fpsmowho.RESIDENCEAREATYPE--URB,dcid:country/ALB,2017,5.98343
dcs:who/fpsmowho.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2017,5.95762
dcs:who/fpsmowho.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,11.97084
dcs:who/fpsmowho.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,14.17616
dcs:who/fpsmowho.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2017,6.17773
dcs:who/fpsmowho.EDUCATIONLEVEL--NHLM,dcid:country/ALB,2017,21.43398
dcs:who/fpsmowho.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2017,5.51078
dcs:who/fpsmowho.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2008,15.34605
dcs:who/fpsmowho.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2008,11.02369
dcs:who/fpsmowho.AGE--Y20T49,dcid:country/ALB,2017,5.9799
dcs:who/fpsmowho.AGE--Y15T19,dcid:country/ALB,2017,5.48043
dcs:who/fpsmowho.AGE--Y15T19,dcid:country/ALB,2008,18.10801
dcs:who/fpsmowho.AGE--Y20T49,dcid:country/ALB,2008,12.84018
dcs:who/fpsmowho,dcid:country/ARG,2019,81.70605
dcs:who/fpsmowho.WEALTHQUINTILE--WQ4,dcid:country/ARG,2019,83.28849
dcs:who/fpsmowho.WEALTHQUINTILE--WQ2,dcid:country/ARG,2019,81.4131
dcs:who/fpsmowho.WEALTHQUINTILE--WQ5,dcid:country/ARG,2019,83.63924
dcs:who/fpsmowho.WEALTHQUINTILE--WQ1,dcid:country/ARG,2019,82.28769
dcs:who/fpsmowho.WEALTHQUINTILE--WQ3,dcid:country/ARG,2019,79.5992
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE01,dcid:country/ARG,2019,79.76196
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE09,dcid:country/ARG,2019,84.13943
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE08,dcid:country/ARG,2019,82.8365
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE10,dcid:country/ARG,2019,83.17382
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE06,dcid:country/ARG,2019,82.05871
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE05,dcid:country/ARG,2019,77.24223
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE07,dcid:country/ARG,2019,83.73463
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE04,dcid:country/ARG,2019,80.1077
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE02,dcid:country/ARG,2019,84.98479
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE03,dcid:country/ARG,2019,82.57195
dcs:who/fpsmowho.EDUCATIONLEVEL--SHLM,dcid:country/ARG,2019,82.38006
dcs:who/fpsmowho.EDUCATIONLEVEL--NHLM,dcid:country/ARG,2019,36.04054
dcs:who/fpsmowho.EDUCATIONLEVEL--PRLM,dcid:country/ARG,2019,81.98485
dcs:who/fpsmowho.AGE--Y20T49,dcid:country/ARG,2019,82.18547
dcs:who/fpsmowho.AGE--Y15T19,dcid:country/ARG,2019,76.34847
dcs:who/fpsmowho,dcid:country/ARM,2015,32.9069
dcs:who/fpsmowho,dcid:country/ARM,2010,36.82874
dcs:who/fpsmowho,dcid:country/ARM,2005,37.54604
dcs:who/fpsmowho,dcid:country/ARM,2000,26.51163
dcs:who/fpsmowho.WEALTHQUINTILE--WQ3,dcid:country/ARM,2015,37.04487
dcs:who/fpsmowho.WEALTHQUINTILE--WQ2,dcid:country/ARM,2015,35.94987
dcs:who/fpsmowho.WEALTHQUINTILE--WQ1,dcid:country/ARM,2015,29.52723
dcs:who/fpsmowho.WEALTHQUINTILE--WQ5,dcid:country/ARM,2015,50.6489
dcs:who/fpsmowho.WEALTHQUINTILE--WQ4,dcid:country/ARM,2015,45.26369
dcs:who/fpsmowho.WEALTHQUINTILE--WQ3,dcid:country/ARM,2010,40.64133
dcs:who/fpsmowho.WEALTHQUINTILE--WQ2,dcid:country/ARM,2010,25.7921
dcs:who/fpsmowho.WEALTHQUINTILE--WQ4,dcid:country/ARM,2010,45.87078
dcs:who/fpsmowho.WEALTHQUINTILE--WQ1,dcid:country/ARM,2010,31.53996
dcs:who/fpsmowho.WEALTHQUINTILE--WQ5,dcid:country/ARM,2010,51.45283
dcs:who/fpsmowho.WEALTHQUINTILE--WQ5,dcid:country/ARM,2005,40.60349
dcs:who/fpsmowho.WEALTHQUINTILE--WQ3,dcid:country/ARM,2005,26.68344
dcs:who/fpsmowho.WEALTHQUINTILE--WQ4,dcid:country/ARM,2005,32.86873
dcs:who/fpsmowho.WEALTHQUINTILE--WQ2,dcid:country/ARM,2005,25.12304
dcs:who/fpsmowho.WEALTHQUINTILE--WQ1,dcid:country/ARM,2005,18.54158
dcs:who/fpsmowho.WEALTHQUINTILE--WQ4,dcid:country/ARM,2000,32.24773
dcs:who/fpsmowho.WEALTHQUINTILE--WQ1,dcid:country/ARM,2000,20.19827
dcs:who/fpsmowho.WEALTHQUINTILE--WQ3,dcid:country/ARM,2000,30.58778
dcs:who/fpsmowho.WEALTHQUINTILE--WQ5,dcid:country/ARM,2000,41.18099
dcs:who/fpsmowho.WEALTHQUINTILE--WQ2,dcid:country/ARM,2000,26.72159
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE04,dcid:country/ARM,2015,34.57427
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE10,dcid:country/ARM,2015,51.40491
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE05,dcid:country/ARM,2015,34.52924
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE06,dcid:country/ARM,2015,39.20083
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE01,dcid:country/ARM,2015,27.18332
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE09,dcid:country/ARM,2015,49.9363
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE03,dcid:country/ARM,2015,37.22781
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE08,dcid:country/ARM,2015,44.68235
dcs:who/fpsmowho.WEALTHDECILE--WEALTHDECILE02,dcid:country/ARM,2015,31.19102
