SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/itnch,dcid:country/AFG,2015,3.04178
dcs:who/itnch.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,6.50291
dcs:who/itnch.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,3.25902
dcs:who/itnch.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,6.85261
dcs:who/itnch.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,1.08232
dcs:who/itnch.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,5.56459
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,6.24652
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,3.6655
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,6.47213
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,4.51349
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,7.47544
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,1.79458
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,0.28819
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,2.85474
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,6.63461
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,6.53913
dcs:who/itnch.SEX--M,dcid:country/AFG,2015,4.72682
dcs:who/itnch.SEX--F,dcid:country/AFG,2015,4.58807
dcs:who/itnch.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,6.10238
dcs:who/itnch.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,4.23148
dcs:who/itnch,dcid:country/AGO,2015,26.22977
dcs:who/itnch.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,23.1186
dcs:who/itnch.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,21.78358
dcs:who/itnch.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,23.62943
dcs:who/itnch.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,23.08912
dcs:who/itnch.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,16.62588
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE06,dcid:country/AGO,2015,23.66066
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE01,dcid:country/AGO,2015,12.29707
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE03,dcid:country/AGO,2015,22.06468
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE05,dcid:country/AGO,2015,23.62872
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE10,dcid:country/AGO,2015,17.06577
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE02,dcid:country/AGO,2015,20.80584
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE09,dcid:country/AGO,2015,25.59649
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE08,dcid:country/AGO,2015,23.91037
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE07,dcid:country/AGO,2015,22.35882
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE04,dcid:country/AGO,2015,24.17814
dcs:who/itnch.SEX--M,dcid:country/AGO,2015,21.05061
dcs:who/itnch.SEX--F,dcid:country/AGO,2015,22.05184
dcs:who/itnch.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2015,19.60436
dcs:who/itnch.RESIDENCEAREATYPE--URB,dcid:country/AGO,2015,22.88564
dcs:who/itnch.EDUCATIONLEVEL--SHLM,dcid:country/AGO,2015,25.44152
dcs:who/itnch.EDUCATIONLEVEL--NHLM,dcid:country/AGO,2015,17.14089
dcs:who/itnch.EDUCATIONLEVEL--PRLM,dcid:country/AGO,2015,24.54624
dcs:who/itnch,dcid:country/BDI,2016,34.98504
dcs:who/itnch,dcid:country/BDI,2010,38.40326
dcs:who/itnch,dcid:country/BDI,2005,11.98128
dcs:who/itnch.WEALTHQUINTILE--WQ1,dcid:country/BDI,2016,24.99085
dcs:who/itnch.WEALTHQUINTILE--WQ3,dcid:country/BDI,2016,39.35029
dcs:who/itnch.WEALTHQUINTILE--WQ4,dcid:country/BDI,2016,48.10446
dcs:who/itnch.WEALTHQUINTILE--WQ5,dcid:country/BDI,2016,56.04789
dcs:who/itnch.WEALTHQUINTILE--WQ2,dcid:country/BDI,2016,35.85684
dcs:who/itnch.WEALTHQUINTILE--WQ3,dcid:country/BDI,2010,45.92091
dcs:who/itnch.WEALTHQUINTILE--WQ4,dcid:country/BDI,2010,48.82714
dcs:who/itnch.WEALTHQUINTILE--WQ2,dcid:country/BDI,2010,41.45803
dcs:who/itnch.WEALTHQUINTILE--WQ1,dcid:country/BDI,2010,32.51809
dcs:who/itnch.WEALTHQUINTILE--WQ5,dcid:country/BDI,2010,57.05453
dcs:who/itnch.WEALTHQUINTILE--WQ2,dcid:country/BDI,2005,5.30589
dcs:who/itnch.WEALTHQUINTILE--WQ5,dcid:country/BDI,2005,19.17061
dcs:who/itnch.WEALTHQUINTILE--WQ3,dcid:country/BDI,2005,5.83018
dcs:who/itnch.WEALTHQUINTILE--WQ1,dcid:country/BDI,2005,4.62715
dcs:who/itnch.WEALTHQUINTILE--WQ4,dcid:country/BDI,2005,7.57816
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE02,dcid:country/BDI,2016,27.48761
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE03,dcid:country/BDI,2016,33.63398
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE04,dcid:country/BDI,2016,38.17517
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE06,dcid:country/BDI,2016,42.89245
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE07,dcid:country/BDI,2016,45.99165
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE08,dcid:country/BDI,2016,50.34202
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE05,dcid:country/BDI,2016,35.97027
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE09,dcid:country/BDI,2016,49.70796
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE10,dcid:country/BDI,2016,63.53112
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE01,dcid:country/BDI,2016,22.63851
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE07,dcid:country/BDI,2010,48.50067
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE03,dcid:country/BDI,2010,40.10352
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE04,dcid:country/BDI,2010,42.97269
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE06,dcid:country/BDI,2010,48.31332
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE05,dcid:country/BDI,2010,43.31024
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE08,dcid:country/BDI,2010,49.24369
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE09,dcid:country/BDI,2010,49.7267
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE10,dcid:country/BDI,2010,66.1881
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE01,dcid:country/BDI,2010,31.46112
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE02,dcid:country/BDI,2010,33.62338
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE06,dcid:country/BDI,2005,4.44781
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE04,dcid:country/BDI,2005,5.24908
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE05,dcid:country/BDI,2005,7.11095
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE08,dcid:country/BDI,2005,6.94037
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE07,dcid:country/BDI,2005,8.18891
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE03,dcid:country/BDI,2005,5.35053
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE01,dcid:country/BDI,2005,4.91432
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE10,dcid:country/BDI,2005,31.84736
dcs:who/itnch.WEALTHDECILE--WEALTHDECILE09,dcid:country/BDI,2005,8.44442
