SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/ort,dcid:country/AFG,2015,34.88103
dcs:who/ort,dcid:country/AFG,2010,47.32181
dcs:who/ort.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,40.91681
dcs:who/ort.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,37.37906
dcs:who/ort.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,44.48929
dcs:who/ort.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,41.02394
dcs:who/ort.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,40.00904
dcs:who/ort.WEALTHQUINTILE--WQ4,dcid:country/AFG,2010,52.81206
dcs:who/ort.WEALTHQUINTILE--WQ3,dcid:country/AFG,2010,47.98452
dcs:who/ort.WEALTHQUINTILE--WQ1,dcid:country/AFG,2010,50.73813
dcs:who/ort.WEALTHQUINTILE--WQ2,dcid:country/AFG,2010,42.93108
dcs:who/ort.WEALTHQUINTILE--WQ5,dcid:country/AFG,2010,41.28651
dcs:who/ort.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,45.73347
dcs:who/ort.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,40.73844
dcs:who/ort.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,43.52547
dcs:who/ort.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,38.74378
dcs:who/ort.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,43.39272
dcs:who/ort.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,37.11119
dcs:who/ort.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,43.46276
dcs:who/ort.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,41.09124
dcs:who/ort.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,35.20943
dcs:who/ort.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,39.5603
dcs:who/ort.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2010,47.29533
dcs:who/ort.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2010,54.2412
dcs:who/ort.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2010,51.46163
dcs:who/ort.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2010,42.59811
dcs:who/ort.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2010,43.15287
dcs:who/ort.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2010,38.96719
dcs:who/ort.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2010,43.70445
dcs:who/ort.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2010,54.47437
dcs:who/ort.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2010,44.57175
dcs:who/ort.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2010,51.19173
dcs:who/ort.SEX--M,dcid:country/AFG,2015,41.74011
dcs:who/ort.SEX--F,dcid:country/AFG,2015,39.49297
dcs:who/ort.SEX--F,dcid:country/AFG,2010,46.26912
dcs:who/ort.SEX--M,dcid:country/AFG,2010,48.72963
dcs:who/ort.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,39.82242
dcs:who/ort.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,40.9848
dcs:who/ort.RESIDENCEAREATYPE--URB,dcid:country/AFG,2010,39.51381
dcs:who/ort.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2010,48.94207
dcs:who/ort.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,39.75825
dcs:who/ort.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,44.238
dcs:who/ort.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,45.949
dcs:who/ort.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2010,39.97295
dcs:who/ort.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2010,34.51145
