SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/pnchome3.EDUCATIONLEVEL--SHLM,dcid:country/AZE,2006,12.52
dcs:who/pnchome3.SEX--F,dcid:country/AZE,2006,5.69
dcs:who/pnchome3.WEALTHQUINTILE--WQ3,dcid:country/AZE,2006,22.57
dcs:who/pnchome3.RESIDENCEAREATYPE--URB,dcid:country/AZE,2006,27.06
dcs:who/pnchome3.WEALTHQUINTILE--WQ1,dcid:country/AZE,2006,9.75
dcs:who/pnchome3.WEALTHQUINTILE--WQ2,dcid:country/AZE,2006,1.64
dcs:who/pnchome3.SEX--M,dcid:country/AZE,2006,15.99
dcs:who/pnchome3.RESIDENCEAREATYPE--RUR,dcid:country/AZE,2006,7.72
dcs:who/pnchome3.EDUCATIONLEVEL--SHLM,dcid:country/BGD,2007,13.02
dcs:who/pnchome3.EDUCATIONLEVEL--PRLM,dcid:country/BGD,2007,7.1
dcs:who/pnchome3.WEALTHQUINTILE--WQ5,dcid:country/BGD,2007,13.45
dcs:who/pnchome3.SEX--M,dcid:country/BGD,2007,9.73
dcs:who/pnchome3.RESIDENCEAREATYPE--RUR,dcid:country/BGD,2007,8.96
dcs:who/pnchome3.RESIDENCEAREATYPE--URB,dcid:country/BGD,2007,8.74
dcs:who/pnchome3.WEALTHQUINTILE--WQ4,dcid:country/BGD,2007,16.25
dcs:who/pnchome3.WEALTHQUINTILE--WQ2,dcid:country/BGD,2007,7.09
dcs:who/pnchome3.EDUCATIONLEVEL--NHLM,dcid:country/BGD,2007,5.73
dcs:who/pnchome3.SEX--F,dcid:country/BGD,2007,8.15
dcs:who/pnchome3.WEALTHQUINTILE--WQ1,dcid:country/BGD,2007,3.97
dcs:who/pnchome3.WEALTHQUINTILE--WQ3,dcid:country/BGD,2007,7.66
dcs:who/pnchome3.WEALTHQUINTILE--WQ2,dcid:country/BOL,2008,24.44
dcs:who/pnchome3.SEX--M,dcid:country/BOL,2008,22.02
dcs:who/pnchome3.WEALTHQUINTILE--WQ3,dcid:country/BOL,2008,25.03
dcs:who/pnchome3.RESIDENCEAREATYPE--URB,dcid:country/BOL,2008,19.27
dcs:who/pnchome3.SEX--F,dcid:country/BOL,2008,20.23
dcs:who/pnchome3.EDUCATIONLEVEL--NHLM,dcid:country/BOL,2008,15.26
dcs:who/pnchome3.WEALTHQUINTILE--WQ1,dcid:country/BOL,2008,19.01
dcs:who/pnchome3.WEALTHQUINTILE--WQ4,dcid:country/BOL,2008,16.93
dcs:who/pnchome3.RESIDENCEAREATYPE--RUR,dcid:country/BOL,2008,21.59
dcs:who/pnchome3.EDUCATIONLEVEL--SHLM,dcid:country/BOL,2008,22.66
dcs:who/pnchome3.EDUCATIONLEVEL--PRLM,dcid:country/BOL,2008,21.73
dcs:who/pnchome3.EDUCATIONLEVEL--PRLM,dcid:country/COL,2010,4.86
dcs:who/pnchome3.WEALTHQUINTILE--WQ1,dcid:country/COL,2010,4.49
dcs:who/pnchome3.RESIDENCEAREATYPE--RUR,dcid:country/COL,2010,4.36
dcs:who/pnchome3.SEX--M,dcid:country/COL,2010,3.83
dcs:who/pnchome3.EDUCATIONLEVEL--NHLM,dcid:country/COL,2010,1.94
dcs:who/pnchome3.WEALTHQUINTILE--WQ2,dcid:country/COL,2010,10.17
dcs:who/pnchome3.SEX--F,dcid:country/COL,2010,6.08
dcs:who/pnchome3.EDUCATIONLEVEL--SHLM,dcid:country/COL,2010,6.23
dcs:who/pnchome3.RESIDENCEAREATYPE--URB,dcid:country/COL,2010,6.92
dcs:who/pnchome3.WEALTHQUINTILE--WQ1,dcid:country/EGY,2008,1.71
dcs:who/pnchome3.RESIDENCEAREATYPE--RUR,dcid:country/EGY,2008,1.5
dcs:who/pnchome3.WEALTHQUINTILE--WQ2,dcid:country/EGY,2008,2.39
dcs:who/pnchome3.SEX--F,dcid:country/EGY,2008,1.34
dcs:who/pnchome3.EDUCATIONLEVEL--PRLM,dcid:country/EGY,2008,1.68
dcs:who/pnchome3.WEALTHQUINTILE--WQ4,dcid:country/EGY,2008,0.41
dcs:who/pnchome3.WEALTHQUINTILE--WQ5,dcid:country/EGY,2008,4.52
dcs:who/pnchome3.EDUCATIONLEVEL--SHLM,dcid:country/EGY,2008,1.54
dcs:who/pnchome3.WEALTHQUINTILE--WQ3,dcid:country/EGY,2008,0.0
dcs:who/pnchome3.RESIDENCEAREATYPE--URB,dcid:country/EGY,2008,1.61
dcs:who/pnchome3.SEX--M,dcid:country/EGY,2008,1.7
dcs:who/pnchome3.EDUCATIONLEVEL--NHLM,dcid:country/EGY,2008,1.45
dcs:who/pnchome3.RESIDENCEAREATYPE--RUR,dcid:country/ETH,2011,0.19
dcs:who/pnchome3.WEALTHQUINTILE--WQ3,dcid:country/ETH,2011,0.01
dcs:who/pnchome3.WEALTHQUINTILE--WQ1,dcid:country/ETH,2011,0.08
dcs:who/pnchome3.RESIDENCEAREATYPE--URB,dcid:country/ETH,2011,1.33
dcs:who/pnchome3.WEALTHQUINTILE--WQ2,dcid:country/ETH,2011,0.02
dcs:who/pnchome3.EDUCATIONLEVEL--SHLM,dcid:country/ETH,2011,0.85
dcs:who/pnchome3.WEALTHQUINTILE--WQ4,dcid:country/ETH,2011,0.62
dcs:who/pnchome3.SEX--M,dcid:country/ETH,2011,0.06
dcs:who/pnchome3.WEALTHQUINTILE--WQ5,dcid:country/ETH,2011,1.4
