SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/tfr,dcid:country/AFG,2015,4.92153
dcs:who/tfr.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,4.60318
dcs:who/tfr.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,5.65679
dcs:who/tfr.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,5.80944
dcs:who/tfr.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,5.5202
dcs:who/tfr.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,5.93659
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,5.63111
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,4.7234
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,5.71427
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,6.13001
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,5.88984
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,5.74705
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,5.56874
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,5.41408
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,4.46552
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,5.75218
dcs:who/tfr.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,5.6982
dcs:who/tfr.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,4.90755
dcs:who/tfr.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,4.02557
dcs:who/tfr.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,4.83717
dcs:who/tfr.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,5.79279
dcs:who/tfr,dcid:country/AGO,2015,7.36479
dcs:who/tfr.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,4.00405
dcs:who/tfr.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,8.2287
dcs:who/tfr.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,6.881
dcs:who/tfr.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,8.58951
dcs:who/tfr.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,4.88366
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE10,dcid:country/AGO,2015,3.2727
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE07,dcid:country/AGO,2015,5.22524
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE04,dcid:country/AGO,2015,8.10239
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE03,dcid:country/AGO,2015,8.37176
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE06,dcid:country/AGO,2015,6.64898
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE01,dcid:country/AGO,2015,8.31859
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE08,dcid:country/AGO,2015,4.6166
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE09,dcid:country/AGO,2015,4.79642
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE02,dcid:country/AGO,2015,8.84498
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE05,dcid:country/AGO,2015,7.06473
dcs:who/tfr.RESIDENCEAREATYPE--URB,dcid:country/AGO,2015,5.45083
dcs:who/tfr.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2015,8.25637
dcs:who/tfr.EDUCATIONLEVEL--PRLM,dcid:country/AGO,2015,7.46729
dcs:who/tfr.EDUCATIONLEVEL--SHLM,dcid:country/AGO,2015,4.46964
dcs:who/tfr.EDUCATIONLEVEL--NHLM,dcid:country/AGO,2015,7.79199
dcs:who/tfr,dcid:country/ALB,2017,1.44485
dcs:who/tfr,dcid:country/ALB,2008,1.8009
dcs:who/tfr.WEALTHQUINTILE--WQ2,dcid:country/ALB,2017,1.92155
dcs:who/tfr.WEALTHQUINTILE--WQ5,dcid:country/ALB,2017,1.38977
dcs:who/tfr.WEALTHQUINTILE--WQ4,dcid:country/ALB,2017,1.57823
dcs:who/tfr.WEALTHQUINTILE--WQ3,dcid:country/ALB,2017,1.70396
dcs:who/tfr.WEALTHQUINTILE--WQ1,dcid:country/ALB,2017,2.09747
dcs:who/tfr.WEALTHQUINTILE--WQ4,dcid:country/ALB,2008,1.62962
dcs:who/tfr.WEALTHQUINTILE--WQ5,dcid:country/ALB,2008,1.29922
dcs:who/tfr.WEALTHQUINTILE--WQ3,dcid:country/ALB,2008,1.95331
dcs:who/tfr.WEALTHQUINTILE--WQ1,dcid:country/ALB,2008,2.06235
dcs:who/tfr.WEALTHQUINTILE--WQ2,dcid:country/ALB,2008,1.82495
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2017,1.57759
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2017,1.62596
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2017,1.79514
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE10,dcid:country/ALB,2017,1.17503
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2017,1.81487
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE02,dcid:country/ALB,2017,2.13011
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE03,dcid:country/ALB,2017,2.03051
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2017,2.06408
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE08,dcid:country/ALB,2017,1.55281
dcs:who/tfr.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2017,1.6005
