SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/vbcg,dcid:country/AFG,2015,90.47544
dcs:who/vbcg,dcid:country/AFG,2010,78.55936
dcs:who/vbcg.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,67.51376
dcs:who/vbcg.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,71.97089
dcs:who/vbcg.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,83.95696
dcs:who/vbcg.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,79.45481
dcs:who/vbcg.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,64.67052
dcs:who/vbcg.WEALTHQUINTILE--WQ5,dcid:country/AFG,2010,77.85419
dcs:who/vbcg.WEALTHQUINTILE--WQ4,dcid:country/AFG,2010,65.14779
dcs:who/vbcg.WEALTHQUINTILE--WQ1,dcid:country/AFG,2010,53.7606
dcs:who/vbcg.WEALTHQUINTILE--WQ2,dcid:country/AFG,2010,61.90263
dcs:who/vbcg.WEALTHQUINTILE--WQ3,dcid:country/AFG,2010,58.12188
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,74.96745
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,63.90973
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,85.19474
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,65.78278
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,69.39088
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,65.36617
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,82.5166
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,70.88997
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,72.98558
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,83.16037
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2010,66.8457
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2010,67.86655
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2010,63.62854
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2010,51.73514
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2010,64.47295
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2010,56.02124
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2010,51.73764
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2010,58.53202
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2010,87.03732
dcs:who/vbcg.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2010,65.36436
dcs:who/vbcg.SEX--F,dcid:country/AFG,2015,73.44525
dcs:who/vbcg.SEX--M,dcid:country/AFG,2015,74.01443
dcs:who/vbcg.SEX--F,dcid:country/AFG,2010,62.46427
dcs:who/vbcg.SEX--M,dcid:country/AFG,2010,63.30478
dcs:who/vbcg.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,82.39204
dcs:who/vbcg.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,70.98139
dcs:who/vbcg.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2010,59.82771
dcs:who/vbcg.RESIDENCEAREATYPE--URB,dcid:country/AFG,2010,77.34383
dcs:who/vbcg.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,87.89346
dcs:who/vbcg.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,70.50084
dcs:who/vbcg.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,86.1394
