SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/vfull,dcid:country/AFG,2015,34.35996
dcs:who/vfull,dcid:country/AFG,2010,29.10196
dcs:who/vfull.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,41.00723
dcs:who/vfull.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,38.51747
dcs:who/vfull.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,41.28277
dcs:who/vfull.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,55.18485
dcs:who/vfull.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,51.67343
dcs:who/vfull.WEALTHQUINTILE--WQ2,dcid:country/AFG,2010,32.1979
dcs:who/vfull.WEALTHQUINTILE--WQ5,dcid:country/AFG,2010,42.36996
dcs:who/vfull.WEALTHQUINTILE--WQ3,dcid:country/AFG,2010,30.32175
dcs:who/vfull.WEALTHQUINTILE--WQ4,dcid:country/AFG,2010,35.91076
dcs:who/vfull.WEALTHQUINTILE--WQ1,dcid:country/AFG,2010,24.12607
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,43.08213
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,55.56896
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,52.70865
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,35.69392
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,54.85475
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,41.0993
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,42.91291
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,50.4198
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,39.77952
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,38.79689
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2010,34.81155
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2010,51.99919
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2010,31.89716
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2010,32.82795
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2010,23.98709
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2010,35.12727
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2010,27.55847
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2010,36.78641
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2010,29.81673
dcs:who/vfull.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2010,24.28137
dcs:who/vfull.SEX--M,dcid:country/AFG,2015,44.91078
dcs:who/vfull.SEX--F,dcid:country/AFG,2015,46.5537
dcs:who/vfull.SEX--M,dcid:country/AFG,2010,33.95697
dcs:who/vfull.SEX--F,dcid:country/AFG,2010,31.27463
dcs:who/vfull.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,43.57522
dcs:who/vfull.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,52.47615
