SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,SEX
LIFE_EXPECTANCY,USA,2019,78.9,YEARS,TOTAL
LIFE_EXPECTANCY,USA,2020,77.0,YEARS,TOTAL
LIFE_EXPECTANCY,USA,2021,76.4,YEARS,TOTAL
LIFE_EXPECTANCY,USA,2022,77.5,YEARS,TOTAL
LIFE_EXPECTANCY,GBR,2019,81.3,YEARS,TOTAL
LIFE_EXPECTANCY,GBR,2020,80.4,YEARS,TOTAL
LIFE_EXPECTANCY,GBR,2021,80.7,YEARS,TOTAL
LIFE_EXPECTANCY,GBR,2022,81.3,YEARS,TOTAL
LIFE_EXPECTANCY,JPN,2019,84.4,YEARS,TOTAL
LIFE_EXPECTANCY,JPN,2020,84.7,YEARS,TOTAL
LIFE_EXPECTANCY,JPN,2021,84.9,YEARS,TOTAL
LIFE_EXPECTANCY,JPN,2022,84.9,YEARS,TOTAL
LIFE_EXPECTANCY,KEN,2019,66.7,YEARS,TOTAL
LIFE_EXPECTANCY,KEN,2020,66.1,YEARS,TOTAL
LIFE_EXPECTANCY,KEN,2021,67.3,YEARS,TOTAL
LIFE_EXPECTANCY,KEN,2022,68.0,YEARS,TOTAL
INFANT_MORTALITY,USA,2019,5.6,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,USA,2020,5.4,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,USA,2021,5.4,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,USA,2022,5.6,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,GBR,2019,3.9,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,GBR,2020,3.9,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,GBR,2021,3.8,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,GBR,2022,4.1,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,JPN,2019,1.9,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,JPN,2020,1.8,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,JPN,2021,1.7,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,JPN,2022,1.8,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,KEN,2019,31.2,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,KEN,2020,29.8,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,KEN,2021,28.4,PER_1000_BIRTHS,TOTAL
INFANT_MORTALITY,KEN,2022,27.1,PER_1000_BIRTHS,TOTAL

