SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/AIR_42.AGE--Y75T79__ENVCAUSE--ENVCAUSE068__SEX--M,dcid:AustraliaAndNewZealand,2019,0.13813
dcs:who/AIR_42.AGE--Y_GE80__ENVCAUSE--ENVCAUSE068__SEX--M,dcid:AustraliaAndNewZealand,2019,0.20069
dcs:who/AIR_42.ENVCAUSE--ENVCAUSE068__SEX--M,dcid:AustraliaAndNewZealand,2019,0.85739
dcs:who/AIR_42.AGE--Y70T74__ENVCAUSE--ENVCAUSE068__SEX--M,dcid:AustraliaAndNewZealand,2019,0.14396
dcs:who/AIR_42.AGE--Y25T29__ENVCAUSE--ENVCAUSE068__SEX--M,dcid:AustraliaAndNewZealand,2019,0.00017
dcs:who/AIR_42.AGE--Y45T49__ENVCAUSE--ENVCAUSE068__SEX--M,dcid:AustraliaAndNewZealand,2019,0.02029
dcs:who/AIR_42.AGE--Y60T64__ENVCAUSE--ENVCAUSE118__SEX--M,dcid:AustraliaAndNewZealand,2019,0.08161
dcs:who/AIR_42.AGE--Y45T49__ENVCAUSE--ENVCAUSE118__SEX--M,dcid:AustraliaAndNewZealand,2019,0.0117
dcs:who/AIR_42.AGE--Y65T69__ENVCAUSE--ENVCAUSE039__SEX--M,dcid:AustraliaAndNewZealand,2019,0.03347
dcs:who/AIR_42.AGE--Y35T39__ENVCAUSE--ENVCAUSE039__SEX--M,dcid:AustraliaAndNewZealand,2019,0.00533
dcs:who/AIR_42.AGE--Y15T19__ENVCAUSE--ENVCAUSE039__SEX--M,dcid:AustraliaAndNewZealand,2019,0.00058
dcs:who/AIR_42.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:AustraliaAndNewZealand,2019,0.73887
dcs:who/AIR_42.AGE--Y30T34__ENVCAUSE--ENVCAUSE039__SEX--M,dcid:AustraliaAndNewZealand,2019,0.00402
dcs:who/AIR_42.AGE--Y40T44__ENVCAUSE--ENVCAUSE068__SEX--M,dcid:AustraliaAndNewZealand,2019,0.00929
dcs:who/AIR_42.AGE--Y10T14__ENVCAUSE--ENVCAUSE039__SEX--M,dcid:AustraliaAndNewZealand,2019,0.0015
dcs:who/AIR_42.AGE--Y0T4__ENVCAUSE--ENVCAUSE039__SEX--M,dcid:AustraliaAndNewZealand,2019,0.017
dcs:who/AIR_42.AGE--Y40T44__ENVCAUSE--ENVCAUSE118__SEX--M,dcid:AustraliaAndNewZealand,2019,0.00358
dcs:who/AIR_42.AGE--Y_GE80__ENVCAUSE--ENVCAUSE118__SEX--M,dcid:AustraliaAndNewZealand,2019,0.61117
dcs:who/AIR_42.AGE--Y55T59__ENVCAUSE--ENVCAUSE039__SEX--M,dcid:AustraliaAndNewZealand,2019,0.01678
dcs:who/AIR_42.AGE--Y60T64__ENVCAUSE--ENVCAUSE068__SEX--M,dcid:AustraliaAndNewZealand,2019,0.10365
dcs:who/AIR_42.AGE--Y70T74__ENVCAUSE--ENVCAUSE118__SEX--M,dcid:AustraliaAndNewZealand,2019,0.18117
dcs:who/AIR_42.AGE--Y25T29__ENVCAUSE--ENVCAUSE039__SEX--M,dcid:AustraliaAndNewZealand,2019,0.00168
