SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:SouthEasternAsia,2020,0.0
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED01,dcid:SouthEasternAsia,2019,90.90909
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED04,dcid:SouthEasternAsia,2019,0.0
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED03,dcid:SouthEasternAsia,2019,0.0
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED01,dcid:SouthEasternAsia,2017,9.09091
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:SouthEasternAsia,2018,18.18182
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED01,dcid:SouthEasternAsia,2018,72.72727
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED03,dcid:SouthEasternAsia,2018,0.0
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:SouthEasternAsia,2019,9.09091
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED01,dcid:SouthEasternAsia,2020,81.81818
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED04,dcid:SouthEasternAsia,2020,18.18182
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:SouthEasternAsia,2017,90.90909
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED03,dcid:SouthEasternAsia,2020,0.0
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED03,dcid:SouthEasternAsia,2017,0.0
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED04,dcid:SouthEasternAsia,2017,0.0
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED04,dcid:SouthEasternAsia,2018,9.09091
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED03,dcid:africa,2017,0.0
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED03,dcid:africa,2020,0.0
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED01,dcid:africa,2020,31.91489
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED04,dcid:africa,2020,17.02128
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:africa,2020,51.06383
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:africa,2017,78.7234
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:africa,2019,59.57447
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED03,dcid:africa,2019,0.0
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED01,dcid:africa,2017,19.14894
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED01,dcid:africa,2019,31.91489
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED01,dcid:africa,2018,29.78723
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED04,dcid:africa,2019,8.51064
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:africa,2018,70.21277
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED03,dcid:africa,2018,0.0
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED04,dcid:africa,2018,0.0
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED04,dcid:africa,2017,2.12766
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:europe,2020,53.7037
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:europe,2018,59.25926
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED01,dcid:europe,2017,27.77778
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED03,dcid:europe,2020,3.7037
dcs:who/AMRGLASS_COORD04.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED03,dcid:europe,2017,3.7037
