SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:SouthEasternAsia,2017,90.90909
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED04,dcid:SouthEasternAsia,2019,0.0
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS02,dcid:SouthEasternAsia,2019,9.09091
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITPROVIDED02,dcid:SouthEasternAsia,2018,9.09091
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS01,dcid:SouthEasternAsia,2019,63.63636
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:SouthEasternAsia,2019,9.09091
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITPROVIDED02,dcid:SouthEasternAsia,2019,18.18182
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS02,dcid:SouthEasternAsia,2018,9.09091
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:SouthEasternAsia,2018,18.18182
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:SouthEasternAsia,2020,0.0
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS01,dcid:SouthEasternAsia,2018,54.54545
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED04,dcid:SouthEasternAsia,2020,27.27273
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS01,dcid:SouthEasternAsia,2020,63.63636
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED04,dcid:SouthEasternAsia,2017,0.0
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITPROVIDED02,dcid:SouthEasternAsia,2020,0.0
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITPROVIDED02,dcid:SouthEasternAsia,2017,0.0
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS02,dcid:SouthEasternAsia,2020,9.09091
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS02,dcid:SouthEasternAsia,2017,0.0
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED04,dcid:SouthEasternAsia,2018,9.09091
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS01,dcid:SouthEasternAsia,2017,9.09091
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS02,dcid:africa,2020,4.25532
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:africa,2017,78.7234
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS01,dcid:africa,2017,2.12766
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS02,dcid:africa,2018,6.38298
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED04,dcid:africa,2017,2.12766
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITPROVIDED02,dcid:africa,2020,0.0
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS02,dcid:africa,2017,0.0
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS01,dcid:africa,2019,8.51064
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS02,dcid:africa,2019,8.51064
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED04,dcid:africa,2019,8.51064
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:africa,2018,70.21277
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS01,dcid:africa,2018,10.6383
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITPROVIDED02,dcid:africa,2019,14.89362
dcs:who/AMRGLASS_QA03.AMRGLASSCATEGORY--AMRGLASS_ISITESTABLISHED05,dcid:africa,2019,59.57447
