SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/ASSISTIVETECH_METNEED,dcid:country/AZE,2021,8.73856
dcs:who/ASSISTIVETECH_METNEED.ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/AZE,2021,1.70342
dcs:who/ASSISTIVETECH_METNEED.AGE--Y70T79,dcid:country/AZE,2021,26.14379
dcs:who/ASSISTIVETECH_METNEED.AGE--Y70T79__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/AZE,2021,9.09091
dcs:who/ASSISTIVETECH_METNEED.AGE--Y5T17,dcid:country/AZE,2021,4.68178
dcs:who/ASSISTIVETECH_METNEED.SEX--F,dcid:country/AZE,2021,9.36304
dcs:who/ASSISTIVETECH_METNEED.AGE--Y30T39__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/AZE,2021,0.98684
dcs:who/ASSISTIVETECH_METNEED.AGE--Y18T29__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/AZE,2021,0.34762
dcs:who/ASSISTIVETECH_METNEED.ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS__SEX--M,dcid:country/AZE,2021,1.40533
dcs:who/ASSISTIVETECH_METNEED.SEX--M,dcid:country/AZE,2021,8.09911
dcs:who/ASSISTIVETECH_METNEED.AGE--Y_GE80,dcid:country/AZE,2021,19.67213
dcs:who/ASSISTIVETECH_METNEED.ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS__RESIDENCEAREATYPE--URB,dcid:country/AZE,2021,1.69596
dcs:who/ASSISTIVETECH_METNEED.ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS__SEX--F,dcid:country/AZE,2021,1.94918
dcs:who/ASSISTIVETECH_METNEED.AGE--Y0T04,dcid:country/AZE,2021,1.3363
dcs:who/ASSISTIVETECH_METNEED.RESIDENCEAREATYPE--RUR,dcid:country/AZE,2021,7.97257
dcs:who/ASSISTIVETECH_METNEED.ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS__RESIDENCEAREATYPE--RUR,dcid:country/AZE,2021,1.67095
dcs:who/ASSISTIVETECH_METNEED.AGE--Y0T04__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/AZE,2021,0.66667
dcs:who/ASSISTIVETECH_METNEED.AGE--Y50T59,dcid:country/AZE,2021,21.55592
dcs:who/ASSISTIVETECH_METNEED.AGE--Y60T69__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/AZE,2021,3.74753
dcs:who/ASSISTIVETECH_METNEED.AGE--Y40T49__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/AZE,2021,1.24031
dcs:who/ASSISTIVETECH_METNEED.AGE--Y_GE80__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/AZE,2021,16.39344
dcs:who/ASSISTIVETECH_METNEED.AGE--Y50T59__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/AZE,2021,2.589
dcs:who/ASSISTIVETECH_METNEED.AGE--Y40T49,dcid:country/AZE,2021,6.21118
dcs:who/ASSISTIVETECH_METNEED.AGE--Y30T39,dcid:country/AZE,2021,2.85088
dcs:who/ASSISTIVETECH_METNEED.AGE--Y18T29,dcid:country/AZE,2021,4.51912
dcs:who/ASSISTIVETECH_METNEED.AGE--Y60T69,dcid:country/AZE,2021,25.04931
dcs:who/ASSISTIVETECH_METNEED.AGE--Y5T17__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/AZE,2021,0.95099
dcs:who/ASSISTIVETECH_METNEED.RESIDENCEAREATYPE--URB,dcid:country/AZE,2021,9.30949
dcs:who/ASSISTIVETECH_METNEED,dcid:country/BFA,2021,1.68849
dcs:who/ASSISTIVETECH_METNEED.ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/BFA,2021,0.91072
dcs:who/ASSISTIVETECH_METNEED.AGE--Y_GE80__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/BFA,2021,13.63636
dcs:who/ASSISTIVETECH_METNEED.AGE--Y30T39__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/BFA,2021,0.863
dcs:who/ASSISTIVETECH_METNEED.AGE--Y40T49__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/BFA,2021,1.49371
dcs:who/ASSISTIVETECH_METNEED.AGE--Y18T29__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/BFA,2021,0.35622
dcs:who/ASSISTIVETECH_METNEED.AGE--Y70T79__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/BFA,2021,6.87023
dcs:who/ASSISTIVETECH_METNEED.AGE--Y0T04__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/BFA,2021,0.0
dcs:who/ASSISTIVETECH_METNEED.AGE--Y50T59__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/BFA,2021,3.12076
dcs:who/ASSISTIVETECH_METNEED.AGE--Y5T17__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/BFA,2021,0.17117
dcs:who/ASSISTIVETECH_METNEED.AGE--Y60T69__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/BFA,2021,4.93359
dcs:who/ASSISTIVETECH_METNEED.SEX--M,dcid:country/BFA,2021,1.91189
dcs:who/ASSISTIVETECH_METNEED.AGE--Y0T04,dcid:country/BFA,2021,0.0
dcs:who/ASSISTIVETECH_METNEED.AGE--Y60T69,dcid:country/BFA,2021,6.64137
dcs:who/ASSISTIVETECH_METNEED.AGE--Y70T79,dcid:country/BFA,2021,6.48855
dcs:who/ASSISTIVETECH_METNEED.AGE--Y18T29,dcid:country/BFA,2021,1.03627
dcs:who/ASSISTIVETECH_METNEED.SEX--F,dcid:country/BFA,2021,1.48243
dcs:who/ASSISTIVETECH_METNEED.AGE--Y50T59,dcid:country/BFA,2021,6.10583
dcs:who/ASSISTIVETECH_METNEED.AGE--Y_GE80,dcid:country/BFA,2021,15.45455
dcs:who/ASSISTIVETECH_METNEED.AGE--Y30T39,dcid:country/BFA,2021,2.04962
dcs:who/ASSISTIVETECH_METNEED.AGE--Y5T17,dcid:country/BFA,2021,0.38037
dcs:who/ASSISTIVETECH_METNEED.ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS__SEX--F,dcid:country/BFA,2021,0.77955
dcs:who/ASSISTIVETECH_METNEED.ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS__SEX--M,dcid:country/BFA,2021,1.05292
dcs:who/ASSISTIVETECH_METNEED.AGE--Y40T49,dcid:country/BFA,2021,3.93082
dcs:who/ASSISTIVETECH_METNEED,dcid:country/CHN,2021,25.12453
dcs:who/ASSISTIVETECH_METNEED.ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/CHN,2021,6.55509
dcs:who/ASSISTIVETECH_METNEED.AGE--Y18T29__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/CHN,2021,1.51724
dcs:who/ASSISTIVETECH_METNEED.ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS__RESIDENCEAREATYPE--URB,dcid:country/CHN,2021,8.08219
dcs:who/ASSISTIVETECH_METNEED.AGE--Y30T39,dcid:country/CHN,2021,21.43574
dcs:who/ASSISTIVETECH_METNEED.AGE--Y5T17__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/CHN,2021,0.9901
dcs:who/ASSISTIVETECH_METNEED.ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS__SEX--M,dcid:country/CHN,2021,6.1973
dcs:who/ASSISTIVETECH_METNEED.ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS__RESIDENCEAREATYPE--RUR,dcid:country/CHN,2021,4.43068
dcs:who/ASSISTIVETECH_METNEED.AGE--Y_GE80,dcid:country/CHN,2021,49.8818
dcs:who/ASSISTIVETECH_METNEED.AGE--Y60T69__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/CHN,2021,9.64223
dcs:who/ASSISTIVETECH_METNEED.AGE--Y70T79__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/CHN,2021,15.77449
dcs:who/ASSISTIVETECH_METNEED.AGE--Y40T49__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/CHN,2021,1.66667
dcs:who/ASSISTIVETECH_METNEED.AGE--Y30T39__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/CHN,2021,1.45582
dcs:who/ASSISTIVETECH_METNEED.AGE--Y18T29,dcid:country/CHN,2021,28.68966
dcs:who/ASSISTIVETECH_METNEED.SEX--M,dcid:country/CHN,2021,24.34748
dcs:who/ASSISTIVETECH_METNEED.AGE--Y50T59__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/CHN,2021,3.2992
dcs:who/ASSISTIVETECH_METNEED.AGE--Y_GE80__ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS,dcid:country/CHN,2021,35.10638
dcs:who/ASSISTIVETECH_METNEED.ASSISTIVETECHPRODUCT--ASSISTIVETECH_TOTAL_NOSPECS__SEX--F,dcid:country/CHN,2021,6.90746
dcs:who/ASSISTIVETECH_METNEED.AGE--Y0T04,dcid:country/CHN,2021,1.71149
dcs:who/ASSISTIVETECH_METNEED.SEX--F,dcid:country/CHN,2021,25.8898
dcs:who/ASSISTIVETECH_METNEED.AGE--Y50T59,dcid:country/CHN,2021,19.416
dcs:who/ASSISTIVETECH_METNEED.RESIDENCEAREATYPE--URB,dcid:country/CHN,2021,33.02511
dcs:who/ASSISTIVETECH_METNEED.AGE--Y5T17,dcid:country/CHN,2021,16.63366
dcs:who/ASSISTIVETECH_METNEED.AGE--Y70T79,dcid:country/CHN,2021,38.72437
