SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Adult_curr_smokeless,dcid:country/AFG,2019,19.3
dcs:who/Adult_curr_smokeless.SEX--M,dcid:country/AFG,2019,33.7
dcs:who/Adult_curr_smokeless.SEX--F,dcid:country/AFG,2019,3.7
dcs:who/Adult_curr_smokeless.SEX--F,dcid:country/AGO,2016,0.2
dcs:who/Adult_curr_smokeless.SEX--M,dcid:country/AGO,2016,2.6
dcs:who/Adult_curr_smokeless,dcid:country/ARE,2018,0.4
dcs:who/Adult_curr_smokeless.SEX--M,dcid:country/ARE,2018,0.7
dcs:who/Adult_curr_smokeless.SEX--F,dcid:country/ARE,2018,0.1
dcs:who/Adult_curr_smokeless.SEX--F,dcid:country/ARM,2016,0.0
dcs:who/Adult_curr_smokeless,dcid:country/ARM,2016,0.3
dcs:who/Adult_curr_smokeless.SEX--M,dcid:country/ARM,2016,0.5
dcs:who/Adult_curr_smokeless.SEX--F,dcid:country/AUT,2020,1.7
dcs:who/Adult_curr_smokeless.SEX--M,dcid:country/AUT,2020,5.1
dcs:who/Adult_curr_smokeless,dcid:country/AUT,2020,3.4
dcs:who/Adult_curr_smokeless.SEX--M,dcid:country/AZE,2011,0.2
dcs:who/Adult_curr_smokeless,dcid:country/AZE,2011,0.2
dcs:who/Adult_curr_smokeless.SEX--F,dcid:country/AZE,2011,0.0
dcs:who/Adult_curr_smokeless.SEX--F,dcid:country/BDI,2017,2.7
dcs:who/Adult_curr_smokeless.SEX--F,dcid:country/BEN,2018,1.0
dcs:who/Adult_curr_smokeless.SEX--M,dcid:country/BEN,2018,6.9
dcs:who/Adult_curr_smokeless,dcid:country/BFA,2021,4.8
dcs:who/Adult_curr_smokeless.SEX--F,dcid:country/BFA,2021,7.0
dcs:who/Adult_curr_smokeless.SEX--M,dcid:country/BFA,2021,2.6
dcs:who/Adult_curr_smokeless,dcid:country/BGD,2018,27.5
dcs:who/Adult_curr_smokeless.SEX--F,dcid:country/BGD,2018,28.1
dcs:who/Adult_curr_smokeless.SEX--M,dcid:country/BGD,2018,26.9
dcs:who/Adult_curr_smokeless.SEX--M,dcid:country/BHS,2019,0.1
dcs:who/Adult_curr_smokeless,dcid:country/BHS,2019,0.1
dcs:who/Adult_curr_smokeless.SEX--F,dcid:country/BHS,2019,0.1
dcs:who/Adult_curr_smokeless.SEX--F,dcid:country/BRA,2013,0.2
