SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Adult_curr_tob_use,dcid:country/AFG,2019,26.2
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/AFG,2019,5.9
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/AFG,2019,45.0
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/AGO,2016,15.7
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/AGO,2016,1.9
dcs:who/Adult_curr_tob_use,dcid:country/ARE,2018,9.3
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/ARE,2018,2.5
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/ARE,2018,15.9
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/ARM,2016,1.8
dcs:who/Adult_curr_tob_use,dcid:country/ARM,2016,28.0
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/ARM,2016,51.7
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/BDI,2017,5.4
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/BDI,2017,13.7
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/BEN,2018,12.9
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/BEN,2018,2.7
dcs:who/Adult_curr_tob_use,dcid:country/BFA,2021,13.6
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/BFA,2021,20.2
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/BFA,2021,7.2
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/BGD,2018,59.6
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/BGD,2018,28.3
dcs:who/Adult_curr_tob_use,dcid:country/BGD,2018,43.7
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/BHS,2019,32.5
dcs:who/Adult_curr_tob_use,dcid:country/BHS,2019,17.5
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/BHS,2019,3.7
dcs:who/Adult_curr_tob_use,dcid:country/BIH,2012,33.6
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/BIH,2012,27.3
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/BIH,2012,39.9
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/BLZ,2015,16.4
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/BLZ,2015,2.1
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/BOL,2019,30.0
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/BOL,2019,5.8
dcs:who/Adult_curr_tob_use,dcid:country/BOL,2019,17.8
dcs:who/Adult_curr_tob_use,dcid:country/BRA,2019,12.8
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/BRA,2019,9.8
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/BRA,2019,16.2
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/BRB,2012,2.8
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/BRN,2016,5.8
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/BRN,2016,37.3
dcs:who/Adult_curr_tob_use,dcid:country/BRN,2016,21.5
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/BTN,2019,11.8
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/BTN,2019,32.9
dcs:who/Adult_curr_tob_use,dcid:country/BTN,2019,23.9
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/BWA,2017,8.8
dcs:who/Adult_curr_tob_use,dcid:country/BWA,2017,17.6
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/BWA,2017,27.0
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/CHN,2018,2.1
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/CHN,2018,50.5
dcs:who/Adult_curr_tob_use,dcid:country/CHN,2018,26.6
dcs:who/Adult_curr_tob_use,dcid:country/CIV,2016,8.5
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/CIV,2016,17.1
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/CIV,2016,0.6
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/COD,2018,2.3
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/COD,2018,18.3
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/COG,2015,18.7
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/COG,2015,2.7
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/COM,2012,4.8
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/COM,2012,23.9
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/CPV,2020,18.3
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/CPV,2020,6.5
dcs:who/Adult_curr_tob_use,dcid:country/CPV,2020,12.5
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/CRI,2015,13.6
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/CRI,2015,4.5
dcs:who/Adult_curr_tob_use,dcid:country/CRI,2015,9.1
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/CUB,2019,10.5
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/CUB,2019,23.4
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/DJI,2012,18.0
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/DJI,2012,2.0
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/DMA,2008,17.0
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/DMA,2008,3.2
dcs:who/Adult_curr_tob_use,dcid:country/DMA,2008,10.4
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/DOM,2019,4.9
dcs:who/Adult_curr_tob_use,dcid:country/DZA,2017,21.8
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/DZA,2017,0.7
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/DZA,2017,42.6
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/ECU,2018,4.0
dcs:who/Adult_curr_tob_use,dcid:country/ECU,2018,13.7
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/ECU,2018,23.8
dcs:who/Adult_curr_tob_use,dcid:country/EGY,2017,22.8
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/EGY,2017,43.6
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/EGY,2017,0.5
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/ERI,2010,0.3
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/ERI,2010,18.5
dcs:who/Adult_curr_tob_use,dcid:country/ERI,2010,3.6
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/ETH,2016,8.1
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/ETH,2016,1.8
dcs:who/Adult_curr_tob_use,dcid:country/ETH,2016,5.0
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/FJI,2021,40.6
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/FJI,2021,12.3
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/GAB,2012,3.4
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/GAB,2012,22.4
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/GEO,2019,55.5
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/GEO,2019,7.8
dcs:who/Adult_curr_tob_use,dcid:country/GEO,2019,30.7
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/GHA,2018,7.4
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/GHA,2018,0.4
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/GMB,2018,19.1
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/GMB,2018,0.6
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/GNB,2019,0.3
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/GNB,2019,11.2
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/GNQ,2011,2.1
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/GNQ,2011,27.2
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/GTM,2015,1.6
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/GTM,2015,21.6
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/HND,2019,22.9
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/HND,2019,1.8
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/HTI,2017,4.5
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/IDN,2021,3.3
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/IDN,2021,65.5
dcs:who/Adult_curr_tob_use,dcid:country/IDN,2021,34.5
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/IND,2021,9.0
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/IND,2021,38.0
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/IRQ,2018,1.5
dcs:who/Adult_curr_tob_use,dcid:country/KAZ,2021,0.0
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/KAZ,2021,8.6
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/KAZ,2021,40.8
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/KEN,2015,23.0
dcs:who/Adult_curr_tob_use,dcid:country/KEN,2015,13.3
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/KEN,2015,4.1
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/KGZ,2013,55.8
dcs:who/Adult_curr_tob_use,dcid:country/KGZ,2013,29.6
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/KGZ,2013,2.8
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/KHM,2021,28.6
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/KHM,2021,8.9
dcs:who/Adult_curr_tob_use,dcid:country/KHM,2021,18.2
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/KIR,2019,75.6
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/KIR,2019,40.5
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/KNA,2008,1.1
dcs:who/Adult_curr_tob_use,dcid:country/KNA,2008,8.7
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/KNA,2008,16.2
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/KWT,2014,39.4
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/KWT,2014,3.3
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/LAO,2017,43.5
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/LAO,2017,7.2
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/LBN,2017,48.7
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/LBN,2017,29.4
dcs:who/Adult_curr_tob_use,dcid:country/LBN,2017,38.7
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/LBR,2013,10.2
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/LBR,2013,0.8
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/LCA,2019,25.5
dcs:who/Adult_curr_tob_use,dcid:country/LCA,2019,13.0
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/LCA,2019,3.5
dcs:who/Adult_curr_tob_use,dcid:country/LKA,2020,19.4
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/LKA,2020,4.9
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/LKA,2020,36.2
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/LSO,2018,8.5
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/LSO,2018,41.5
dcs:who/Adult_curr_tob_use,dcid:country/MDA,2021,27.8
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/MDA,2021,6.5
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/MDA,2021,49.0
dcs:who/Adult_curr_tob_use.SEX--F,dcid:country/MDG,2021,12.1
dcs:who/Adult_curr_tob_use.SEX--M,dcid:country/MDV,2021,37.7
