SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/ARE,2018,0.5
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/ARE,2018,0.1
dcs:who/Adult_daily_e-cig,dcid:country/ARE,2018,0.3
dcs:who/Adult_daily_e-cig,dcid:country/AUS,2019,1.1
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/AUT,2020,1.3
dcs:who/Adult_daily_e-cig,dcid:country/AUT,2020,0.9
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/AUT,2020,0.5
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/BEL,2021,3.0
dcs:who/Adult_daily_e-cig,dcid:country/BEL,2021,3.0
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/BEL,2021,3.0
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/BRN,2016,0.9
dcs:who/Adult_daily_e-cig,dcid:country/BRN,2016,4.9
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/BRN,2016,9.1
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/CAN,2021,3.0
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/CAN,2021,2.0
dcs:who/Adult_daily_e-cig,dcid:country/CAN,2021,3.0
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/CHE,2022,1.7
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/CHE,2022,1.8
dcs:who/Adult_daily_e-cig,dcid:country/CHE,2022,1.7
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/CHL,2022,0.3
dcs:who/Adult_daily_e-cig,dcid:country/CHL,2022,0.6
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/CHL,2022,0.9
dcs:who/Adult_daily_e-cig,dcid:country/CYP,2019,1.1
dcs:who/Adult_daily_e-cig,dcid:country/CZE,2021,4.0
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/CZE,2021,4.5
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/CZE,2021,3.5
dcs:who/Adult_daily_e-cig,dcid:country/DNK,2022,2.0
dcs:who/Adult_daily_e-cig,dcid:country/ESP,2020,0.5
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/FIN,2021,1.0
dcs:who/Adult_daily_e-cig,dcid:country/FIN,2021,1.0
dcs:who/Adult_daily_e-cig,dcid:country/FRA,2021,5.0
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/GBR,2021,6.4
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/GBR,2021,3.5
dcs:who/Adult_daily_e-cig,dcid:country/GBR,2021,4.9
dcs:who/Adult_daily_e-cig,dcid:country/GRC,2019,1.8
dcs:who/Adult_daily_e-cig,dcid:country/HRV,2019,0.8
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/HRV,2019,1.1
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/HRV,2019,0.5
dcs:who/Adult_daily_e-cig,dcid:country/HUN,2019,1.0
dcs:who/Adult_daily_e-cig,dcid:country/IDN,2021,0.3
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/IDN,2021,0.0
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/IDN,2021,0.6
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/KAZ,2019,0.2
dcs:who/Adult_daily_e-cig,dcid:country/KAZ,2019,0.3
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/KAZ,2019,0.4
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/LTU,2021,2.3
dcs:who/Adult_daily_e-cig,dcid:country/LTU,2021,2.7
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/LTU,2021,3.1
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/MDA,2021,0.4
dcs:who/Adult_daily_e-cig,dcid:country/MDA,2021,0.3
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/MDA,2021,0.2
dcs:who/Adult_daily_e-cig,dcid:country/MHL,2018,3.8
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/NZL,2021,5.0
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/NZL,2021,7.5
dcs:who/Adult_daily_e-cig,dcid:country/NZL,2021,6.2
dcs:who/Adult_daily_e-cig,dcid:country/PRT,2019,0.9
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/ROU,2019,0.2
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/ROU,2019,0.5
dcs:who/Adult_daily_e-cig,dcid:country/ROU,2019,0.3
dcs:who/Adult_daily_e-cig,dcid:country/SLV,2022,0.6
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/SLV,2022,0.1
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/SLV,2022,1.3
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/SVN,2021,0.9
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/SVN,2021,0.4
dcs:who/Adult_daily_e-cig,dcid:country/SVN,2021,0.7
dcs:who/Adult_daily_e-cig.SEX--F,dcid:country/SWE,2022,0.4
dcs:who/Adult_daily_e-cig.SEX--M,dcid:country/SWE,2022,0.6
dcs:who/Adult_daily_e-cig,dcid:country/SWE,2022,0.5
dcs:who/Adult_daily_e-cig,dcid:country/TUR,2019,0.4
