SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/AFG,2019,2.2
dcs:who/Adult_daily_tob_smoking,dcid:country/AFG,2019,7.6
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/AFG,2019,12.6
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/AGO,2016,8.8
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/AGO,2016,1.0
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/AND,2018,33.8
dcs:who/Adult_daily_tob_smoking,dcid:country/AND,2018,33.3
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/AND,2018,32.8
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/ARE,2018,2.0
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/ARE,2018,13.9
dcs:who/Adult_daily_tob_smoking,dcid:country/ARE,2018,8.0
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/ARM,2016,49.9
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/ARM,2016,1.6
dcs:who/Adult_daily_tob_smoking,dcid:country/ARM,2016,26.9
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/BDI,2017,10.8
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/BEL,2021,22.0
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/BEL,2021,17.0
dcs:who/Adult_daily_tob_smoking,dcid:country/BEL,2021,20.0
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/BFA,2021,15.8
dcs:who/Adult_daily_tob_smoking,dcid:country/BFA,2021,8.0
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/BFA,2021,0.5
dcs:who/Adult_daily_tob_smoking,dcid:country/BGD,2018,22.3
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/BGD,2018,44.4
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/BGD,2018,0.9
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/BGR,2019,38.0
dcs:who/Adult_daily_tob_smoking,dcid:country/BGR,2019,29.1
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/BGR,2019,21.1
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/BHR,2019,3.3
dcs:who/Adult_daily_tob_smoking,dcid:country/BHR,2019,15.0
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/BHR,2019,23.5
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/BHS,2019,1.2
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/BHS,2019,14.7
dcs:who/Adult_daily_tob_smoking,dcid:country/BHS,2019,7.7
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/BLR,2022,39.1
dcs:who/Adult_daily_tob_smoking,dcid:country/BLR,2022,20.3
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/BLR,2022,8.1
dcs:who/Adult_daily_tob_smoking,dcid:country/BOL,2019,4.1
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/BOL,2019,1.1
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/BOL,2019,7.1
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/BRA,2019,8.8
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/BRA,2019,14.3
dcs:who/Adult_daily_tob_smoking,dcid:country/BRA,2019,11.4
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/BRN,2016,24.8
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/BRN,2016,1.8
dcs:who/Adult_daily_tob_smoking,dcid:country/BRN,2016,13.3
dcs:who/Adult_daily_tob_smoking,dcid:country/BWA,2017,9.9
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/BWA,2017,2.2
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/BWA,2017,18.2
dcs:who/Adult_daily_tob_smoking,dcid:country/CHN,2018,23.2
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/CHN,2018,44.4
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/CHN,2018,1.6
dcs:who/Adult_daily_tob_smoking,dcid:country/COK,2021,18.8
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/COK,2021,14.6
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/COK,2021,23.3
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/CPV,2020,8.4
dcs:who/Adult_daily_tob_smoking,dcid:country/CPV,2020,4.9
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/CPV,2020,1.3
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/CRI,2015,8.7
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/CRI,2015,2.9
dcs:who/Adult_daily_tob_smoking,dcid:country/CRI,2015,5.8
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/CYP,2019,13.3
dcs:who/Adult_daily_tob_smoking,dcid:country/CYP,2019,22.5
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/CYP,2019,32.2
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/CZE,2021,22.0
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/CZE,2021,13.3
dcs:who/Adult_daily_tob_smoking,dcid:country/CZE,2021,17.6
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/DMA,2008,0.9
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/DMA,2008,9.7
dcs:who/Adult_daily_tob_smoking,dcid:country/DMA,2008,5.5
dcs:who/Adult_daily_tob_smoking.SEX--M,dcid:country/DNK,2022,15.0
dcs:who/Adult_daily_tob_smoking,dcid:country/DNK,2022,13.0
dcs:who/Adult_daily_tob_smoking.SEX--F,dcid:country/DNK,2022,11.0
dcs:who/Adult_daily_tob_smoking,dcid:country/DZA,2017,14.3
